ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
801,0.2803043405823672,,LayerNormDeviceOperation,0,192.421,,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,818176.0
802,3.266504602207133,SLOW,MatmulDeviceOperation 2048 x 5120 x 10240,0,2241.831,0.532,110.0,93.54639132030916,18.270779554747882,95.79150471199658,62.994202909299105,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,819200.0
803,1.8050532628649765,FLOP,MatmulDeviceOperation 2048 x 5120 x 6144,0,1238.597,0.521,110.0,88.04470219126962,17.19623089673235,104.02820197368473,68.41080201341852,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,820224.0
804,0.22502311129471014,SLOW,MatmulDeviceOperation 2048 x 5120 x 128,0,153.939,0.533,64.0,160.07337971534176,31.264331975652688,17.43778093920319,19.70958674588034,HiFi4 BF16 x FP32 => FP32,FLOAT32,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,2,1,4,821248.0
805,0.0071131846059614015,,SliceDeviceOperation,0,4.356,0.527,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,822272.0
806,0.007604100684644382,,SliceDeviceOperation,0,4.773,0.447,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,823296.0
807,0.0077089848320187875,,UnaryDeviceOperation,0,4.799,0.493,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,824320.0
808,0.011627573115868095,,UnaryDeviceOperation,0,7.446,0.536,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,825344.0
809,0.0421794512114709,,BinaryNgDeviceOperation,0,28.411,0.544,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,826368.0
810,0.008013440204258381,,UntilizeWithUnpaddingDeviceOperation,0,5.017,0.484,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,827392.0
811,0.604748883242399,,UntilizeWithUnpaddingDeviceOperation,0,414.659,0.484,80,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,828416.0
812,0.6947671594507515,,ConcatDeviceOperation,0,476.386,0.552,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,829440.0
813,0.8079997936113056,,TilizeWithValPaddingDeviceOperation,0,554.087,0.582,100,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,830464.0
814,0.5854181521915884,,SliceDeviceOperation,0,401.322,0.551,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,831488.0
815,3.0241595826286853,,BinaryNgDeviceOperation,0,2075.425,0.575,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,832512.0
816,0.6344806255745047,,UntilizeWithUnpaddingDeviceOperation,0,435.074,0.479,100,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,833536.0
817,0.7042125596115242,,SliceDeviceOperation,0,482.878,0.544,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,834560.0
818,0.7763524588653478,,TilizeDeviceOperation,0,532.353,0.591,80,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,835584.0
819,3.0560385365334284,,TernaryDeviceOperation,0,2097.319,0.565,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,836608.0
820,0.6392135227247747,,UntilizeWithUnpaddingDeviceOperation,0,438.25,0.552,100,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,837632.0
