ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
194,0.005831350886081189,,InterleavedToShardedDeviceOperation,0,1.375,,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,108544.0
195,0.05391985102955363,,LayerNormDeviceOperation,0,7.012,5.702,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,109568.0
196,0.0130961538445227,,ShardedToInterleavedDeviceOperation,0,1.883,1.205,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,110592.0
197,0.8695922490447398,DRAM,MatmulDeviceOperation 32 x 5120 x 8192,0,202.041,3.004,86.0,419.41015932409755,81.9160467429878,13.286187259021682,11.17553164955931,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,111616.0
198,0.6330726571052869,DRAM,MatmulDeviceOperation 32 x 5120 x 6144,0,148.747,0.528,96.0,427.81001297505156,83.55664315918976,13.53483377816023,10.198774005775155,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,112640.0
199,0.13880735600104535,,NLPCreateQKVHeadsDecodeDeviceOperation,0,32.201,0.529,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,113664.0
200,0.011505785421046012,,ShardedToInterleavedDeviceOperation,0,2.18,0.533,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,114688.0
201,0.012485452369907652,,ShardedToInterleavedDeviceOperation,0,2.4,0.544,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,115712.0
202,0.03148081281991321,,LayerNormDeviceOperation,0,6.861,0.562,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,116736.0
203,0.03229084047027067,,LayerNormDeviceOperation,0,7.061,0.553,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,117760.0
204,0.011459134613957362,,SliceDeviceOperation,0,2.159,0.543,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,118784.0
205,0.1168517897921418,,RotateHalfDeviceOperation,0,26.801,0.752,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,119808.0
206,0.015042764794858164,,BinaryNgDeviceOperation,0,3.017,0.53,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,120832.0
207,0.014784064864639292,,BinaryNgDeviceOperation,0,2.962,0.524,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,121856.0
208,0.01223099342215138,,BinaryNgDeviceOperation,0,2.356,0.528,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,122880.0
209,0.019563652099994566,,SliceDeviceOperation,0,4.096,0.517,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,123904.0
210,0.01663737420079746,,ConcatDeviceOperation,0,3.431,0.492,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,124928.0
211,0.010784818402403246,,SliceDeviceOperation,0,2.044,0.499,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,125952.0
212,0.11670759638841327,,RotateHalfDeviceOperation,0,26.559,0.96,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,126976.0
213,0.014593220653822089,,BinaryNgDeviceOperation,0,2.908,0.533,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,128000.0
214,0.014610184583672508,,BinaryNgDeviceOperation,0,2.911,0.534,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,129024.0
215,0.012896827668780288,,BinaryNgDeviceOperation,0,2.517,0.524,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,130048.0
216,0.01645077097244286,,SliceDeviceOperation,0,3.346,0.533,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,131072.0
217,0.017404992026528874,,ConcatDeviceOperation,0,3.62,0.484,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,132096.0
218,0.01041161194569405,,InterleavedToShardedDeviceOperation,0,1.956,0.499,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,133120.0
219,0.052113192500484115,,PagedUpdateCacheDeviceOperation,0,11.77,0.518,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,134144.0
220,0.05296562997546762,,PagedUpdateCacheDeviceOperation,0,11.962,0.527,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,135168.0
221,3.6619059942130945,,SdpaDecodeDeviceOperation,0,862.927,0.53,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,136192.0
222,0.010445539805394886,,InterleavedToShardedDeviceOperation,0,1.92,0.543,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,137216.0
223,0.04143863964210858,,NLPConcatHeadsDecodeDeviceOperation,0,9.247,0.524,24,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,138240.0
224,0.010543082402034791,,ShardedToInterleavedDeviceOperation,0,1.854,0.632,24,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,139264.0
225,0.030187313168818838,,BinaryNgDeviceOperation,0,6.494,0.624,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,140288.0
226,0.6619367837457731,DRAM,MatmulDeviceOperation 32 x 6144 x 5120,0,155.451,0.63,80.0,409.3602228354916,79.95316852255695,12.951128780130071,11.710728425320161,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,141312.0
227,0.01839314094031572,,BinaryNgDeviceOperation,0,3.79,0.547,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,142336.0
228,0.009750018681527748,,InterleavedToShardedDeviceOperation,0,1.758,0.541,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,143360.0
229,0.035857506721321056,,LayerNormDeviceOperation,0,7.908,0.547,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,144384.0
230,0.013460878336306688,,ShardedToInterleavedDeviceOperation,0,2.019,1.155,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,145408.0
231,3.692547092505412,DRAM,MatmulDeviceOperation 32 x 5120 x 34816,0,870.074,0.608,109.0,412.6910400724536,80.60371876415108,13.11211101584463,8.701866064499335,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,146432.0
232,0.02784204986699855,,SliceDeviceOperation,0,6.033,0.532,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,147456.0
233,0.030912521169924212,,SliceDeviceOperation,0,6.727,0.562,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,148480.0
234,0.051638202464672406,,BinaryNgDeviceOperation,0,11.603,0.573,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,149504.0
235,1.818287302981979,DRAM,MatmulDeviceOperation 32 x 17408 x 5120,0,428.161,0.581,80.0,419.70126190848765,81.9729027165015,13.3226833831199,12.04669721419262,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,150528.0
236,0.017404992026528874,,BinaryNgDeviceOperation,0,3.562,0.542,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,151552.0
237,0.028342485797585883,,InterleavedToShardedDeviceOperation,0,1.296,5.387,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,108544.0
238,0.053135269273971796,,LayerNormDeviceOperation,0,7.047,5.482,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,109568.0
239,0.013401504581830224,,ShardedToInterleavedDeviceOperation,0,2.021,1.139,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,110592.0
