ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
197,0.0076361027366348986,,InterleavedToShardedDeviceOperation,0,1.291,,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,109568.0
198,0.0747758410507656,,LayerNormDeviceOperation,0,7.013,5.629,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,110592.0
199,0.018353854989758396,,ShardedToInterleavedDeviceOperation,0,1.942,1.161,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,111616.0
200,1.2156072239542948,DRAM,MatmulDeviceOperation 32 x 5120 x 8192,0,202.847,2.67,86.0,417.74365901393656,81.59055840115948,13.233395416249685,11.131126366219926,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,112640.0
201,0.8861960437771677,DRAM,MatmulDeviceOperation 32 x 5120 x 6144,0,149.304,0.521,96.0,426.2140063226705,83.24492310989659,13.48434013824144,10.160726015626084,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,113664.0
202,0.18749560081223057,,NLPCreateQKVHeadsDecodeDeviceOperation,0,31.067,0.632,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,114688.0
203,0.013213829212736146,,ShardedToInterleavedDeviceOperation,0,0.659,1.575,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,115712.0
204,0.012758383890721514,,ShardedToInterleavedDeviceOperation,0,0.709,1.448,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,116736.0
205,0.043048455241850345,,LayerNormDeviceOperation,0,5.79,1.488,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,117760.0
206,0.04220854308956362,,LayerNormDeviceOperation,0,5.663,1.473,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,118784.0
207,0.013574636545760722,,SliceDeviceOperation,0,1.682,0.613,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,119808.0
