ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
2053,0.013624708276313095,,ShardedToInterleavedDeviceOperation,3,1.495,,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,446467.0,
2054,0.020705911173099233,,SliceDeviceOperation,3,1.733,0.539,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,447491.0,
2061,0.27438066359528984,,UntilizeWithUnpaddingDeviceOperation,3,2.131,27.976,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,454659.0,
2062,0.2915778706303419,,UntilizeWithUnpaddingDeviceOperation,3,1.561,30.433,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,455683.0,
2065,0.022154960414526508,,CopyDeviceOperation,3,1.862,0.569,80,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,458755.0,
2069,0.072908137933448,,UnaryDeviceOperation,3,4.405,3.595,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,462851.0,
2074,0.034777181794254694,,UntilizeWithUnpaddingDeviceOperation,3,2.513,1.303,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,467971.0,
2079,0.021471446621400436,,ConcatDeviceOperation,3,1.813,0.543,12,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,473091.0,
2080,0.06510696717456907,,TilizeWithValPaddingDeviceOperation,3,6.588,0.556,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,474115.0,
2082,0.04793710069124205,,LayerNormDeviceOperation,3,4.793,0.467,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,476163.0,
2083,0.036226231035681976,,BinaryNgDeviceOperation,3,3.487,0.488,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,477187.0,
2084,0.03555183075979758,,BinaryNgDeviceOperation,3,3.419,0.482,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,478211.0,
2086,0.0355427172425559,,BinaryNgDeviceOperation,3,3.427,0.473,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,480259.0,
2087,0.026483881104324987,,ReshapeViewDeviceOperation,3,2.359,0.547,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,481283.0,
2089,0.024342204552529948,,TypecastDeviceOperation,3,2.11,0.561,12,,,,,BF16 => FP32,FLOAT32,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,483331.0,
2093,0.059073818760576234,,UnaryDeviceOperation,3,2.286,4.196,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,487427.0,
2096,0.023111879724903014,,BinaryNgDeviceOperation,3,2.036,0.5,110,,,,,"BF16, FP32 => BF16",BFLOAT16,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,490499.0,
2098,0.07991643269230068,SLOW,MatmulDeviceOperation b={12} x 32 x 128 x 128,3,8.187,0.582,24.0,120.07328691828509,41.692113513293435,1.5369380725540491,1.7598527548328808,LoFi BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,4,492547.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=1 is small, try in0_block_w=2 or above • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy"
2099,0.08445496427865781,,BinaryNgDeviceOperation,3,8.741,0.526,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,493571.0,
2100,0.04942260400163606,,CopyDeviceOperation,3,4.943,0.48,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,494595.0,
2111,0.04099260055308114,,BinaryNgDeviceOperation,3,3.954,0.544,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,505859.0,
2115,0.128017576693893,,PermuteDeviceOperation,3,13.428,0.619,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,509955.0,
2128,0.06664715158841315,,BinaryNgDeviceOperation,3,6.782,0.531,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,523267.0,
2138,0.021270949242083455,,SliceDeviceOperation,2,0.782,1.552,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,449538.0,
2140,0.03248057544935108,,UntilizeWithUnpaddingDeviceOperation,2,3.025,0.539,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,451586.0,
2141,0.02223698206970164,,SliceDeviceOperation,2,1.764,0.676,3,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,452610.0,
2145,0.02271088496626905,,ConcatDeviceOperation,2,1.178,1.314,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,456706.0,
2154,0.05260322151898273,,SliceDeviceOperation,2,1.201,4.571,48,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,465922.0,
2158,0.1012602900723176,,TilizeWithValPaddingDeviceOperation,2,6.31,4.801,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,470018.0,
2163,0.02713094082848434,,ReshapeViewDeviceOperation,2,2.462,0.515,48,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,475138.0,
2167,0.04904894979472714,,LayerNormDeviceOperation,2,4.828,0.554,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,479234.0,
2170,0.025909729518099084,,ReshapeViewDeviceOperation,2,2.289,0.554,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,482306.0,
2176,0.10810454152082001,,BinaryNgDeviceOperation,2,7.979,3.883,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,488450.0,
