Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
34.53,MatmulDeviceOperation (in0:width_sharded),202.95,5,Compute,34.94,50.12,45.21,6.91,46.10
9.79,ReduceScatterDeviceOperation (in0:l1_interleaved),57.55,2,DM,,,,,
9.63,BinaryNgDeviceOperation (in0:dram_interleaved),56.62,15,Compute,,,,,
7.10,BinaryNgDeviceOperation (in0:width_sharded),41.73,3,Compute,,,,,
6.07,AllGatherDeviceOperation (in0:width_sharded),35.68,2,DM,,,,,
5.18,ReshapeViewDeviceOperation (in0:dram_interleaved),30.43,8,TM,,,,,
3.85,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),22.62,4,TM,,,,,
3.37,PermuteDeviceOperation (in0:width_sharded),19.79,2,TM,,,,,
3.33,MatmulDeviceOperation (in0:dram_interleaved),19.57,3,Compute,1.16,3.66,2.63,1.31,2.42
2.94,LayerNormDeviceOperation (in0:width_sharded),17.29,2,Compute,,,,,
2.26,UnaryDeviceOperation (in0:dram_interleaved),13.28,4,Compute,,,,,
2.01,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),11.84,5,TM,,,,,
1.66,SliceDeviceOperation (in0:dram_interleaved),9.78,8,TM,,,,,
1.64,LayerNormDeviceOperation (in0:dram_interleaved),9.62,2,Compute,,,,,
1.62,FillPadDeviceOperation (in0:dram_interleaved),9.52,2,TM,,,,,
1.16,CopyDeviceOperation (in0:dram_interleaved),6.80,2,DM,,,,,
0.83,ConcatDeviceOperation (in0:dram_interleaved),4.85,3,TM,,,,,
0.78,ShardedToInterleavedDeviceOperation (in0:width_sharded),4.61,3,DM,,,,,
0.77,ReduceDeviceOperation (in0:dram_interleaved),4.55,2,Compute,,,,,
0.52,InterleavedToShardedDeviceOperation (in0:dram_interleaved),3.04,2,DM,,,,,
0.36,TypecastDeviceOperation (in0:dram_interleaved),2.11,1,TM,,,,,
0.33,SliceDeviceOperation (in0:width_sharded),1.92,1,TM,,,,,
0.26,ReshardDeviceOperation (in0:width_sharded),1.55,1,DM,,,,,
