Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
36.70,MatmulDeviceOperation (in0:width_sharded),211.64,5,Compute,34.83,49.77,44.95,6.69,45.99
9.97,BinaryNgDeviceOperation (in0:dram_interleaved),57.49,15,Compute,,,,,
9.95,ReduceScatterDeviceOperation (in0:l1_interleaved),57.40,2,DM,,,,,
6.41,AllGatherDeviceOperation (in0:width_sharded),36.98,2,DM,,,,,
5.28,ReshapeViewDeviceOperation (in0:dram_interleaved),30.44,8,TM,,,,,
4.16,BinaryNgDeviceOperation (in0:width_sharded),24.00,3,Compute,,,,,
3.91,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),22.53,4,TM,,,,,
3.43,PermuteDeviceOperation (in0:width_sharded),19.76,2,TM,,,,,
3.40,MatmulDeviceOperation (in0:dram_interleaved),19.63,3,Compute,1.15,3.64,2.62,1.31,2.42
2.67,LayerNormDeviceOperation (in0:width_sharded),15.39,2,Compute,,,,,
2.07,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),11.95,5,TM,,,,,
1.98,UnaryDeviceOperation (in0:dram_interleaved),11.42,4,Compute,,,,,
1.71,SliceDeviceOperation (in0:dram_interleaved),9.88,8,TM,,,,,
1.68,LayerNormDeviceOperation (in0:dram_interleaved),9.67,2,Compute,,,,,
1.63,FillPadDeviceOperation (in0:dram_interleaved),9.40,2,TM,,,,,
1.18,CopyDeviceOperation (in0:dram_interleaved),6.80,2,DM,,,,,
0.84,ConcatDeviceOperation (in0:dram_interleaved),4.86,3,TM,,,,,
0.77,ReduceDeviceOperation (in0:dram_interleaved),4.43,2,Compute,,,,,
0.75,ShardedToInterleavedDeviceOperation (in0:width_sharded),4.30,3,DM,,,,,
0.53,InterleavedToShardedDeviceOperation (in0:dram_interleaved),3.08,2,DM,,,,,
0.36,TypecastDeviceOperation (in0:dram_interleaved),2.05,1,TM,,,,,
0.33,SliceDeviceOperation (in0:width_sharded),1.92,1,TM,,,,,
0.28,ReshardDeviceOperation (in0:width_sharded),1.61,1,DM,,,,,
