2026-08-09 12:48:57.562 | DEBUG    | ttnn:<module>:79 - Initial ttnn.CONFIG:
Config{cache_path=/home/ttuser/.cache/ttnn,model_cache_path=/home/ttuser/.cache/ttnn/models,tmp_dir=/tmp/ttnn,enable_model_cache=false,enable_fast_runtime_mode=true,throw_exception_on_fallback=false,enable_logging=false,enable_graph_report=false,enable_graph_python_stack_traces=false,enable_detailed_buffer_report=false,enable_detailed_tensor_report=false,enable_comparison_mode=false,comparison_mode_should_raise_exception=false,comparison_mode_pcc=0.9999,root_report_path=generated/ttnn/reports,report_name=std::nullopt,std::nullopt}
2026-08-09 12:48:58.884 | info     |          Device | Opening user mode device driver (tt_cluster.cpp:228)
2026-08-09 12:48:58.884 | info     |             UMD | Cluster constructor started. (cluster.cpp:348)
2026-08-09 12:48:58.884 | info     |             UMD | Creating TopologyDiscovery for architecture: blackhole (topology_discovery.cpp:95)
2026-08-09 12:48:58.884 | info     |             UMD | Starting topology discovery. (topology_discovery.cpp:114)
2026-08-09 12:48:58.887 | info     |             UMD | Established firmware bundle version: 19.11.0 (topology_discovery.cpp:574)
2026-08-09 12:48:58.887 | info     |             UMD | Completed topology discovery. (topology_discovery.cpp:118)
2026-08-09 12:48:58.887 | warning  |             UMD | Board 0x46131924022 has 1 chips, but expected 2 chips for board type p300. (cluster_descriptor.cpp:1238)
2026-08-09 12:48:58.907 | info     |             UMD | Opening local chip ids/PCIe ids: {0}/[2] and remote chip ids {} (cluster.cpp:168)
2026-08-09 12:48:58.907 | info     |             UMD | IOMMU: enabled (cluster.cpp:142)
2026-08-09 12:48:58.907 | info     |             UMD | KMD version: 2.10.0 (cluster.cpp:145)
2026-08-09 12:48:58.907 | info     |             UMD | Cluster constructor completed. (cluster.cpp:520)
2026-08-09 12:48:58.907 | warning  |          Device | Using CUSTOM cluster type for P300 board with 1 chips (tt_cluster.cpp:202)
2026-08-09 12:48:58.907 | info     |             UMD | Starting devices in cluster (cluster.cpp:1024)
2026-08-09 12:48:58.998 | info     |             UMD | Starting devices in cluster completed. (cluster.cpp:1032)
2026-08-09 12:48:59.055 | info     |     Distributed | Using custom mesh graph descriptor: /home/ttuser/.local/lib/model-bringup/tt-metal/tt_metal/fabric/mesh_graph_descriptors/p150_mesh_graph_descriptor.textproto (metal_env.cpp:404)
2026-08-09 12:48:59.056 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=0 (bus_id=0x3) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-08-09 12:48:59.056 | info     |          Fabric | Logical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {0:1} (topology_mapper_utils.cpp:2342)
2026-08-09 12:48:59.056 | info     |          Fabric | Physical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {0:1} (topology_mapper_utils.cpp:2350)
2026-08-09 12:48:59.059 | info     |    BuildKernels | Using pre-compiled firmware from: /home/ttuser/.local/lib/model-bringup/tt-metal/tt_metal/pre-compiled/5822202293905037534/ (build_env_manager.cpp:347)
2026-08-09 12:48:59.116 | info     |           Metal | ShmResourceTracker: removed orphaned shm '/tt_device_154095680226369_memory' (shm_resource_tracker.cpp:282)
