Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
69.91,MatmulDeviceOperation (in0:width_sharded),6051.10,48,Compute,42.13,52.93,46.31,4.71,47.47
20.91,SdpaDecodeDeviceOperation (in0:dram_interleaved),1809.99,8,Compute,,,,,
2.22,BinaryNgDeviceOperation (in0:width_sharded),192.53,32,Compute,,,,,
1.41,LayerNormDeviceOperation (in0:width_sharded),121.72,16,Compute,,,,,
1.39,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),120.75,8,Other,,,,,
1.16,LayerNormDeviceOperation (in0:dram_interleaved),100.14,16,Compute,,,,,
1.12,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),96.54,16,DM,,,,,
0.52,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),44.73,16,Other,,,,,
0.45,InterleavedToShardedDeviceOperation (in0:dram_interleaved),39.12,48,DM,,,,,
0.27,SliceDeviceOperation (in0:width_sharded),23.07,8,TM,,,,,
0.19,ShardedToInterleavedDeviceOperation (in0:height_sharded),16.14,24,DM,,,,,
0.17,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),14.85,8,TM,,,,,
0.15,ShardedToInterleavedDeviceOperation (in0:width_sharded),12.77,8,DM,,,,,
0.14,ReshardDeviceOperation (in0:width_sharded),12.54,8,DM,,,,,
