Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
72.64,MatmulDeviceOperation (in0:width_sharded),6233.39,48,Compute,42.09,52.95,46.38,4.63,47.38
5.46,MatmulDeviceOperation (in0:l1_interleaved),468.54,32,Compute,2.44,28.09,9.37,10.62,14.65
2.73,BinaryNgDeviceOperation (in0:width_sharded),234.31,32,Compute,,,,,
2.15,ReshapeViewDeviceOperation (in0:l1_interleaved),184.75,24,TM,,,,,
2.02,BinaryNgDeviceOperation (in0:l1_interleaved),173.49,32,Compute,,,,,
1.94,ReshapeViewDeviceOperation (in0:dram_interleaved),166.09,32,TM,,,,,
1.64,TernaryDeviceOperation (in0:l1_interleaved),140.79,24,TM,,,,,
1.57,BinaryNgDeviceOperation (in0:dram_interleaved),134.40,16,Compute,,,,,
1.47,LayerNormDeviceOperation (in0:dram_interleaved),125.78,16,Compute,,,,,
1.43,LayerNormDeviceOperation (in0:width_sharded),122.60,16,Compute,,,,,
1.40,CopyDeviceOperation (in0:l1_interleaved),120.04,16,DM,,,,,
1.03,UnaryDeviceOperation (in0:dram_interleaved),88.36,24,Compute,,,,,
0.70,CopyDeviceOperation (in0:dram_interleaved),60.14,16,DM,,,,,
0.67,ConcatDeviceOperation (in0:l1_interleaved),57.34,16,TM,,,,,
0.50,TypecastDeviceOperation (in0:l1_interleaved),42.95,16,TM,,,,,
0.48,SliceDeviceOperation (in0:l1_interleaved),41.42,24,TM,,,,,
0.45,LayerNormDeviceOperation (in0:l1_interleaved),38.88,8,Compute,,,,,
0.44,UnaryDeviceOperation (in0:l1_interleaved),38.01,8,Compute,,,,,
0.29,SliceDeviceOperation (in0:dram_interleaved),24.70,16,TM,,,,,
0.29,ShardedToInterleavedDeviceOperation (in0:width_sharded),24.59,16,DM,,,,,
0.24,TransposeDeviceOperation (in0:l1_interleaved),20.55,8,TM,,,,,
0.17,ReshardDeviceOperation (in0:width_sharded),14.65,8,DM,,,,,
0.16,InterleavedToShardedDeviceOperation (in0:l1_interleaved),14.06,8,DM,,,,,
0.13,InterleavedToShardedDeviceOperation (in0:dram_interleaved),10.81,8,DM,,,,,
