Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
20.36,MatmulDeviceOperation (in0:dram_interleaved),6206.53,7,Compute,19.47,73.98,61.59,18.80,67.36
19.40,BinaryNgDeviceOperation (in0:dram_interleaved),5911.60,80,Compute,,,,,
13.88,MatmulDeviceOperation (in0:l1_interleaved),4231.90,268,Compute,1.97,4.88,3.41,0.83,3.03
10.52,SliceDeviceOperation (in0:dram_interleaved),3206.30,310,TM,,,,,
5.26,BinaryNgDeviceOperation (in0:l1_interleaved),1602.83,116,Compute,,,,,
3.75,TernaryDeviceOperation (in0:dram_interleaved),1142.13,3,TM,,,,,
3.52,LayerNormDeviceOperation (in0:dram_interleaved),1072.40,5,Compute,,,,,
3.50,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),1066.75,7,TM,,,,,
3.29,ConcatDeviceOperation (in0:dram_interleaved),1003.24,4,TM,,,,,
3.20,TransposeDeviceOperation (in0:dram_interleaved),976.22,6,TM,,,,,
1.93,UnaryDeviceOperation (in0:dram_interleaved),589.70,7,Compute,,,,,
1.73,TilizeDeviceOperation (in0:dram_interleaved),527.03,2,TM,,,,,
1.70,TypecastDeviceOperation (in0:dram_interleaved),517.14,2,TM,,,,,
1.69,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),514.73,2,TM,,,,,
1.61,ConcatDeviceOperation (in0:l1_interleaved),492.19,19,TM,,,,,
1.60,PermuteDeviceOperation (in0:dram_interleaved),487.87,4,TM,,,,,
1.11,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),339.39,4,TM,,,,,
1.05,TransposeDeviceOperation (in0:l1_interleaved),320.86,68,TM,,,,,
0.42,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),129.25,1,TM,,,,,
0.24,AccumulationDeviceOperation (in0:dram_interleaved),72.20,1,Compute,,,,,
0.23,SliceDeviceOperation (in0:l1_interleaved),69.74,20,TM,,,,,
