scope,candidate,result,latency_ms,throughput_t_s_u,correctness,evidence,decision
prefill_state,batch1_allocate_concat_copy,same_process_control,679.058899,,same full-model weights and prompt128,evidence/final/token_out_metrics.json,rejected
prefill_state,batch1_reuse_persistent_state,selected,655.159903,,same full-model weights and prompt128,evidence/final/token_out_metrics.json,selected_3.52pct_faster
greedy_sampler,full_vocab_ring_all_gather_argmax,inherited_baseline,2.417212,413.700,token=225721 matches host greedy,evidence/baseline/token_out_metrics.json,rejected_full_vocab_collective
greedy_sampler,generic_sampling1d_compact_linear,alternative,10.736105,93.143,token=225721 matches selected,evidence/final/token_out_metrics.json,rejected_7.26x_slower
greedy_sampler,compact_candidate_async_ring,alternative,1.469,,correct uninstrumented but Watcher writer stall,../AUTOFIX.md,rejected_watcher_failure
greedy_sampler,compact_candidate_async_ring_barrier,alternative,,,Watcher writer stall,../AUTOFIX.md,rejected_watcher_failure
greedy_sampler,compact_candidate_sync_ring,alternative,,,Watcher writer stall,../AUTOFIX.md,rejected_watcher_failure
greedy_sampler,distributed_local_argmax_all_broadcast,selected,1.478412,676.402,token=225721; eager trace and Watcher pass,evidence/final/token_out_metrics.json,selected
token_out,baseline_model_plus_sampler_trace,baseline,44.432408,22.506095,token=225721 matches host greedy,evidence/baseline/token_out_metrics.json,baseline
token_out,optimized_model_plus_sampler_trace,selected,43.488361,22.994658,token=225721 matches host greedy,evidence/final/token_out_metrics.json,selected_2.17pct_higher_throughput
caller_visible,baseline_prompt128_generate128,baseline,49.357466,20.260359,no_host_token_feedback,evidence/baseline/token_out_metrics.json,baseline
caller_visible,optimized_prompt128_generate128,selected,48.272701,20.715642,no_host_token_feedback,evidence/final/token_out_metrics.json,selected_2.25pct_higher_throughput
