Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
28.00,MatmulDeviceOperation (in0:dram_interleaved),1608.82,51,Compute,1.90,26.22,9.54,7.63,11.61
13.65,MatmulDeviceOperation (in0:width_sharded),784.47,16,Compute,40.84,41.41,41.26,0.14,41.26
9.45,LayerNormDeviceOperation (in0:dram_interleaved),543.03,12,Compute,,,,,
8.46,BinaryNgDeviceOperation (in0:dram_interleaved),486.24,86,Compute,,,,,
6.36,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),365.71,44,TM,,,,,
5.39,ReshapeViewDeviceOperation (in0:dram_interleaved),309.79,15,TM,,,,,
4.09,ReduceScatterDeviceOperation (in0:dram_interleaved),234.97,6,DM,,,,,
3.86,TilizeDeviceOperation (in0:dram_interleaved),221.93,14,TM,,,,,
3.02,AllGatherDeviceOperation (in0:dram_interleaved),173.75,6,DM,,,,,
2.73,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),156.96,35,TM,,,,,
2.67,SliceDeviceOperation (in0:dram_interleaved),153.54,82,TM,,,,,
1.93,ConcatDeviceOperation (in0:dram_interleaved),110.94,37,TM,,,,,
1.58,UntilizeDeviceOperation (in0:dram_interleaved),91.02,17,TM,,,,,
1.23,AccumulationDeviceOperation (in0:dram_interleaved),70.49,2,Compute,,,,,
1.23,TransposeDeviceOperation (in0:dram_interleaved),70.46,15,TM,,,,,
1.18,PermuteDeviceOperation (in0:dram_interleaved),67.71,4,TM,,,,,
0.83,UnaryDeviceOperation (in0:dram_interleaved),47.68,18,Compute,,,,,
0.76,TypecastDeviceOperation (in0:dram_interleaved),43.86,20,TM,,,,,
0.73,EmbeddingsDeviceOperation (in0:dram_interleaved),41.90,1,Compute,,,,,
0.50,ShardedToInterleavedDeviceOperation (in0:width_sharded),28.64,16,DM,,,,,
0.48,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),27.42,1,TM,,,,,
0.47,InterleavedToShardedDeviceOperation (in0:dram_interleaved),27.23,16,DM,,,,,
0.44,SDPAOperation (in0:dram_interleaved),25.33,1,Compute,,,,,
0.30,FillPadDeviceOperation (in0:dram_interleaved),17.03,3,TM,,,,,
0.28,CopyDeviceOperation (in0:dram_interleaved),15.95,8,DM,,,,,
0.17,ReduceDeviceOperation (in0:dram_interleaved),9.88,2,Compute,,,,,
0.16,RotaryEmbeddingDeviceOperation (in0:dram_interleaved),8.98,2,Compute,,,,,
0.04,PagedFillCacheDeviceOperation (in0:dram_interleaved),2.47,2,Other,,,,,
