ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
6708,0.06331079770415055,,EmbeddingsDeviceOperation,3,2.394,,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,629763.0,
6720,0.06952551677703082,,SliceDeviceOperation,3,2.076,0.553,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,642051.0,
6721,0.052811889312944296,,ShardedToInterleavedDeviceOperation,3,1.467,0.53,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,643075.0,
6725,0.057677882118944174,,SliceDeviceOperation,3,0.667,1.514,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,647171.0,
6729,0.7903007011657623,,UntilizeWithUnpaddingDeviceOperation,3,2.112,27.772,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,651267.0,
6730,0.8958980341785747,,UntilizeWithUnpaddingDeviceOperation,3,1.593,32.284,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,652291.0,
6734,0.16613134134397398,,BinaryNgDeviceOperation,3,2.669,3.613,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,656387.0,
6743,0.06365459067413967,,ConcatDeviceOperation,3,1.833,0.574,12,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,665603.0,
6744,0.2883365193685687,,TilizeWithValPaddingDeviceOperation,3,6.336,4.567,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,666627.0,
6747,0.06209429950265057,,ConcatDeviceOperation,3,1.785,0.563,12,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,669699.0,
6748,0.1881076458102017,,TilizeWithValPaddingDeviceOperation,3,6.573,0.54,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,670723.0,
6758,0.08404415835580219,,BinaryNgDeviceOperation,3,2.61,0.568,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,680963.0,
6761,0.1755459795990607,,UnaryDeviceOperation,3,2.317,4.321,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,684035.0,
6763,0.18125823202349534,SLOW,MatmulDeviceOperation b={12} x 32 x 128 x 128,3,6.206,0.648,12.0,174.24170157911698,34.03158233967128,2.027539800193361,3.055585395256681,LoFi BF16 x FP32 => FP32,FLOAT32,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,4,1,2,686083.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 1x2 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
6764,0.07320145699460681,,BinaryNgDeviceOperation,3,2.276,0.492,110,,,,,"BF16, FP32 => BF16",BFLOAT16,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,687107.0,
6767,0.2521324750674066,,BinaryNgDeviceOperation,3,9.019,0.515,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,690179.0,
6790,1.156440214204177,SLOW,MatmulDeviceOperation 32 x 4352 x 5120,3,43.179,0.55,12,258.02172352300886,50.394867875587664,33.02678061094513,49.77270901292609,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,17,,,713731.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
6796,0.06042822587885714,,InterleavedToShardedDeviceOperation,3,1.683,0.602,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,719875.0,
6801,0.06008443290886802,,SliceDeviceOperation,3,1.724,0.548,48,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,724995.0,
6802,0.04419061945014016,,ShardedToInterleavedDeviceOperation,3,1.182,0.489,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,726019.0,
6807,0.19842143490987535,,LayerNormDeviceOperation,3,7.03,0.473,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,731139.0,
6811,0.06677517301711786,,SliceDeviceOperation,3,2.039,0.486,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,735235.0,
6825,0.17763518303207151,,BinaryNgDeviceOperation,3,2.436,4.281,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,749571.0,
6827,0.1827391863557562,,ConcatDeviceOperation,3,2.639,4.271,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,751619.0,
6828,0.07597824636759587,,InterleavedToShardedDeviceOperation,3,2.268,0.605,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,752643.0,
6829,0.07113869917467208,,InterleavedToShardedDeviceOperation,3,2.138,0.552,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,753667.0,
6834,0.11673093611784481,,BinaryNgDeviceOperation,3,3.875,0.539,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,758787.0,
6850,1.3215137310251075,DRAM,MatmulDeviceOperation 32 x 5120 x 4096,3,49.389,0.582,12,424.61924720079367,82.93344671890502,27.175631820850793,40.954788503162966,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,10,,,775171.0,
6852,1.3154841312437595,DRAM,MatmulDeviceOperation 32 x 5120 x 4096,3,49.141,0.602,12,426.76217415193014,83.35198713904886,27.31277914572353,41.16147513039449,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,10,,,777219.0,
6855,0.058365468058922405,,InterleavedToShardedDeviceOperation,3,1.641,0.566,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,780291.0,
6857,0.06111581181883539,,InterleavedToShardedDeviceOperation,3,1.802,0.509,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,782339.0,
6866,1.3094545314624122,DRAM,MatmulDeviceOperation 32 x 5120 x 4096,3,48.947,0.568,12,428.45363352197273,83.6823502972603,27.421032545406256,41.324617430745825,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,10,,,791555.0,
6869,0.05818034876738981,,InterleavedToShardedDeviceOperation,3,1.642,0.558,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,794627.0,
6871,0.05656716636974855,,InterleavedToShardedDeviceOperation,3,1.54,0.599,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,796675.0,
6872,1.311067713860053,DRAM,MatmulDeviceOperation 32 x 5120 x 4096,3,48.98,0.596,12,428.16496529195587,83.62596978358513,27.402557778685175,41.29677520177044,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,10,,,797699.0,
6876,1.31379161200689,DRAM,MatmulDeviceOperation 32 x 5120 x 4096,3,49.08,0.599,12,427.2925835370823,83.45558272208639,27.346725346373265,41.21263344300562,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,10,,,801795.0,
6878,1.314955218982238,DRAM,MatmulDeviceOperation 32 x 5120 x 4096,3,49.127,0.596,12,426.8837909906975,83.37574042787061,27.32056262340464,41.17320514956573,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,10,,,803843.0,
6880,0.0655322292025418,,ShardedToInterleavedDeviceOperation,3,1.669,0.809,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,805891.0,
6884,0.06193562582419405,,ShardedToInterleavedDeviceOperation,3,1.759,0.583,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,809987.0,
6889,0.06172406091958536,,ShardedToInterleavedDeviceOperation,3,1.759,0.575,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,815107.0,
6902,0.12001019213927952,,TransposeDeviceOperation,2,4.019,0.519,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,631810.0,
6909,0.18374411965264742,,PermuteDeviceOperation,2,6.395,0.553,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,638978.0,
6911,1.3875484268760947,DRAM,MatmulDeviceOperation 32 x 5120 x 4352,2,51.907,0.561,12,429.27235247654454,83.8422563430751,27.47343055849885,41.40358337929635,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,10,,,641026.0,
6915,0.060692682009618,,SliceDeviceOperation,2,1.707,0.588,48,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,645122.0,
6916,0.060137324135020195,,SliceDeviceOperation,2,0.744,1.53,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,646146.0,
6918,0.0940406000985628,,UntilizeWithUnpaddingDeviceOperation,2,3.005,0.551,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,648194.0,
6919,0.0655322292025418,,SliceDeviceOperation,2,1.794,0.684,3,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,649218.0,
6924,1.0334945590134517,,TilizeWithValPaddingDeviceOperation,2,4.967,34.113,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,654338.0,
6927,0.18035908117890842,,FillPadDeviceOperation,2,4.461,2.359,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,657410.0,
6933,0.10205362086061695,,ReshapeViewDeviceOperation,2,1.581,2.278,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,663554.0,
6934,0.10065200336758437,,UntilizeWithUnpaddingDeviceOperation,2,2.589,1.217,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,664578.0,
6937,0.07775010244369365,,ReshapeViewDeviceOperation,2,2.324,0.616,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,667650.0,
6954,0.317849823561481,,BinaryNgDeviceOperation,2,8.045,3.974,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,685058.0,
6957,0.12672737786060545,,BinaryNgDeviceOperation,2,4.296,0.496,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,688130.0,
6961,0.1590174714265068,SLOW,MatmulDeviceOperation b={12} x 32 x 128 x 128,2,5.386,0.627,12.0,182.51763832157442,35.6479762346825,2.336225770516153,3.5207877762649393,LoFi BF16 x FP32 => BF16,BFLOAT16,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,4,1,2,692226.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 1x2 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
6964,0.08645070914572603,,BinaryNgDeviceOperation,2,2.804,0.465,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,695298.0,
6968,0.08586890565805215,,UnaryDeviceOperation,2,2.736,0.511,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,699394.0,
6969,0.10054622091528002,,BinaryNgDeviceOperation,2,3.29,0.512,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,700418.0,
6970,0.09525709830006276,,BinaryNgDeviceOperation,2,3.069,0.533,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,701442.0,
