ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
765,0.30100360447670305,,InterleavedToShardedDeviceOperation,3,1.452,,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,144387.0,
770,0.4807350955795278,,SliceDeviceOperation,3,1.759,0.56,48,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,149507.0,
771,0.33624507332039416,,ShardedToInterleavedDeviceOperation,3,1.136,0.486,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,150531.0,
776,1.574049840765569,,LayerNormDeviceOperation,3,7.122,0.471,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,155651.0,
780,0.5269636105921344,,SliceDeviceOperation,3,2.062,0.48,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,159747.0,
783,1.1789307842004202,,BinaryNgDeviceOperation,3,2.327,3.36,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,162819.0,
784,1.318445540269856,,BinaryNgDeviceOperation,3,2.633,3.727,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,163843.0,
788,1.0149543026983046,,SliceDeviceOperation,3,0.907,3.989,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,167939.0,
791,1.0518541936052281,,UnaryDeviceOperation,3,1.09,3.984,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,171011.0,
792,1.3659178718298872,,ConcatDeviceOperation,3,2.295,4.294,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,172035.0,
793,1.2174890971705765,,BinaryNgDeviceOperation,3,2.156,3.717,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,173059.0,
794,1.3068365858272286,,BinaryNgDeviceOperation,3,2.433,3.871,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,174083.0,
796,1.4167070475163834,,ConcatDeviceOperation,3,2.543,4.291,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,176131.0,
797,0.560339354614689,,InterleavedToShardedDeviceOperation,3,2.107,0.596,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,177155.0,
798,0.5688387676887556,,InterleavedToShardedDeviceOperation,3,2.19,0.554,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,178179.0,
