Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
53.06,MatmulDeviceOperation (in0:width_sharded),212.76,5,Compute,34.92,49.73,43.13,6.43,43.97
8.52,AllReduceAsyncDeviceOperation (in0:width_sharded),34.18,2,Other,,,,,
6.00,BinaryNgDeviceOperation (in0:width_sharded),24.07,3,Compute,,,,,
4.99,ReshapeViewDeviceOperation (in0:dram_interleaved),20.03,1,TM,,,,,
3.83,LayerNormDeviceOperation (in0:width_sharded),15.35,2,Compute,,,,,
3.54,LayerNormDeviceOperation (in0:l1_interleaved),14.21,2,Compute,,,,,
2.78,SliceDeviceOperation (in0:l1_interleaved),11.14,8,TM,,,,,
2.29,ConcatDeviceOperation (in0:l1_interleaved),9.16,4,TM,,,,,
2.27,SdpaDecodeDeviceOperation (in0:height_sharded),9.11,1,Compute,,,,,
2.22,BinaryNgDeviceOperation (in0:dram_interleaved),8.92,3,Compute,,,,,
2.06,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),8.25,2,DM,,,,,
1.88,BinaryNgDeviceOperation (in0:l1_interleaved),7.53,4,Compute,,,,,
1.43,InterleavedToShardedDeviceOperation (in0:dram_interleaved),5.75,3,DM,,,,,
1.24,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),4.98,1,Other,,,,,
1.24,SliceDeviceOperation (in0:width_sharded),4.97,2,TM,,,,,
0.88,ShardedToInterleavedDeviceOperation (in0:height_sharded),3.53,2,DM,,,,,
0.79,UnaryDeviceOperation (in0:l1_interleaved),3.17,2,Compute,,,,,
0.68,ReshardDeviceOperation (in0:width_sharded),2.74,2,DM,,,,,
0.28,ShardedToInterleavedDeviceOperation (in0:width_sharded),1.14,1,DM,,,,,
