ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
736,1.161055325516737,,LayerNormDeviceOperation,2,85.347,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,188418.0,
739,0.45639852737367465,,InterleavedToShardedDeviceOperation,3,1.367,32.182,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,189443.0,
744,1.7171435130470272,DRAM,MatmulDeviceOperation 32 x 5120 x 4352,2,52.193,74.031,12,426.92008506887896,83.38282911501543,27.322885444408254,41.17670573581009,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,10,,,190466.0,
748,0.6645659918546419,,SliceDeviceOperation,2,1.907,46.944,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,191490.0,
754,0.6271551614192308,,ShardedToInterleavedDeviceOperation,0,1.336,44.765,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,192512.0,
756,0.7239607866477346,,SliceDeviceOperation,2,1.357,51.86,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,193538.0,
760,0.4937005263023646,,SliceDeviceOperation,2,1.24,35.051,48,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,194562.0,
764,0.2873015738056167,,SliceDeviceOperation,2,0.758,20.361,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,195586.0,
767,1.1125572853341041,,UnaryDeviceOperation,3,1.945,79.837,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,196611.0,
771,0.28732878168229703,,SliceDeviceOperation,3,0.675,20.446,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,197635.0,
778,0.4653771266781734,,TypecastDeviceOperation,0,1.003,33.206,1,,,,,BF16 => FP32,FLOAT32,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,198656.0,
779,1.7499290044467875,,UntilizeWithUnpaddingDeviceOperation,3,2.378,126.256,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,199683.0,
784,0.9814969433651042,,UntilizeWithUnpaddingDeviceOperation,2,10.027,62.121,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,200706.0,
788,0.03956025269315467,,ConcatDeviceOperation,2,2.271,0.637,36,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,201730.0,
794,0.8746107998265498,,TilizeWithValPaddingDeviceOperation,0,17.507,46.784,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,202752.0,
795,0.2382865839660582,,SliceDeviceOperation,3,1.364,16.152,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,203779.0,
801,0.9634173093110456,,UntilizeWithUnpaddingDeviceOperation,1,11.753,59.066,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,204801.0,
806,0.19327115199850353,,SliceDeviceOperation,0,1.786,12.421,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,205824.0,
808,1.3031484614795985,,TilizeDeviceOperation,2,14.242,81.55,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,206850.0,
811,0.030948959723840052,,SliceDeviceOperation,3,1.793,0.482,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,207875.0,
815,1.080696861741474,,BinaryNgDeviceOperation,3,2.745,76.695,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,208899.0,
821,0.7824577215103773,,UntilizeWithUnpaddingDeviceOperation,1,11.722,45.795,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,209921.0,
826,0.0749849081309039,,SliceDeviceOperation,0,1.86,3.652,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,210944.0,
828,1.0026238596073564,,TilizeDeviceOperation,2,14.537,59.164,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,211970.0,
831,0.5892409852652343,,UntilizeWithUnpaddingDeviceOperation,3,2.365,40.949,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,212995.0,
836,0.03153392907246648,,SliceDeviceOperation,2,0.907,1.411,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,214018.0,
841,0.8900648737809596,,TilizeWithValPaddingDeviceOperation,1,3.581,61.846,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,215041.0,
843,0.4223070578932601,,BinaryNgDeviceOperation,3,2.779,28.264,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,216067.0,
847,0.6952972885650396,,UntilizeWithUnpaddingDeviceOperation,3,11.747,39.363,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,217091.0,
854,0.037737324955574636,,SliceDeviceOperation,0,2.193,0.581,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,218112.0,
856,0.9189596388154371,,TilizeDeviceOperation,2,14.279,53.272,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,219138.0,
862,0.4268643772372102,,UntilizeWithUnpaddingDeviceOperation,0,2.361,29.017,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,220160.0,
866,0.034322736432197125,,SliceDeviceOperation,0,0.993,1.53,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,221184.0,
868,0.5983556239531345,,TilizeWithValPaddingDeviceOperation,2,3.516,40.468,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,222210.0,
871,0.2637939683538384,,BinaryNgDeviceOperation,3,2.84,16.551,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,223235.0,
877,0.660375978845876,,UntilizeWithUnpaddingDeviceOperation,1,11.719,36.824,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,224257.0,
881,0.03847193762594271,,SliceDeviceOperation,1,2.257,0.571,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,225281.0,
884,0.9580301497283463,,TilizeDeviceOperation,2,14.27,56.153,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,226306.0,
887,0.4371081428073427,,UntilizeWithUnpaddingDeviceOperation,3,2.364,29.767,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,227331.0,
894,0.034377152185557716,,SliceDeviceOperation,0,0.972,1.555,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,228352.0,
897,0.5559657520852286,,TilizeWithValPaddingDeviceOperation,1,3.513,37.355,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,229377.0,
899,0.2278251553824832,,BinaryNgDeviceOperation,3,2.804,13.943,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,230403.0,
903,0.8385603632251536,,BinaryNgDeviceOperation,3,1.986,59.655,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,231427.0,
907,0.5576662443777474,,BinaryNgDeviceOperation,3,1.978,39.015,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,232451.0,
911,0.5339001640975063,,BinaryNgDeviceOperation,3,2.017,37.229,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,233475.0,
916,0.3343167847091733,,CopyDeviceOperation,2,1.461,23.114,80,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,234498.0,
920,0.8548986931716731,,UnaryDeviceOperation,2,2.568,60.274,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,235522.0,
925,0.603769991412514,,SliceDeviceOperation,1,0.95,43.432,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,236545.0,
929,0.39956127298853017,,SliceDeviceOperation,1,0.93,28.441,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,237569.0,
932,0.46088782702592407,,SliceDeviceOperation,2,1.161,32.718,48,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,238594.0,
937,0.6090211116118116,,ReshapeViewDeviceOperation,1,8.104,36.664,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,239617.0,
939,0.40245891185498206,,ReshapeViewDeviceOperation,3,7.847,21.737,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,240643.0,
945,0.6804417878975964,,TransposeDeviceOperation,1,2.539,47.479,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,241665.0,
948,0.46597569996513993,,UntilizeDeviceOperation,2,3.924,30.329,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,242690.0,
954,0.7577801773613462,,ConcatDeviceOperation,0,2.45,53.253,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,243712.0,
958,0.3977519491892903,,TilizeDeviceOperation,0,2.672,26.566,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,244736.0,
961,0.4958907603751285,,TransposeDeviceOperation,1,2.501,33.951,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,245761.0,
963,0.18320423762679297,,UntilizeDeviceOperation,3,3.967,9.5,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,246787.0,
969,0.5249351687313478,,ConcatDeviceOperation,1,2.45,36.137,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,247809.0,
971,0.22653278124016904,,TilizeDeviceOperation,3,2.701,13.951,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,248835.0,
976,0.6217407939598514,,ReshapeViewDeviceOperation,2,17.987,27.716,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,249858.0,
981,0.31214236521472966,,TransposeDeviceOperation,1,3.536,19.409,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,250881.0,
983,0.6861554420004591,,LayerNormDeviceOperation,3,3.931,46.507,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,251907.0,
989,0.9837279892528886,,BinaryNgDeviceOperation,1,2.704,69.608,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,252929.0,
994,0.6610697797012235,,PadDeviceOperation,0,6.513,42.081,96,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,253952.0,
996,0.2895598275700816,,LayerNormDeviceOperation,2,3.964,17.321,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,254978.0,
1001,0.5947913921080153,,BinaryNgDeviceOperation,1,2.683,41.039,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,256001.0,
1003,0.349580403526821,,PadDeviceOperation,3,6.491,19.206,96,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,257027.0,
1007,0.2681880404377067,,PadDeviceOperation,3,6.419,13.295,96,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,258051.0,
1013,0.2591006096264869,,ReshapeViewDeviceOperation,1,3.227,15.819,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,259073.0,
1017,0.5250712081147493,,TransposeDeviceOperation,1,1.711,36.886,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,260097.0,
1019,0.36605477285674204,,ReshapeViewDeviceOperation,3,4.523,22.385,32,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,261123.0,
1025,0.4883405745963456,,TransposeDeviceOperation,1,1.893,34.004,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,262145.0,
1028,0.9078044093765145,,BinaryNgDeviceOperation,2,4.409,62.322,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,263170.0,
1033,1.1182845433753072,,UnaryDeviceOperation,1,3.789,78.414,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,264193.0,
1036,0.8255549981719706,,BinaryNgDeviceOperation,2,4.446,56.239,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,265218.0,
1042,0.43939360444848785,,FillPadDeviceOperation,0,7.089,25.21,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,266240.0,
1045,0.3684762738812886,,PadDeviceOperation,1,6.106,20.98,24,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,267265.0,
1049,0.3377313732325508,,FillPadDeviceOperation,1,8.012,16.814,12,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,268289.0,
1053,0.5206227202775203,,PadDeviceOperation,1,24.59,13.68,24,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,269313.0,
