ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
683,0.06556806770048507,,ReshapeViewDeviceOperation,0,3.83,,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,351232.0
684,0.430677775232664,,LayerNormDeviceOperation,0,23.87,1.287,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,352256.0
685,0.07910967123862703,,ReshapeViewDeviceOperation,0,4.085,0.536,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,353280.0
686,0.05860039053231342,,BinaryNgDeviceOperation,0,2.893,0.53,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,354304.0
687,0.1014678687364948,,ReshapeViewDeviceOperation,0,5.397,0.53,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,355328.0
688,2.0530509010216633,SLOW,MatmulDeviceOperation 32 x 10240 x 320,0,119.384,0.54,10.0,60.556188433961,11.827380553508007,1.7566441064129195,12.707205630880495,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,1,356352.0
689,0.06799905088938034,,BinaryNgDeviceOperation,0,3.433,0.539,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,357376.0
690,0.05981588212676105,,UnaryDeviceOperation,0,2.916,0.578,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,358400.0
691,0.36113796035032186,DRAM,MatmulDeviceOperation 32 x 320 x 10240,0,20.51,0.585,107.0,352.4836665041443,68.84446611409068,10.22502194051682,6.912684658211115,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,359424.0
692,0.09176105558083551,,UnaryDeviceOperation,0,4.833,0.527,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,360448.0
693,0.0799998904345605,,ReshapeViewDeviceOperation,0,4.156,0.517,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,361472.0
694,0.07946918283698479,,ReshapeViewDeviceOperation,0,4.065,0.577,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,362496.0
695,0.05711098533911702,,BinaryNgDeviceOperation,0,2.839,0.497,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,363520.0
696,0.09520209516511682,,FillPadDeviceOperation,0,4.973,0.588,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,364544.0
697,0.04826015217954763,,ReduceDeviceOperation,0,2.244,0.575,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,365568.0
698,0.06743410409196102,,BinaryNgDeviceOperation,0,3.452,0.487,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,366592.0
699,1.3112586364101708,SLOW,MatmulDeviceOperation 32 x 10240 x 32,0,76.013,0.581,1.0,17.27030902608764,3.3731072316577424,0.27589386026074486,19.95759984525064,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,1,367616.0
700,0.06693763569422888,,BinaryNgDeviceOperation,0,3.362,0.548,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,368640.0
701,0.05659739734146309,,UnaryDeviceOperation,0,2.785,0.521,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,369664.0
702,0.066167253697748,,BinaryNgDeviceOperation,0,3.339,0.526,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,370688.0
703,2.3526781388529665,DRAM,MatmulDeviceOperation 32 x 2560 x 10240,0,136.913,0.513,107.0,393.70519965233393,76.89554680709647,12.253924755136472,8.284336028859785,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,371712.0
704,1.320879851566221,DRAM,MatmulDeviceOperation 32 x 2560 x 6144,0,76.614,0.542,96.0,417.86535098023853,81.61432636332783,13.139021066645782,9.900521034256382,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,372736.0
705,0.5420407727239578,SLOW,MatmulDeviceOperation 32 x 2560 x 64,0,31.046,0.616,2.0,16.095857759453715,3.143722218643304,0.33774914642788123,12.216042622536213,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,1,373760.0
706,0.5440608855147299,SLOW,MatmulDeviceOperation 32 x 2560 x 64,0,30.362,1.418,2.0,16.45846782161913,3.2145444964099865,0.3453580133061063,12.491247587749795,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,1,374784.0
707,0.06426697810642844,,UnaryDeviceOperation,0,3.235,0.519,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,375808.0
708,0.0557756565452168,,BinaryNgDeviceOperation,0,2.74,0.518,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,376832.0
709,0.08674501280374879,,UnaryDeviceOperation,0,4.547,0.52,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,377856.0
710,0.056494679741932306,,BinaryNgDeviceOperation,0,2.775,0.525,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,378880.0
711,0.0955444871635528,,UntilizeWithUnpaddingDeviceOperation,0,5.059,0.522,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,379904.0
712,0.3461411908188271,,UntilizeWithUnpaddingDeviceOperation,0,4.568,15.651,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,380928.0
713,0.06731426689250843,,ConcatDeviceOperation,0,3.356,0.576,4,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,381952.0
714,0.9544690544399853,,TilizeWithValPaddingDeviceOperation,0,13.204,42.549,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,382976.0
715,0.12954401260824297,,SliceDeviceOperation,0,6.998,0.569,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,384000.0
716,0.15825358167709763,,BinaryNgDeviceOperation,0,8.665,0.579,110,,,,,"FP32, BF16 => FP32",FLOAT32,FLOAT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,385024.0
