ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
174,0.07293804811036196,,BinaryNgDeviceOperation,0,17.556,,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,176128.0
175,0.12726767075442688,,BinaryNgDeviceOperation,0,8.115,22.518,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,177152.0
176,0.5189170702369804,,ReshapeViewDeviceOperation,0,80.317,44.585,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,178176.0
177,0.11044156601263111,,LayerNormDeviceOperation,0,26.101,0.482,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,179200.0
178,0.019892194939189624,,ReshapeViewDeviceOperation,0,4.224,0.564,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,180224.0
179,0.10652793868750232,,UntilizeWithUnpaddingDeviceOperation,0,2.25,23.391,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,181248.0
180,0.15987292260963992,,RepeatDeviceOperation,0,34.751,3.73,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,182272.0
181,0.32878624124845207,,TilizeDeviceOperation,0,54.389,24.749,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,183296.0
182,0.09648213096758577,,BinaryNgDeviceOperation,0,22.687,0.536,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,184320.0
183,0.3357036398645237,,ReshapeViewDeviceOperation,0,80.259,0.544,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,185344.0
184,0.9030134182576613,SLOW,MatmulDeviceOperation 128 x 10240 x 320,0,216.856,0.497,40.0,42.68712878592245,8.337329841000479,3.868284944848194,6.995596326765396,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,1,186368.0
185,0.016497891834486633,,BinaryNgDeviceOperation,0,3.451,0.52,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,187392.0
186,0.014437213327837083,,UnaryDeviceOperation,0,2.899,0.576,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,188416.0
187,0.14177135758247844,SLOW,MatmulDeviceOperation 128 x 320 x 10240,0,33.563,0.561,107.0,275.8084795757232,53.86884366713344,24.993617972171734,16.897078609172002,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,4,1,189440.0
188,0.08407235939629097,,UnaryDeviceOperation,0,19.708,0.528,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,190464.0
189,1.2549490559558136,,ReshapeViewDeviceOperation,0,301.489,0.574,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,191488.0
190,1.2546042246734508,,ReshapeViewDeviceOperation,0,301.525,0.455,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,192512.0
191,0.597085751895471,,BinaryNgDeviceOperation,0,143.273,0.444,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,193536.0
192,0.46805653338535985,,FillPadDeviceOperation,0,112.09,0.57,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,194560.0
193,0.4572836717568472,,ReduceDeviceOperation,0,109.496,0.571,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,195584.0
194,0.48826863204433174,,BinaryNgDeviceOperation,0,116.943,0.582,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,196608.0
195,0.2578631711133422,,ReshapeViewDeviceOperation,0,61.504,0.563,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,197632.0
196,0.41132140095228265,SLOW,MatmulDeviceOperation 128 x 10240 x 32,0,98.38,0.624,4.0,33.39085179914617,6.521650742020737,0.8526741207562513,15.420177241685678,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,1,198656.0
197,0.016543592365884104,,BinaryNgDeviceOperation,0,3.461,0.521,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,199680.0
198,0.014478759265471148,,UnaryDeviceOperation,0,2.91,0.575,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,200704.0
199,0.01637740861534785,,BinaryNgDeviceOperation,0,3.395,0.547,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,201728.0
200,0.6590889092205474,DRAM,MatmulDeviceOperation 128 x 2560 x 10240,0,158.099,0.542,107.0,368.92731769334404,72.05611673698125,42.44736778853756,28.69678615852801,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,4,1,202752.0
201,0.35238433382460016,DRAM,MatmulDeviceOperation 128 x 2560 x 6144,0,84.294,0.524,96.0,399.6192374308966,78.050632310722,47.76771585166204,35.99395062607154,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,2,2,203776.0
202,0.22947067733422316,SLOW,MatmulDeviceOperation 128 x 2560 x 64,0,54.543,0.69,8.0,18.623984745980238,3.637497020699265,0.7689903378985387,6.953399322722609,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,1,204800.0
203,0.23050932577507477,SLOW,MatmulDeviceOperation 128 x 2560 x 64,0,54.584,0.899,8.0,18.609995603107137,3.6347647662318625,0.7684127216766817,6.948176375114672,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,1,205824.0
204,0.015637890925461518,,UnaryDeviceOperation,0,3.25,0.514,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,206848.0
205,0.05708827290296671,,BinaryNgDeviceOperation,0,13.217,0.524,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,207872.0
206,0.02078543259832199,,UnaryDeviceOperation,0,4.486,0.517,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,208896.0
207,0.05718798315328847,,BinaryNgDeviceOperation,0,13.247,0.518,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,209920.0
208,0.023357126137870523,,UntilizeWithUnpaddingDeviceOperation,0,5.108,0.514,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,210944.0
209,0.19191314971302972,,UntilizeWithUnpaddingDeviceOperation,0,45.696,0.497,80,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,211968.0
210,0.13191666117567855,,ConcatDeviceOperation,0,31.265,0.487,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,212992.0
211,0.30174399044244016,,TilizeWithValPaddingDeviceOperation,0,72.042,0.587,64,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,214016.0
212,0.12523607440412113,,SliceDeviceOperation,0,29.65,0.494,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,215040.0
213,0.3338548456398078,,BinaryNgDeviceOperation,0,79.776,0.582,110,,,,,"FP32, BF16 => FP32",FLOAT32,FLOAT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,216064.0
214,0.19571875760030993,,UntilizeWithUnpaddingDeviceOperation,0,46.575,0.534,64,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,217088.0
215,0.11858456978890758,,SliceDeviceOperation,0,28.001,0.542,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,218112.0
216,0.24789630067493038,,TilizeDeviceOperation,0,59.074,0.594,80,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,219136.0
217,0.3344489525479749,,BinaryNgDeviceOperation,0,80.035,0.466,110,,,,,"FP32, BF16 => FP32",FLOAT32,FLOAT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,220160.0
218,0.18920850917305218,,BinaryNgDeviceOperation,0,45.065,0.477,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,221184.0
219,0.19486291128504823,,UntilizeWithUnpaddingDeviceOperation,0,46.387,0.516,64,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,222208.0
220,0.1256515337804618,,SliceDeviceOperation,0,29.741,0.503,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,223232.0
221,0.2474683775172995,,TilizeDeviceOperation,0,58.963,0.602,80,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,224256.0
222,0.3340791937030318,,BinaryNgDeviceOperation,0,79.95,0.462,110,,,,,"FP32, BF16 => FP32",FLOAT32,FLOAT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,225280.0
223,0.18669082535242795,,BinaryNgDeviceOperation,0,44.459,0.477,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,226304.0
224,0.19456378053408296,,UntilizeWithUnpaddingDeviceOperation,0,46.333,0.498,64,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,227328.0
225,0.1205039921076013,,SliceDeviceOperation,0,28.517,0.488,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,228352.0
226,0.24756808776762126,,TilizeDeviceOperation,0,59.01,0.579,80,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,229376.0
227,0.33463175467356476,,BinaryNgDeviceOperation,0,80.064,0.481,110,,,,,"FP32, BF16 => FP32",FLOAT32,FLOAT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,230400.0
228,0.19168880164980578,,BinaryNgDeviceOperation,0,45.646,0.493,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,231424.0
229,0.03107636135027953,,SliceDeviceOperation,0,7.002,0.478,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,232448.0
230,0.03252215997994494,,CloneOperation,0,7.243,0.585,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,233472.0
231,0.1496567765454237,,UnaryDeviceOperation,0,35.452,0.57,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,234496.0
232,0.026842830305368454,,SliceDeviceOperation,0,5.908,0.553,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,235520.0
233,0.026435680116554634,,SliceDeviceOperation,0,5.813,0.55,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,236544.0
234,0.06973070172501224,,SliceDeviceOperation,0,16.201,0.583,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,237568.0
235,0.02616978611569663,,TypecastDeviceOperation,0,5.703,0.596,110,,,,,FP32 => BF16,BFLOAT16,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,238592.0
236,0.025093746330974383,,TypecastDeviceOperation,0,5.546,0.494,110,,,,,FP32 => BF16,BFLOAT16,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,239616.0
237,0.05194904041763306,,TypecastDeviceOperation,0,12.016,0.488,110,,,,,FP32 => BF16,BFLOAT16,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,240640.0
238,0.008396433995844242,,TransposeDeviceOperation,0,1.44,0.581,8,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,241664.0
239,0.011599625787430541,,TransposeDeviceOperation,0,1.573,1.219,8,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,242688.0
240,0.044761593206940065,,ReshapeViewDeviceOperation,0,10.293,0.481,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,243712.0
241,0.04405531226716098,,ReshapeViewDeviceOperation,0,10.142,0.462,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,244736.0
