Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL_L1'.
Using operations until 'PERF_PREFILL_L1_END'.
Detected data from 1 devices. Merging device data...
Warning: SparseMatmulDeviceOperation rows without numeric nnz were found. Their DRAM/FLOP utilization is omitted; pass --active-experts K to model K active experts per input batch group.

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                                                      Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
242    0.1 %         BinaryNgDeviceOperation                                            0        19 μs                  110                                                       FP32 => FP32
243    0.1 %         BinaryNgDeviceOperation                                            0         8 μs         23 μs    110                                                       FP32 => FP32
244    0.2 %         BinaryNgDeviceOperation                                            0         5 μs         37 μs    110                                                       BF16 => BF16
245    0.8 %   DRAM  MatmulDeviceOperation 128 x 2560 x 10240                           0       144 μs         84 μs    107  387 GB/s  75.6 %  46.6 TFLOPs   31.5 %  HiFi4 BF16 x BF16 => BF16
246    0.3 %         ReshapeViewDeviceOperation                                         0        81 μs          1 μs    110                                                       BF16 => BF16
247    0.1 %         LayerNormDeviceOperation                                           0        26 μs          1 μs     16                                                       BF16 => BF16
248    0.0 %         ReshapeViewDeviceOperation                                         0         4 μs          1 μs     80                                                       BF16 => BF16
249    0.0 %         UntilizeWithUnpaddingDeviceOperation                               0         3 μs          1 μs     80                                                       BF16 => BF16
250    0.1 %         RepeatDeviceOperation                                              0        36 μs          1 μs    110                                                       BF16 => BF16
251    0.2 %         TilizeDeviceOperation                                              0        54 μs          1 μs     80                                                       BF16 => BF16
252    0.1 %         BinaryNgDeviceOperation                                            0        23 μs          0 μs    110                                                 BF16, BF16 => BF16
253    0.3 %         ReshapeViewDeviceOperation                                         0        80 μs          1 μs    110                                                       BF16 => BF16
254    0.3 %         ReshapeViewDeviceOperation                                         0        80 μs          0 μs    110                                                       BF16 => BF16
255    0.1 %         LayerNormDeviceOperation                                           0        26 μs          0 μs     16                                                       BF16 => BF16
256    0.0 %         ReshapeViewDeviceOperation                                         0         4 μs          0 μs     80                                                       BF16 => BF16
257    0.0 %         UntilizeWithUnpaddingDeviceOperation                               0         3 μs          1 μs     80                                                       BF16 => BF16
258    0.1 %         RepeatDeviceOperation                                              0        35 μs          1 μs    110                                                       BF16 => BF16
259    0.2 %         TilizeDeviceOperation                                              0        54 μs          1 μs     80                                                       BF16 => BF16
260    0.1 %         BinaryNgDeviceOperation                                            0        23 μs          0 μs    110                                                 BF16, BF16 => BF16
261    0.3 %         ReshapeViewDeviceOperation                                         0        80 μs          0 μs    110                                                       BF16 => BF16
262    1.1 %         ReshapeViewDeviceOperation                                         0       301 μs          1 μs    110                                                       BF16 => BF16
263    1.1 %         ReshapeViewDeviceOperation                                         0       302 μs          1 μs    110                                                       BF16 => BF16
264    0.5 %         BinaryNgDeviceOperation                                            0       142 μs          0 μs    110                                                 BF16, BF16 => BF16
265    0.4 %         FillPadDeviceOperation                                             0       112 μs          0 μs    110                                                       BF16 => BF16
266    0.3 %         ReduceDeviceOperation                                              0        84 μs          1 μs    110                                                       BF16 => BF16
267    0.0 %         BinaryNgDeviceOperation                                            0         3 μs          0 μs    110                                                       BF16 => BF16
268    0.0 %         UnaryDeviceOperation                                               0         3 μs          1 μs    110                                                       BF16 => BF16
269    0.0 %         UnaryDeviceOperation                                               0         2 μs          1 μs    110                                                       BF16 => BF16
270    0.0 %         UnaryDeviceOperation                                               0         3 μs          1 μs    110                                                       BF16 => BF16
271    0.0 %         UnaryDeviceOperation                                               0         3 μs          1 μs    110                                                       BF16 => BF16
272    0.0 %         BinaryNgDeviceOperation                                            0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
273    0.0 %         UnaryDeviceOperation                                               0         4 μs          1 μs    110                                                       BF16 => BF16
274    0.2 %   SLOW  MatmulDeviceOperation 128 x 2560 x 2560                            0        68 μs          1 μs     80  212 GB/s  41.3 %  24.6 TFLOPs   22.3 %  HiFi4 BF16 x BF16 => BF16
275    0.5 %         ReshapeViewDeviceOperation                                         0       132 μs          1 μs    110                                                       BF16 => BF16
276    0.5 %         BinaryNgDeviceOperation                                            0       135 μs          0 μs    110                                                 BF16, BF16 => BF16
277    1.6 %         ReshapeViewDeviceOperation                                         0       430 μs          1 μs    110                                                       BF16 => BF16
278    0.3 %         ReshapeViewDeviceOperation                                         0        80 μs          0 μs    110                                                       BF16 => BF16
279    0.1 %         LayerNormDeviceOperation                                           0        26 μs          0 μs     16                                                       BF16 => BF16
280    0.0 %         ReshapeViewDeviceOperation                                         0         4 μs          1 μs     80                                                       BF16 => BF16
281    0.0 %         UntilizeWithUnpaddingDeviceOperation                               0         3 μs          1 μs     80                                                       BF16 => BF16
282    0.1 %         RepeatDeviceOperation                                              0        36 μs          1 μs    110                                                       BF16 => BF16
283    0.2 %         TilizeDeviceOperation                                              0        54 μs          1 μs     80                                                       BF16 => BF16
284    0.1 %         BinaryNgDeviceOperation                                            0        23 μs          0 μs    110                                                 BF16, BF16 => BF16
285    0.3 %         ReshapeViewDeviceOperation                                         0        80 μs          0 μs    110                                                       BF16 => BF16
286    0.0 %         UntilizeWithUnpaddingDeviceOperation                               0         5 μs          0 μs    107                                                       BF16 => BF16
287    0.1 %         UntilizeWithUnpaddingDeviceOperation                               0        40 μs          1 μs     80                                                       BF16 => BF16
288    0.1 %         ConcatDeviceOperation                                              0        16 μs          1 μs    110                                                 BF16, BF16 => BF16
289    0.2 %         TilizeWithValPaddingDeviceOperation                                0        61 μs          1 μs     64                                                       BF16 => BF16
290    0.1 %         SliceDeviceOperation                                               0        16 μs          0 μs    110                                                       BF16 => BF16
291    0.1 %         BinaryNgDeviceOperation                                            0        23 μs          1 μs    110                                                 BF16, BF16 => BF16
292    0.2 %         UntilizeWithUnpaddingDeviceOperation                               0        42 μs          1 μs     64                                                       BF16 => BF16
293    0.1 %         SliceDeviceOperation                                               0        15 μs          0 μs    110                                                       BF16 => BF16
294    0.2 %         TilizeDeviceOperation                                              0        54 μs          1 μs     80                                                       BF16 => BF16
295    0.1 %         BinaryNgDeviceOperation                                            0        22 μs          0 μs    110                                                 BF16, BF16 => BF16
296    0.1 %         BinaryNgDeviceOperation                                            0        22 μs          0 μs    110                                                 BF16, BF16 => BF16
297    0.2 %         UntilizeWithUnpaddingDeviceOperation                               0        43 μs          1 μs     64                                                       BF16 => BF16
298    0.1 %         SliceDeviceOperation                                               0        15 μs          0 μs    110                                                       BF16 => BF16
299    0.2 %         TilizeDeviceOperation                                              0        54 μs          1 μs     80                                                       BF16 => BF16
300    0.1 %         BinaryNgDeviceOperation                                            0        23 μs          0 μs    110                                                 BF16, BF16 => BF16
301    0.1 %         BinaryNgDeviceOperation                                            0        23 μs          0 μs    110                                                 BF16, BF16 => BF16
302    0.2 %         UntilizeWithUnpaddingDeviceOperation                               0        43 μs          1 μs     64                                                       BF16 => BF16
303    0.1 %         SliceDeviceOperation                                               0        15 μs          0 μs    110                                                       BF16 => BF16
304    0.2 %         TilizeDeviceOperation                                              0        54 μs          1 μs     80                                                       BF16 => BF16
305    0.1 %         BinaryNgDeviceOperation                                            0        24 μs          0 μs    110                                                 BF16, BF16 => BF16
306    0.1 %         BinaryNgDeviceOperation                                            0        23 μs          0 μs    110                                                 BF16, BF16 => BF16
307    0.0 %         SliceDeviceOperation                                               0         4 μs          0 μs    110                                                       BF16 => BF16
308    0.0 %         CloneOperation                                                     0         4 μs          1 μs    110                                                       BF16 => BF16
309    0.1 %         UnaryDeviceOperation                                               0        20 μs          1 μs    110                                                       BF16 => BF16
