Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE_L3'.
Using operations until 'PERF_DECODE_L3_END'.
Detected data from 1 devices. Merging device data...
Warning: SparseMatmulDeviceOperation rows without numeric nnz were found. Their DRAM/FLOP utilization is omitted; pass --active-experts K to model K active experts per input batch group.

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1153    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs                   80                                                       BF16 => BF16
 1154    0.2 %         LayerNormDeviceOperation                                          0        24 μs          1 μs      1                                                       BF16 => BF16
 1155    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 1156    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1157    0.0 %         ReshapeViewDeviceOperation                                        0         5 μs          1 μs    110                                                       BF16 => BF16
 1158    1.1 %   SLOW  MatmulDeviceOperation 32 x 10240 x 320                            0       120 μs          0 μs     10   60 GB/s  11.8 %   1.7 TFLOPs   12.7 %  HiFi4 BF16 x BF16 => BF16
 1159    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1160    0.0 %         UnaryDeviceOperation                                              0         3 μs          1 μs    110                                                       BF16 => BF16
 1161    0.2 %   DRAM  MatmulDeviceOperation 32 x 320 x 10240                            0        20 μs          1 μs    107  355 GB/s  69.4 %  10.3 TFLOPs    7.0 %  HiFi4 BF16 x BF16 => BF16
 1162    0.0 %         UnaryDeviceOperation                                              0         5 μs          1 μs    110                                                       BF16 => BF16
 1163    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          0 μs     80                                                       BF16 => BF16
 1164    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 1165    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1166    0.0 %         FillPadDeviceOperation                                            0         5 μs          1 μs     80                                                       BF16 => BF16
 1167    0.0 %         ReduceDeviceOperation                                             0         2 μs          1 μs     80                                                       BF16 => BF16
 1168    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1169    0.7 %   SLOW  MatmulDeviceOperation 32 x 10240 x 32                             0        75 μs          1 μs      1   18 GB/s   3.4 %   0.3 TFLOPs   20.3 %  HiFi4 BF16 x BF16 => BF16
 1170    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1171    0.0 %         UnaryDeviceOperation                                              0         3 μs          1 μs    110                                                       BF16 => BF16
 1172    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1173    0.7 %   DRAM  MatmulDeviceOperation 32 x 2560 x 6144                            0        78 μs          1 μs     96  412 GB/s  80.5 %  13.0 TFLOPs    9.8 %  HiFi4 BF16 x BF16 => BF16
 1174    0.7 %   DRAM  MatmulDeviceOperation 32 x 2560 x 6144                            0        77 μs          1 μs     96  415 GB/s  81.0 %  13.0 TFLOPs    9.8 %  HiFi4 BF16 x BF16 => BF16
 1175    0.3 %   SLOW  MatmulDeviceOperation 32 x 2560 x 512                             0        36 μs          1 μs     16   78 GB/s  15.3 %   2.3 TFLOPs   10.5 %  HiFi4 BF16 x BF16 => BF16
 1176    0.3 %   SLOW  MatmulDeviceOperation 32 x 2560 x 512                             0        35 μs          1 μs     16   80 GB/s  15.5 %   2.4 TFLOPs   10.7 %  HiFi4 BF16 x BF16 => BF16
 1177    0.3 %   SLOW  MatmulDeviceOperation 32 x 2560 x 512                             0        35 μs          1 μs     16   80 GB/s  15.6 %   2.4 TFLOPs   10.8 %  HiFi4 BF16 x BF16 => BF16
 1178    0.3 %   SLOW  MatmulDeviceOperation 32 x 2560 x 128                             0        31 μs          1 μs      4   27 GB/s   5.3 %   0.7 TFLOPs   12.4 %  HiFi4 BF16 x BF16 => BF16
 1179    0.1 %         ReshapeViewDeviceOperation                                        0        15 μs          1 μs      8                                                       BF16 => BF16
 1180    0.0 %         TransposeDeviceOperation                                          0         4 μs          1 μs    110                                                       BF16 => BF16
 1181    0.0 %         ReshapeViewDeviceOperation                                        0         3 μs          1 μs      8                                                       BF16 => BF16
 1182    0.0 %         TransposeDeviceOperation                                          0         2 μs          1 μs     16                                                       BF16 => BF16
 1183    0.0 %         ReshapeViewDeviceOperation                                        0         3 μs          1 μs      8                                                       BF16 => BF16
 1184    0.0 %         TransposeDeviceOperation                                          0         2 μs          1 μs     16                                                       BF16 => BF16
 1185    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs      4                                                       BF16 => BF16
 1186    0.0 %         TransposeDeviceOperation                                          0         2 μs          1 μs     16                                                       BF16 => BF16
 1187    0.1 %         LayerNormDeviceOperation                                          0         7 μs          1 μs     24                                                 BF16, BF16 => BF16
 1188    0.1 %         LayerNormDeviceOperation                                          0         6 μs          1 μs      2                                                 BF16, BF16 => BF16
 1189    0.1 %         LayerNormDeviceOperation                                          0         5 μs          1 μs      4                                                 BF16, BF16 => BF16
 1190    0.0 %         TypecastDeviceOperation                                           0         1 μs          1 μs      1                                                    INT32 => UINT32
 1191    0.0 %         UntilizeCodegenDeviceOperation                                    0         5 μs          1 μs    110                                                       BF16 => BF16
 1192    0.0 %         EmbeddingsDeviceOperation                                         0         1 μs          1 μs      1                                               UINT32, BF16 => BF16
 1193    0.0 %         TilizeWithValPaddingDeviceOperation                               0         3 μs          1 μs      1                                                       BF16 => BF16
 1194    0.0 %         UntilizeCodegenDeviceOperation                                    0         5 μs          1 μs    110                                                       BF16 => BF16
 1195    0.0 %         EmbeddingsDeviceOperation                                         0         1 μs          1 μs      1                                               UINT32, BF16 => BF16
 1196    0.0 %         TilizeWithValPaddingDeviceOperation                               0         3 μs          1 μs      1                                                       BF16 => BF16
 1197    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs     48                                                       BF16 => BF16
 1198    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs     24                                                       BF16 => BF16
 1199    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs     24                                                       BF16 => BF16
 1200    0.0 %         UnaryDeviceOperation                                              0         2 μs          1 μs    110                                                       BF16 => BF16
 1201    0.0 %         ConcatDeviceOperation                                             0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1202    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1203    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          0 μs    110                                                 BF16, BF16 => BF16
 1204    0.0 %         BinaryNgDeviceOperation                                           0         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 1205    0.1 %         SliceDeviceOperation                                              0         3 μs          4 μs    110                                                       BF16 => BF16
 1206    0.1 %         ConcatDeviceOperation                                             0         3 μs          3 μs    110                                                 BF16, BF16 => BF16
 1207    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs      4                                                       BF16 => BF16
 1208    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs      2                                                       BF16 => BF16
 1209    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs      2                                                       BF16 => BF16
 1210    0.0 %         UnaryDeviceOperation                                              0         1 μs          2 μs    110                                                       BF16 => BF16
 1211    0.0 %         ConcatDeviceOperation                                             0         2 μs          1 μs      4                                                 BF16, BF16 => BF16
 1212    0.0 %         BinaryNgDeviceOperation                                           0         2 μs          4 μs    110                                                 BF16, BF16 => BF16
 1213    0.0 %         BinaryNgDeviceOperation                                           0         2 μs          3 μs    110                                                 BF16, BF16 => BF16
 1214    0.0 %         BinaryNgDeviceOperation                                           0         1 μs          3 μs    110                                                 BF16, BF16 => BF16
 1215    0.0 %         SliceDeviceOperation                                              0         1 μs          3 μs     12                                                       BF16 => BF16
 1216    0.0 %         ConcatDeviceOperation                                             0         1 μs          2 μs     16                                                 BF16, BF16 => BF16
 1217    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs      8                                                       BF16 => BF16
 1218    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs      4                                                       BF16 => BF16
 1219    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs      4                                                       BF16 => BF16
 1220    0.0 %         UnaryDeviceOperation                                              0         1 μs          3 μs    110                                                       BF16 => BF16
 1221    0.0 %         ConcatDeviceOperation                                             0         1 μs          1 μs      8                                                 BF16, BF16 => BF16
 1222    0.1 %         BinaryNgDeviceOperation                                           0         2 μs          4 μs    110                                                 BF16, BF16 => BF16
 1223    0.0 %         BinaryNgDeviceOperation                                           0         2 μs          3 μs    110                                                 BF16, BF16 => BF16
 1224    0.0 %         BinaryNgDeviceOperation                                           0         1 μs          3 μs    110                                                 BF16, BF16 => BF16
 1225    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs      8                                                       BF16 => BF16
 1226    0.0 %         ConcatDeviceOperation                                             0         1 μs          2 μs     16                                                 BF16, BF16 => BF16
 1227    0.0 %         PermuteDeviceOperation                                            0         3 μs          2 μs     16                                                       BF16 => BF16
 1228    0.0 %         PermuteDeviceOperation                                            0         4 μs          1 μs     16                                                       BF16 => BF16
 1229    0.0 %         PermuteDeviceOperation                                            0         3 μs          1 μs      4                                                       BF16 => BF16
 1230    0.0 %         FillPadDeviceOperation                                            0         5 μs          1 μs      8                                                       BF16 => BF16
 1231    0.0 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 1232    0.0 %         FillPadDeviceOperation                                            0         5 μs          1 μs      8                                                       BF16 => BF16
 1233    0.0 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 1234    0.0 %         FillPadDeviceOperation                                            0         5 μs          1 μs      4                                                       BF16 => BF16
 1235    0.0 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 1236    0.0 %         PagedUpdateCacheDeviceOperation                                   0         4 μs          1 μs      1                                                 BF16, BF16 => BF16
 1237    0.0 %         PagedUpdateCacheDeviceOperation                                   0         4 μs          1 μs      1                                                 BF16, BF16 => BF16
 1238    0.0 %         PagedUpdateCacheDeviceOperation                                   0         3 μs          1 μs      1                                                 BF16, BF16 => BF16
 1239    0.6 %         ReshapeViewDeviceOperation                                        0        67 μs          1 μs    110                                                       BF16 => BF16
 1240    0.4 %         FillPadDeviceOperation                                            0        47 μs          0 μs    110                                                       BF16 => BF16
 1241    0.4 %         ReduceDeviceOperation                                             0        44 μs          1 μs    110                                                       BF16 => BF16
 1242    0.4 %         ReshapeViewDeviceOperation                                        0        43 μs          1 μs    110                                                       BF16 => BF16
 1243    0.1 %         ReshapeViewDeviceOperation                                        0        11 μs          0 μs    110                                                       BF16 => BF16
 1244    0.0 %         UnaryDeviceOperation                                              0         2 μs          0 μs    110                                                     INT32 => INT32
 1245    0.0 %         UnaryDeviceOperation                                              0         2 μs          0 μs    110                                                     INT32 => INT32
 1246    0.0 %         RepeatCodegenDeviceOperation                                      0         2 μs          1 μs     32                                                     INT32 => INT32
 1247    0.0 %         TilizeDeviceOperation                                             0         2 μs          1 μs      1                                                     INT32 => INT32
 1248    0.0 %         TypecastDeviceOperation                                           0         2 μs          1 μs     32                                                    INT32 => UINT32
 1249    0.0 %         FillPadDeviceOperation                                            0         5 μs          1 μs     32                                                   UINT32 => UINT32
 1250    8.7 %         GatherDeviceOperation                                             0       986 μs          2 μs      1                                             INT32, UINT32 => INT32
 1251    0.0 %         BinaryNgDeviceOperation                                           0         4 μs          1 μs    110                                                     INT32 => INT32
 1252    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                              INT32, INT32 => INT32
 1253    0.0 %         TypecastDeviceOperation                                           0         2 μs          1 μs     32                                                    INT32 => UINT32
 1254    0.1 %         UntilizeWithUnpaddingDeviceOperation                              0        15 μs          1 μs      1                                                   UINT32 => UINT32
 1255    0.0 %         UntilizeCodegenDeviceOperation                                    0         3 μs          1 μs     64                                                       BF16 => BF16
 1256    0.0 %         EmbeddingsDeviceOperation                                         0         4 μs          1 μs     32                                               UINT32, BF16 => BF16
 1257    0.1 %         LayerNormDeviceOperation                                          0         6 μs          1 μs     32                                                 BF16, BF16 => BF16
 1258    0.0 %         BinaryNgDeviceOperation                                           0         4 μs          1 μs    110                                                     INT32 => INT32
 1259    0.0 %         TypecastDeviceOperation                                           0         2 μs          1 μs     32                                                    INT32 => UINT32
 1260    0.1 %         UntilizeWithUnpaddingDeviceOperation                              0        15 μs          1 μs      1                                                   UINT32 => UINT32
 1261    0.0 %         UntilizeCodegenDeviceOperation                                    0         5 μs          1 μs    110                                                       BF16 => BF16
 1262    0.1 %         EmbeddingsDeviceOperation                                         0         8 μs          1 μs     32                                               UINT32, BF16 => BF16
 1263    0.1 %         UntilizeWithUnpaddingDeviceOperation                              0        15 μs          1 μs      1                                                   UINT32 => UINT32
 1264    0.0 %         UntilizeCodegenDeviceOperation                                    0         5 μs          1 μs    110                                                       BF16 => BF16
 1265    0.1 %         EmbeddingsDeviceOperation                                         0         8 μs          1 μs     32                                               UINT32, BF16 => BF16
 1266    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs     64                                                       BF16 => BF16
 1267    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs     32                                                       BF16 => BF16
 1268    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs     32                                                       BF16 => BF16
 1269    0.0 %         UnaryDeviceOperation                                              0         2 μs          1 μs    110                                                       BF16 => BF16
 1270    0.0 %         ConcatDeviceOperation                                             0         2 μs          1 μs     64                                                 BF16, BF16 => BF16
 1271    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1272    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1273    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          0 μs    110                                                 BF16, BF16 => BF16
 1274    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs     64                                                       BF16 => BF16
 1275    0.0 %         ConcatDeviceOperation                                             0         3 μs          0 μs    110                                                 BF16, BF16 => BF16
 1276    0.1 %         RepeatCodegenDeviceOperation                                      0         6 μs          1 μs    110                                                       BF16 => BF16
 1277    0.1 %         TransposeDeviceOperation                                          0         6 μs          1 μs    110                                                       BF16 => BF16
 1278    0.1 %   SLOW  MatmulDeviceOperation b={4} x 32 x 128 x 1024                     0         9 μs          1 μs     32  150 GB/s  29.4 %   3.8 TFLOPs    8.5 %  HiFi4 BF16 x BF16 => BF16
 1279    0.0 %         UnaryDeviceOperation                                              0         3 μs          1 μs    110                                                       BF16 => BF16
 1280    0.0 %         FillPadDeviceOperation                                            0         5 μs          1 μs    110                                                       BF16 => BF16
 1281    0.0 %         FastReduceNCDeviceOperation                                       0         2 μs          1 μs     32                                                       BF16 => BF16
 1282    0.0 %         SliceDeviceOperation                                              0         1 μs          2 μs     32                                                       BF16 => BF16
 1283    0.1 %         BinaryNgDeviceOperation                                           0         3 μs          5 μs    110                                                       BF16 => BF16
 1284    0.1 %         BinaryNgDeviceOperation                                           0         4 μs          4 μs    110                                                     INT32 => INT32
 1285    0.0 %         UnaryDeviceOperation                                              0         1 μs          2 μs    110                                                     INT32 => INT32
 1286    0.0 %         TilizeWithValPaddingDeviceOperation                               0         3 μs          1 μs      1                                                     INT32 => INT32
 1287    0.1 %         BinaryNgDeviceOperation                                           0         7 μs          2 μs    110                                              INT32, INT32 => INT32
 1288    0.0 %         TypecastDeviceOperation                                           0         2 μs          1 μs     32                                                      INT32 => BF16
 1289    0.0 %         BinaryNgDeviceOperation                                           0         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 1290    0.1 %         TopkRoutePrepDeviceOperation                                      0         5 μs          1 μs      4                                                       BF16 => BF16
 1291    0.1 %         TopkLargeIndicesDeviceOperation                                   0         6 μs          1 μs    110                                                     BF16 => UINT32
 1292    0.0 %         TopkRouteFinishDeviceOperation                                    0         5 μs          1 μs     32                                               BF16, UINT32 => BF16
 1293    0.0 %         TypecastDeviceOperation                                           0         2 μs          1 μs     16                                                    UINT16 => INT32
 1294    0.0 %         ReshapeViewDeviceOperation                                        0         5 μs          1 μs     16                                                     INT32 => INT32
 1295    0.0 %         BinaryNgDeviceOperation                                           0         4 μs          1 μs    110                                                     INT32 => INT32
 1296    0.2 %         BinaryNgDeviceOperation                                           0        17 μs          1 μs    110                                              INT32, INT32 => INT32
 1297    0.0 %         ReshapeViewDeviceOperation                                        0         3 μs          1 μs     64                                                     INT32 => INT32
 1298    0.0 %         BinaryNgDeviceOperation                                           0         5 μs          1 μs    110                                                     INT32 => INT32
 1299    0.0 %         TilizeWithValPaddingDeviceOperation                               0         3 μs          1 μs      1                                                     INT32 => INT32
 1300    0.1 %         BinaryNgDeviceOperation                                           0         9 μs          1 μs    110                                               INT32, INT32 => BF16
 1301    0.0 %         TilizeWithValPaddingDeviceOperation                               0         3 μs          1 μs      1                                                     INT32 => INT32
 1302    0.1 %         BinaryNgDeviceOperation                                           0         5 μs          1 μs    110                                              INT32, INT32 => INT32
 1303    0.0 %         TilizeWithValPaddingDeviceOperation                               0         3 μs          1 μs      1                                                     INT32 => INT32
 1304    0.1 %         BinaryNgDeviceOperation                                           0         6 μs          1 μs    110                                               INT32, INT32 => BF16
 1305    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0         2 μs          2 μs     64                                                     INT32 => INT32
 1306    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                     INT32 => INT32
