Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
29.25,SparseMatmulDeviceOperation (in0:dram_interleaved),1125.71,2,Compute,,,,,
17.77,UnaryDeviceOperation (in0:dram_interleaved),684.01,9,Compute,,,,,
14.47,MatmulDeviceOperation (in0:dram_interleaved),556.81,8,Compute,6.34,12.68,8.96,2.54,10.21
8.72,BinaryNgDeviceOperation (in0:dram_interleaved),335.56,12,Compute,,,,,
6.14,SliceDeviceOperation (in0:dram_interleaved),236.15,19,TM,,,,,
5.56,FastReduceNCDeviceOperation (in0:dram_interleaved),213.93,1,Compute,,,,,
4.06,MatmulDeviceOperation (in0:l1_interleaved),156.21,4,Compute,1.22,7.00,5.04,2.60,6.42
3.40,ReshapeViewDeviceOperation (in0:dram_interleaved),130.71,21,TM,,,,,
1.96,TopKDeviceOperation (in0:dram_interleaved),75.50,1,Other,,,,,
1.52,ReshapeViewDeviceOperation (in0:l1_interleaved),58.40,7,TM,,,,,
1.46,LayerNormDeviceOperation (in0:dram_interleaved),56.22,4,Compute,,,,,
1.18,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),45.46,6,TM,,,,,
0.73,TernaryDeviceOperation (in0:l1_interleaved),28.28,3,TM,,,,,
0.59,BinaryNgDeviceOperation (in0:l1_interleaved),22.71,4,Compute,,,,,
0.57,TernaryDeviceOperation (in0:dram_interleaved),21.98,3,TM,,,,,
0.47,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),18.24,3,TM,,,,,
0.46,PermuteDeviceOperation (in0:dram_interleaved),17.79,1,TM,,,,,
0.39,FillPadDeviceOperation (in0:dram_interleaved),14.91,3,TM,,,,,
0.31,CopyDeviceOperation (in0:l1_interleaved),11.86,3,DM,,,,,
0.18,ScatterDeviceOperation (in0:dram_interleaved),7.03,1,Other,,,,,
0.17,ReduceDeviceOperation (in0:dram_interleaved),6.63,3,Compute,,,,,
0.14,SoftmaxDeviceOperation (in0:dram_interleaved),5.46,1,Compute,,,,,
0.11,CopyDeviceOperation (in0:dram_interleaved),4.37,1,DM,,,,,
0.11,LayerNormDeviceOperation (in0:l1_interleaved),4.29,1,Compute,,,,,
0.09,ConcatDeviceOperation (in0:dram_interleaved),3.50,2,TM,,,,,
0.09,TilizeDeviceOperation (in0:dram_interleaved),3.47,1,TM,,,,,
0.08,UntilizeCodegenDeviceOperation (in0:dram_interleaved),3.18,1,Other,,,,,
