ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
175,0.1002872739841757,,BinaryNgDeviceOperation,0,17.101,,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,177152.0
176,0.2331337518254442,,BinaryNgDeviceOperation,0,8.319,31.435,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,178176.0
177,0.8321363095291854,,ReshapeViewDeviceOperation,0,79.917,61.979,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,179200.0
178,0.1570430331572564,,LayerNormDeviceOperation,0,26.284,0.495,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,180224.0
179,0.027662421576712292,,ReshapeViewDeviceOperation,0,4.227,0.49,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,181248.0
180,0.23001388574980058,,UntilizeWithUnpaddingDeviceOperation,0,2.281,36.941,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,182272.0
181,0.22565662918174945,,RepeatDeviceOperation,0,34.783,3.696,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,183296.0
182,0.4745011351738276,,TilizeDeviceOperation,0,54.131,26.781,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,184320.0
183,0.13692810714323833,,BinaryNgDeviceOperation,0,22.896,0.453,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,185344.0
184,0.4730760835640881,,ReshapeViewDeviceOperation,0,80.193,0.476,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,186368.0
