ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
796,3.780984983890514,DRAM,MatmulDeviceOperation 32 x 2560 x 12800,0,165.573,,100.0,401.75052695789765,78.46689979646439,12.66602646566771,9.162345533613795,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,4,464896.0
797,0.09563615512513196,,SliceDeviceOperation,0,3.664,0.524,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,465920.0
798,0.0532529880018643,,SliceDeviceOperation,0,1.733,0.599,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,466944.0
799,0.10986283245153051,,ReshapeViewDeviceOperation,0,4.221,0.59,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,467968.0
800,0.5622848728858939,,LayerNormDeviceOperation,0,23.95,0.673,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,468992.0
801,0.10543269537075792,,ReshapeViewDeviceOperation,0,4.084,0.533,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,470016.0
802,0.07798411407648653,,BinaryNgDeviceOperation,0,2.899,0.516,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,471040.0
803,0.1268983080301715,,ReshapeViewDeviceOperation,0,5.036,0.521,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,472064.0
804,0.10789895725077567,,ReshapeViewDeviceOperation,0,4.121,0.604,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,473088.0
805,0.572309770713003,,LayerNormDeviceOperation,0,23.841,1.221,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,474112.0
806,0.10858402999522504,,ReshapeViewDeviceOperation,0,4.209,0.546,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,475136.0
807,0.07508397279165087,,BinaryNgDeviceOperation,0,2.772,0.516,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,476160.0
