ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1464,0.10261580893136893,,ReshapeViewDeviceOperation,1,3.787,,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,766977.0,
1467,1.3331655134468845,,LayerNormDeviceOperation,0,23.878,25.322,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,768000.0,
1468,0.13353332622492373,,ReshapeViewDeviceOperation,1,4.379,0.549,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,769025.0,
1470,1.274338230323039,,BinaryNgDeviceOperation,1,2.73,44.299,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,770049.0,
1472,1.1483107343262615,,ReshapeViewDeviceOperation,1,5.035,37.343,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,771073.0,
1474,0.8666659711805925,,CopyDeviceOperation,1,2.56,29.424,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,772097.0,
1476,2.00600764483712,SLOW,MatmulDeviceOperation 32 x 10240 x 352,1,39.65,34.381,6.0,90.90744010088272,17.755359394703657,5.818076166456494,17.53615742686781,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,8,1,2,773121.0,in0_block_w=8 and output subblock 1x2 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1479,0.048042732832140785,,SliceDeviceOperation,0,1.147,0.626,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,774144.0,
1480,0.11738359764739642,,SliceDeviceOperation,1,0.603,3.729,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,775169.0,
1482,1.0474562212968042,,UnaryDeviceOperation,1,1.912,36.744,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,776193.0,
1484,1.4128302819333447,SLOW,MatmulDeviceOperation 32 x 320 x 10240,1,11.598,40.542,80.0,282.5314709432661,55.181927918606654,18.082014140369026,4.087550216193085,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,5,1,4,777217.0,in0_block_w=5 and output subblock 1x4 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1487,0.4282929696248263,,ReshapeViewDeviceOperation,0,3.767,12.039,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,778240.0,
1488,0.402713533757065,,ReshapeViewDeviceOperation,1,3.033,11.829,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,779265.0,
1490,1.2087909259119007,,BinaryNgDeviceOperation,1,3.653,40.957,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,780289.0,
1493,0.8405175012522135,,FillPadDeviceOperation,0,4.485,26.534,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,781312.0,
1495,0.5193655161836673,,ReduceDeviceOperation,0,1.834,17.333,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,782336.0,
1496,1.0808395528530352,,CopyDeviceOperation,1,1.3,38.588,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,783361.0,
1498,3.3130788820756845,SLOW,MatmulDeviceOperation 32 x 2560 x 10560,1,83.507,38.761,55.0,323.72854970242014,63.22823236375393,20.71862718095489,13.62493896053957,HiFi2 BF16 x BFP8 => FP32,FLOAT32,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,8,1,3,784385.0,in0_block_w=8 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1501,0.09849708620689888,,SliceDeviceOperation,0,3.045,0.59,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_L1_INTERLEAVED,,,,785408.0,
1502,0.03736656998055394,,SliceDeviceOperation,1,0.746,0.633,2,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_L1_INTERLEAVED,,,,786433.0,
1505,1.0000909099653987,,UntilizeWithUnpaddingDeviceOperation,0,3.324,33.584,83,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_L1_INTERLEAVED,,,,787456.0,
1506,0.042596263966229723,,SliceDeviceOperation,1,0.607,0.965,1,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_L1_INTERLEAVED,,,,788481.0,
1509,0.1888109206849165,,TilizeWithValPaddingDeviceOperation,0,5.481,1.487,1,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_L1_INTERLEAVED,,,,789504.0,
1510,0.31389002658066484,,CopyDeviceOperation,1,1.334,10.25,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,790529.0,
1512,2.3099802206470215,SLOW,MatmulDeviceOperation 32 x 2560 x 6144,1,52.572,32.677,48.0,299.18283496918514,58.43414745491897,19.14770143802785,14.428184556770116,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,8,1,4,791553.0,in0_block_w=8 and output subblock 1x4 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1514,0.08841705427595903,,UnaryDeviceOperation,1,2.702,0.561,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_L1_INTERLEAVED,,,,792577.0,
1516,0.13047138104160058,,UnaryDeviceOperation,1,4.283,0.532,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_L1_INTERLEAVED,,,,793601.0,
1518,1.0572381877674204,,BinaryNgDeviceOperation,1,1.745,37.272,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_L1_INTERLEAVED,,,,794625.0,
1520,1.4322587305744305,,BinaryNgDeviceOperation,1,5.884,46.973,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_L1_INTERLEAVED,,,,795649.0,
1523,0.8598917561732407,,TernaryDeviceOperation,0,7.344,24.39,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_L1_INTERLEAVED,,,,796672.0,
1525,0.5991115752502157,,TernaryDeviceOperation,0,7.079,15.031,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_L1_INTERLEAVED,,,,797696.0,
1527,0.474872472015379,,TernaryDeviceOperation,0,7.244,10.281,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_L1_INTERLEAVED,,,,798720.0,
1528,0.3806566896931267,,CopyDeviceOperation,1,3.129,10.919,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_L1_INTERLEAVED,,,,799745.0,
1531,0.3339417030024269,,CopyDeviceOperation,0,3.015,9.309,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_L1_INTERLEAVED,,,,800768.0,
1532,0.3954244784091542,,CopyDeviceOperation,1,3.236,11.357,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_L1_INTERLEAVED,,,,801793.0,
1534,0.9416158860219357,,UnaryDeviceOperation,1,5.621,29.129,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_L1_INTERLEAVED,,,,802817.0,
