Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
32.12,MatmulDeviceOperation (in0:l1_interleaved),330.78,12,Compute,1.25,37.22,11.21,9.88,16.36
13.04,ReshapeViewDeviceOperation (in0:l1_interleaved),134.30,21,TM,,,,,
10.23,SparseMatmulDeviceOperation (in0:l1_interleaved),105.39,2,Compute,8.52,12.22,10.37,2.61,11.25
7.29,TopKDeviceOperation (in0:l1_interleaved),75.11,1,Other,,,,,
4.78,BinaryNgDeviceOperation (in0:l1_interleaved),49.21,12,Compute,,,,,
3.87,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),39.90,7,TM,,,,,
3.73,TernaryDeviceOperation (in0:l1_interleaved),38.46,5,TM,,,,,
3.31,LayerNormDeviceOperation (in0:l1_interleaved),34.13,4,Compute,,,,,
2.54,ReshapeViewDeviceOperation (in0:dram_interleaved),26.17,6,TM,,,,,
2.38,UnaryDeviceOperation (in0:l1_interleaved),24.51,9,Compute,,,,,
2.32,LayerNormDeviceOperation (in0:dram_interleaved),23.88,1,Compute,,,,,
2.09,SliceDeviceOperation (in0:l1_interleaved),21.48,20,TM,,,,,
1.65,BinaryNgDeviceOperation (in0:dram_interleaved),16.98,4,Compute,,,,,
1.50,CopyDeviceOperation (in0:l1_interleaved),15.46,4,DM,,,,,
1.24,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),12.78,2,TM,,,,,
1.04,ReduceScatterDeviceOperation (in0:dram_interleaved),10.67,1,DM,,,,,
0.83,AllGatherDeviceOperation (in0:dram_interleaved),8.59,1,DM,,,,,
0.82,FillPadDeviceOperation (in0:l1_interleaved),8.45,2,TM,,,,,
0.74,CopyDeviceOperation (in0:dram_interleaved),7.58,5,DM,,,,,
0.58,ScatterDeviceOperation (in0:l1_interleaved),5.98,1,Other,,,,,
0.53,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),5.48,1,TM,,,,,
0.53,SoftmaxDeviceOperation (in0:l1_interleaved),5.41,1,Compute,,,,,
0.44,FillPadDeviceOperation (in0:dram_interleaved),4.49,1,TM,,,,,
0.41,TernaryDeviceOperation (in0:dram_interleaved),4.20,1,TM,,,,,
0.38,PermuteDeviceOperation (in0:l1_interleaved),3.90,1,TM,,,,,
0.34,TilizeDeviceOperation (in0:l1_interleaved),3.49,1,TM,,,,,
0.28,FastReduceNCDeviceOperation (in0:l1_interleaved),2.86,1,Compute,,,,,
0.27,ReduceDeviceOperation (in0:l1_interleaved),2.75,2,Compute,,,,,
0.23,UntilizeCodegenDeviceOperation (in0:l1_interleaved),2.35,1,Other,,,,,
0.18,ReduceDeviceOperation (in0:dram_interleaved),1.83,1,Compute,,,,,
0.17,ConcatDeviceOperation (in0:l1_interleaved),1.79,2,TM,,,,,
0.14,SliceDeviceOperation (in0:dram_interleaved),1.48,1,TM,,,,,
