ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
2034,0.02044468560616801,,CopyDeviceOperation,0,1.269,,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1068032.0,
2035,4.05131825528372,DRAM,MatmulDeviceOperation 32 x 2560 x 12800,1,96.522,154.943,100.0,339.48737075485377,66.30612710055738,21.72719172831064,3.929251976329326,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,8,1,4,1069057.0,Try a DRAM-sharded program config (MatmulMultiCoreReuseMultiCastDRAMShardedProgramConfig) to improve throughput further • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
2038,0.04717260792345149,,SliceDeviceOperation,0,2.436,0.492,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1070080.0,
2040,0.4155474986917979,,SliceDeviceOperation,0,1.026,24.767,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1071104.0,
2041,0.8691327457808871,,ReshapeViewDeviceOperation,1,3.036,50.911,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1072129.0,
2044,0.9803943681577163,,LayerNormDeviceOperation,0,21.461,39.392,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1073152.0,
2046,0.3375225874304333,,ReshapeViewDeviceOperation,0,3.759,17.191,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1074176.0,
2047,1.4502676981056202,,BinaryNgDeviceOperation,1,2.338,87.68,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1075201.0,
2049,0.9722744930233517,,ReshapeViewDeviceOperation,1,4.011,56.338,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1076225.0,
2052,0.4517808303925637,,ReshapeViewDeviceOperation,0,3.779,24.263,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1077248.0,
2054,0.7022403122156432,,LayerNormDeviceOperation,0,23.804,19.784,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1078272.0,
2055,0.0786854566591998,,ReshapeViewDeviceOperation,1,4.342,0.542,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1079297.0,
2057,0.8544235275315324,,BinaryNgDeviceOperation,1,2.712,50.322,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1080321.0,
2059,0.7574522409566502,,ReshapeViewDeviceOperation,1,4.95,42.065,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1081345.0,
2062,0.33529928828650013,,ReshapeViewDeviceOperation,0,3.024,17.788,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1082368.0,
2063,0.25384276312906473,,ReshapeViewDeviceOperation,1,3.757,11.999,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1083393.0,
2065,0.6361213289786742,,BinaryNgDeviceOperation,1,2.361,37.123,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1084417.0,
2067,0.49358852081652427,,FillPadDeviceOperation,1,4.263,26.374,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1085441.0,
2069,0.8029976516805563,,ReduceDeviceOperation,1,24.226,25.616,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1086465.0,
2071,0.4985345558686075,,UnaryDeviceOperation,1,1.046,29.898,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1087489.0,
2073,0.5060422181952224,,UnaryDeviceOperation,1,0.807,30.603,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1088513.0,
2075,0.5182864743502167,,UnaryDeviceOperation,1,1.064,31.106,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1089537.0,
2078,0.5124382309498707,,UnaryDeviceOperation,0,1.379,30.428,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1090560.0,
2080,0.8417764997924919,,BinaryNgDeviceOperation,0,1.669,50.58,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1091584.0,
2082,1.2149685387060272,,BinaryNgDeviceOperation,0,8.739,66.674,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1092608.0,
2083,0.5110526967007529,,ReshapeViewDeviceOperation,1,4.027,27.694,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1093633.0,
2085,0.36197887801369805,,ReshapeViewDeviceOperation,1,3.006,19.462,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1094657.0,
2088,0.5291613071194549,,LayerNormDeviceOperation,0,21.456,11.389,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1095680.0,
2089,0.07583383384415511,,ReshapeViewDeviceOperation,1,4.157,0.55,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1096705.0,
2091,0.609377295798029,,BinaryNgDeviceOperation,1,2.404,35.42,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1097729.0,
2093,0.5800394136161284,,ReshapeViewDeviceOperation,1,3.973,32.03,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1098753.0,
2095,0.7605455267221224,,BinaryNgDeviceOperation,1,3.85,43.357,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1099777.0,
2098,0.585130446438468,,TernaryDeviceOperation,0,4.147,32.172,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1100800.0,
2100,0.41087534831686584,,TernaryDeviceOperation,0,4.241,21.262,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1101824.0,
2102,0.35406844410303734,,TernaryDeviceOperation,0,4.13,17.847,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1102848.0,
2103,0.4139203014922526,,CopyDeviceOperation,1,1.741,23.951,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1103873.0,
2105,0.28045790940281534,,CopyDeviceOperation,1,1.756,15.652,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1104897.0,
2107,0.1768650579862194,,CopyDeviceOperation,1,1.802,9.176,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1105921.0,
2110,0.20816846549826393,,CopyDeviceOperation,0,1.909,11.012,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1106944.0,
2111,0.18210108857881566,,CopyDeviceOperation,1,1.784,9.519,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1107969.0,
2113,0.16866462853504566,,CopyDeviceOperation,1,1.758,8.711,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1108993.0,
2115,0.17936224180730376,,CopyDeviceOperation,1,1.784,9.349,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1110017.0,
2117,0.18413105736240679,,CopyDeviceOperation,1,1.77,9.659,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1111041.0,
2120,0.17241845969835307,,CopyDeviceOperation,0,1.773,8.929,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1112064.0,
2122,1.186532864872389,,BinaryNgDeviceOperation,0,5.527,68.121,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1113088.0,
2124,0.9211869453029745,,BinaryNgDeviceOperation,0,3.963,53.215,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1114112.0,
2125,0.39192897300334845,,ReshapeViewDeviceOperation,1,3.772,20.555,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1115137.0,
2128,0.5552770166289888,,LayerNormDeviceOperation,0,23.861,10.605,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1116160.0,
2129,0.07726770068335839,,ReshapeViewDeviceOperation,1,4.246,0.55,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1117185.0,
2131,0.5855815506125994,,BinaryNgDeviceOperation,1,2.712,33.635,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1118209.0,
2134,0.6105211670967193,,ReshapeViewDeviceOperation,0,5.393,32.502,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1119232.0,
2135,0.5130021111675349,,CopyDeviceOperation,1,2.464,29.378,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1120257.0,
2137,1.4821510966986906,SLOW,MatmulDeviceOperation 32 x 10240 x 352,1,39.692,52.305,6.0,90.81124659881084,17.73657160133024,5.811919782323893,17.517601581560733,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,8,1,2,1121281.0,in0_block_w=8 and output subblock 1x2 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
2140,0.028564560740532614,,SliceDeviceOperation,0,1.147,0.626,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1122304.0,
2142,0.3449335845768772,,SliceDeviceOperation,0,0.623,20.787,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1123328.0,
