Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
28.24,SparseMatmulDeviceOperation (in0:l1_interleaved),6180.46,1,Compute,19.94,19.94,19.94,,19.94
14.07,SparseMatmulDeviceOperation (in0:dram_interleaved),3078.55,1,Compute,10.01,10.01,10.01,,10.01
12.65,ReshapeViewDeviceOperation (in0:dram_interleaved),2768.42,21,TM,,,,,
10.05,UnaryDeviceOperation (in0:dram_interleaved),2198.85,6,Compute,,,,,
6.90,ReshapeViewDeviceOperation (in0:l1_interleaved),1510.42,15,TM,,,,,
4.78,BinaryNgDeviceOperation (in0:dram_interleaved),1045.41,16,Compute,,,,,
4.40,FastReduceNCDeviceOperation (in0:dram_interleaved),963.95,1,Compute,,,,,
2.56,SliceDeviceOperation (in0:dram_interleaved),559.28,17,TM,,,,,
2.23,MatmulDeviceOperation (in0:dram_interleaved),488.52,6,Compute,3.59,42.64,19.81,13.69,23.84
2.11,BinaryNgDeviceOperation (in0:l1_interleaved),461.06,9,Compute,,,,,
1.99,TilizeDeviceOperation (in0:dram_interleaved),435.91,9,TM,,,,,
1.07,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),234.80,15,TM,,,,,
0.81,RepeatDeviceOperation (in0:dram_interleaved),176.91,5,TM,,,,,
0.74,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),161.76,4,TM,,,,,
0.67,MatmulDeviceOperation (in0:l1_interleaved),147.00,4,Compute,5.14,9.35,6.76,1.99,7.09
0.56,ChunkGdnPrepOperation (in0:dram_interleaved),123.54,1,Other,,,,,
0.52,FillPadDeviceOperation (in0:dram_interleaved),112.74,1,TM,,,,,
0.51,UntilizeDeviceOperation (in0:dram_interleaved),111.78,3,TM,,,,,
0.51,ReduceDeviceOperation (in0:dram_interleaved),110.59,2,Compute,,,,,
0.50,TernaryDeviceOperation (in0:dram_interleaved),109.93,4,TM,,,,,
0.45,ChunkGdnScanOperation (in0:dram_interleaved),98.23,1,Other,,,,,
0.42,PermuteDeviceOperation (in0:dram_interleaved),91.76,2,TM,,,,,
0.39,QkvCausalConv1dSiluOperation (in0:dram_interleaved),86.13,1,Other,,,,,
0.39,ReduceDeviceOperation (in0:l1_interleaved),85.44,2,Compute,,,,,
0.36,LayerNormDeviceOperation (in0:dram_interleaved),79.20,3,Compute,,,,,
0.35,TopKDeviceOperation (in0:dram_interleaved),76.35,1,Other,,,,,
0.33,FillPadDeviceOperation (in0:l1_interleaved),71.98,2,TM,,,,,
0.32,LayerNormDeviceOperation (in0:l1_interleaved),71.09,3,Compute,,,,,
0.19,ConcatDeviceOperation (in0:dram_interleaved),40.83,2,TM,,,,,
0.18,ReduceScatterDeviceOperation (in0:dram_interleaved),39.12,1,DM,,,,,
0.16,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),35.78,1,TM,,,,,
0.13,TypecastDeviceOperation (in0:dram_interleaved),27.47,2,TM,,,,,
0.10,AllGatherDeviceOperation (in0:dram_interleaved),22.45,1,DM,,,,,
0.07,UnaryDeviceOperation (in0:l1_interleaved),15.41,6,Compute,,,,,
0.06,SliceDeviceOperation (in0:l1_interleaved),13.47,6,TM,,,,,
0.06,ScatterDeviceOperation (in0:dram_interleaved),12.45,1,Other,,,,,
0.05,TernaryDeviceOperation (in0:l1_interleaved),11.48,1,TM,,,,,
0.05,CloneOperation (in0:dram_interleaved),11.34,2,DM,,,,,
0.03,SoftmaxDeviceOperation (in0:dram_interleaved),6.34,1,Compute,,,,,
0.02,TransposeDeviceOperation (in0:dram_interleaved),4.16,2,TM,,,,,
0.01,UntilizeCodegenDeviceOperation (in0:dram_interleaved),3.18,1,Other,,,,,
