Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'MC_HOST_DECODE_L1'.
Using operations until 'MC_HOST_DECODE_L1_END'.
Detected data from 2 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 6843    0.0 %         CopyDeviceOperation                                               1         3 μs                  110                                                 BF16, BF16 => BF16
 6844    0.0 %         CopyDeviceOperation                                               1         2 μs          3 μs    110                                                 BF16, BF16 => BF16
 6846    0.0 %         CopyDeviceOperation                                               1         2 μs          3 μs    110                                                 BF16, BF16 => BF16
 6848    0.0 %         CopyDeviceOperation                                               1         2 μs          3 μs    110                                                 BF16, BF16 => BF16
 6849    0.0 %         CopyDeviceOperation                                               1         2 μs          3 μs    110                                                 BF16, BF16 => BF16
 6850    0.0 %         CopyDeviceOperation                                               1         2 μs          3 μs    110                                                 BF16, BF16 => BF16
 6852    0.0 %         CopyDeviceOperation                                               1         1 μs          3 μs     80                                                       BF16 => BF16
 6853    0.2 %   DRAM  MatmulDeviceOperation 32 x 2560 x 12800                           1        97 μs          6 μs    100  338 GB/s  66.0 %  21.6 TFLOPs    3.9 %   LoFi BF16 x BFP8 => BF16
 6858    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     80                                                       BF16 => BF16
 6862    0.1 %         LayerNormDeviceOperation                                          1        24 μs          1 μs      1                                                       BF16 => BF16
 6864    0.0 %         BinaryNgDeviceOperation                                           1         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 6866    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     80                                                       BF16 => BF16
 6867    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     80                                                       BF16 => BF16
 6868    0.0 %         BinaryNgDeviceOperation                                           1         3 μs          0 μs    110                                                 BF16, BF16 => BF16
 6870    0.1 %         ReduceDeviceOperation                                             1        26 μs          1 μs      1                                                       BF16 => BF16
 6873    0.0 %         UnaryDeviceOperation                                              1         2 μs          1 μs    110                                                       BF16 => BF16
 6875    0.0 %         BinaryNgDeviceOperation                                           1         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 6876    0.0 %         BinaryNgDeviceOperation                                           1         9 μs          1 μs    110                                                 BF16, BF16 => BF16
 6877    0.0 %         ReshapeViewDeviceOperation                                        1         5 μs          0 μs    110                                                       BF16 => BF16
 6880    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     80                                                       BF16 => BF16
 6881    0.0 %         BinaryNgDeviceOperation                                           1         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 6883    0.0 %         BinaryNgDeviceOperation                                           1         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 6886    0.0 %         TernaryDeviceOperation                                            1         4 μs          0 μs    110                                                 BF16, BF16 => BF16
 6887    0.0 %         CopyDeviceOperation                                               1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 6888    0.0 %         CopyDeviceOperation                                               1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 6890    0.0 %         CopyDeviceOperation                                               1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 6891    0.0 %         CopyDeviceOperation                                               1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 6894    0.0 %         CopyDeviceOperation                                               1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 6895    0.0 %         CopyDeviceOperation                                               1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 6899    0.0 %         CopyDeviceOperation                                               1         3 μs          3 μs    110                                                 BF16, BF16 => BF16
 6905    0.0 %         CopyDeviceOperation                                               1         3 μs          3 μs    110                                                 BF16, BF16 => BF16
 6907    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     80                                                       BF16 => BF16
 6912    0.0 %         CopyDeviceOperation                                               1         3 μs          1 μs    110                                                       BF16 => BF16
 6914    0.0 %         SliceDeviceOperation                                              1         1 μs          1 μs     10                                                       BF16 => BF16
 6915    0.0 %         SliceDeviceOperation                                              1         1 μs          1 μs      1                                                       BF16 => BF16
 6917    0.0 %   SLOW  MatmulDeviceOperation 32 x 320 x 10240                            1        11 μs          1 μs     80  289 GB/s  56.5 %  18.5 TFLOPs    4.2 %   LoFi BF16 x BFP8 => BF16
 6918    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     80                                                       BF16 => BF16
 6920    0.0 %         BinaryNgDeviceOperation                                           1         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 6923    0.0 %         CopyDeviceOperation                                               1        10 μs          1 μs    110                                                 FP32, FP32 => FP32
 6924    0.0 %         CopyDeviceOperation                                               1         5 μs          1 μs    110                                                 FP32, FP32 => FP32
 6925    0.0 %         CopyDeviceOperation                                               1         4 μs          1 μs    110                                                 FP32, FP32 => FP32
 6926    0.0 %         CopyDeviceOperation                                               1         5 μs          1 μs    110                                                 FP32, FP32 => FP32
 6927    0.2 %   SLOW  MatmulDeviceOperation 32 x 2560 x 10336                           1        86 μs          1 μs    108  326 GB/s  63.7 %  19.8 TFLOPs    6.6 %  HiFi2 BF16 x BFP8 => FP32
 6930    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1         5 μs          1 μs    108                                                       FP32 => FP32
 6932    0.0 %         TilizeWithValPaddingDeviceOperation                               1         6 μs          1 μs      1                                                       FP32 => FP32
 6934    0.1 %   SLOW  MatmulDeviceOperation 32 x 2560 x 6144                            1        54 μs          1 μs     48  289 GB/s  56.4 %  18.5 TFLOPs   13.9 %  HiFi2 BF16 x BFP8 => BF16
 6938    0.0 %         BinaryNgDeviceOperation                                           1         6 μs          1 μs    110                                                 FP32, FP32 => FP32
 6941    0.0 %         TernaryDeviceOperation                                            1        11 μs          1 μs    110                                                 FP32, FP32 => FP32
 6942    0.0 %         CopyDeviceOperation                                               1         3 μs          1 μs    110                                                 FP32, FP32 => FP32
 6944    0.0 %         CopyDeviceOperation                                               1         5 μs          1 μs    110                                                 FP32, FP32 => FP32
 6946    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs     64                                                       FP32 => FP32
 6947    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs     64                                                       FP32 => FP32
 6949    0.0 %         ReshapeViewDeviceOperation                                        1        11 μs          1 μs      4                                                       FP32 => FP32
 6950    0.0 %         ReshapeViewDeviceOperation                                        1        11 μs          1 μs      4                                                       FP32 => FP32
 6951    0.1 %         ReshapeViewDeviceOperation                                        1        21 μs          1 μs      8                                                       FP32 => FP32
 6952    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1         7 μs          1 μs      1                                                       FP32 => FP32
 6953    0.0 %         ConcatDeviceOperation                                             1         2 μs          1 μs     48                                                 FP32, FP32 => FP32
 6954    0.0 %         TilizeWithValPaddingDeviceOperation                               1         6 μs          1 μs      2                                                       FP32 => FP32
 6955    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1         7 μs          1 μs      1                                                       FP32 => FP32
 6957    0.0 %         TilizeWithValPaddingDeviceOperation                               1         6 μs          1 μs      2                                                       FP32 => FP32
 6958    0.0 %         LayerNormDeviceOperation                                          1         4 μs          1 μs      2                                                 FP32, FP32 => FP32
 6959    0.0 %         ReshapeViewDeviceOperation                                        1         5 μs          1 μs    110                                                       FP32 => FP32
 6962    0.0 %         ReshapeViewDeviceOperation                                        1         5 μs          1 μs      8                                                       FP32 => FP32
 6963    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     48                                                       FP32 => FP32
 6964    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     48                                                       FP32 => FP32
 6967    0.0 %         ReshapeViewDeviceOperation                                        1        16 μs          1 μs      8                                                       FP32 => FP32
 6969    0.0 %         ReshapeViewDeviceOperation                                        1         8 μs          1 μs    110                                                       FP32 => FP32
 6973    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128                     1         6 μs          1 μs     48                     7.9 TFLOPs    6.0 %  HiFi2 FP32 x FP32 => FP32
 6975    0.0 %         CopyDeviceOperation                                               1         6 μs          0 μs    110                                                 FP32, FP32 => FP32
 6976    0.0 %         LayerNormDeviceOperation                                          1         4 μs          1 μs      2                                                 FP32, BF16 => FP32
 6981    0.1 %   SLOW  MatmulDeviceOperation 32 x 6144 x 2560                            1        49 μs          0 μs     20  322 GB/s  62.9 %  20.6 TFLOPs   37.3 %  HiFi2 FP32 x BFP8 => BF16
 6982    0.2 %   SLOW  MatmulDeviceOperation 32 x 2560 x 10336                           1        87 μs          1 μs    108  320 GB/s  62.5 %  19.4 TFLOPs    6.5 %  HiFi2 BF16 x BFP8 => FP32
 6983    0.0 %         SliceDeviceOperation                                              1         4 μs          1 μs    110                                                 FP32, FP32 => FP32
 6985    0.0 %         CopyDeviceOperation                                               1        12 μs          1 μs    110                                                 FP32, FP32 => FP32
 6986    0.0 %         CopyDeviceOperation                                               1         5 μs          1 μs    110                                                 FP32, FP32 => FP32
 6987    0.0 %         CopyDeviceOperation                                               1         5 μs          1 μs    110                                                 FP32, FP32 => FP32
 6989    0.0 %         ReshapeViewDeviceOperation                                        1         1 μs          1 μs      1                                                       BF16 => BF16
 6990    0.0 %         BinaryNgDeviceOperation                                           1         9 μs          1 μs    110                                                 BF16, BF16 => BF16
 6991    0.0 %         ReshapeViewDeviceOperation                                        1         5 μs          0 μs    110                                                       BF16 => BF16
 6992    0.0 %         TernaryDeviceOperation                                            1         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 6993    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     80                                                       BF16 => BF16
 6995    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     80                                                       BF16 => BF16
 6997    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs    110                                                       BF16 => BF16
 6999    0.0 %         SliceDeviceOperation                                              1         1 μs          1 μs     10                                                       BF16 => BF16
 7002    0.0 %   SLOW  MatmulDeviceOperation 32 x 320 x 10240                            1        11 μs          1 μs     80  292 GB/s  56.9 %  18.7 TFLOPs    4.2 %   LoFi BF16 x BFP8 => BF16
 7004    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     80                                                       BF16 => BF16
 7005    0.0 %         BinaryNgDeviceOperation                                           1         4 μs          0 μs    110                                                 BF16, BF16 => BF16
