Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'MC_HOST_PREFILL_L1'.
Using operations until 'MC_HOST_PREFILL_L1_END'.
Detected data from 2 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %   FLOPs        FLOPs %  Math Fidelity            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 2805    0.0 %         BinaryNgDeviceOperation                                           1        18 μs                  110                                                        FP32 => FP32
 2808    0.0 %         BinaryNgDeviceOperation                                           0         9 μs        113 μs    110                                                        FP32 => FP32
 2810    0.0 %         BinaryNgDeviceOperation                                           0         5 μs         44 μs    110                                                        BF16 => BF16
 2811    0.0 %         FillPadDeviceOperation                                            1         6 μs         59 μs    110                                                        BF16 => BF16
 2813    0.0 %         PadDeviceOperation                                                1        17 μs         38 μs    110                                                        BF16 => BF16
 2816    0.3 %   SLOW  MatmulDeviceOperation 128 x 2560 x 12800                          0       168 μs      2,755 μs     40  198 GB/s   38.8 %  49.8 TFLOPs   22.5 %   LoFi BF16 x BFP8 => BF16
 2817    0.0 %         SliceDeviceOperation                                              1         5 μs          1 μs    110                                                        BF16 => BF16
 2820    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs    110                                                        BF16 => BF16
 2822    0.0 %         ReshapeViewDeviceOperation                                        0        65 μs          0 μs    110                                                        BF16 => BF16
 2824    0.0 %         LayerNormDeviceOperation                                          0        24 μs          1 μs     16                                                        BF16 => BF16
 2826    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                        BF16 => BF16
 2827    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1         2 μs         38 μs     80                                                        BF16 => BF16
 2829    0.0 %         RepeatDeviceOperation                                             1        35 μs          4 μs    110                                                        BF16 => BF16
 2832    0.0 %         TilizeDeviceOperation                                             0        55 μs         33 μs     80                                                        BF16 => BF16
 2833    0.0 %         BinaryNgDeviceOperation                                           1        12 μs          0 μs    110                                                  BF16, BF16 => BF16
 2836    0.0 %         ReshapeViewDeviceOperation                                        0        64 μs         21 μs    110                                                        BF16 => BF16
 2837    0.0 %         ReshapeViewDeviceOperation                                        1        82 μs          0 μs    110                                                        BF16 => BF16
 2840    0.0 %         LayerNormDeviceOperation                                          0        26 μs          0 μs     16                                                        BF16 => BF16
 2841    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          0 μs     80                                                        BF16 => BF16
 2844    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0         3 μs          1 μs     80                                                        BF16 => BF16
 2846    0.0 %         RepeatDeviceOperation                                             0        36 μs          1 μs    110                                                        BF16 => BF16
 2848    0.0 %         TilizeDeviceOperation                                             0        54 μs          1 μs     80                                                        BF16 => BF16
 2849    0.0 %         BinaryNgDeviceOperation                                           1        23 μs          0 μs    110                                                  BF16, BF16 => BF16
 2851    0.0 %         ReshapeViewDeviceOperation                                        1        82 μs          1 μs    110                                                        BF16 => BF16
 2854    0.0 %         ReshapeViewDeviceOperation                                        0       242 μs          1 μs    110                                                        BF16 => BF16
 2856    0.0 %         ReshapeViewDeviceOperation                                        0       302 μs          0 μs    110                                                        BF16 => BF16
 2857    0.0 %         BinaryNgDeviceOperation                                           1        71 μs          0 μs    110                                                  BF16, BF16 => BF16
 2860    0.0 %         FillPadDeviceOperation                                            0        36 μs          1 μs    110                                                        BF16 => BF16
 2862    0.0 %         ReduceDeviceOperation                                             0        53 μs          1 μs    110                                                        BF16 => BF16
 2864    0.0 %         UnaryDeviceOperation                                              0         2 μs          0 μs    110                                                        BF16 => BF16
 2865    0.0 %         UnaryDeviceOperation                                              1         2 μs          1 μs    110                                                        BF16 => BF16
 2868    0.0 %         UnaryDeviceOperation                                              0         2 μs          0 μs    110                                                        BF16 => BF16
 2870    0.0 %         UnaryDeviceOperation                                              0         3 μs          1 μs    110                                                        BF16 => BF16
 2872    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                  BF16, BF16 => BF16
 2873    0.0 %         ReshapeViewDeviceOperation                                        1       108 μs          1 μs    110                                                        BF16 => BF16
 2876    0.0 %         BinaryNgDeviceOperation                                           0        85 μs          0 μs    110                                                  BF16, BF16 => BF16
 2877    0.0 %         ReshapeViewDeviceOperation                                        1       184 μs          1 μs    110                                                        BF16 => BF16
 2880    0.0 %         ReshapeViewDeviceOperation                                        0        64 μs          1 μs    110                                                        BF16 => BF16
 2881    0.0 %         LayerNormDeviceOperation                                          1        24 μs          0 μs     16                                                        BF16 => BF16
 2884    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                        BF16 => BF16
 2886    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0         3 μs          1 μs     80                                                        BF16 => BF16
 2888    0.0 %         RepeatDeviceOperation                                             0        36 μs          1 μs    110                                                        BF16 => BF16
 2889    0.0 %         TilizeDeviceOperation                                             1        54 μs          1 μs     80                                                        BF16 => BF16
 2891    0.0 %         BinaryNgDeviceOperation                                           1        12 μs          0 μs    110                                                  BF16, BF16 => BF16
 2893    0.0 %         ReshapeViewDeviceOperation                                        1        64 μs          0 μs    110                                                        BF16 => BF16
 2895    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1         5 μs          1 μs    107                                                        BF16 => BF16
 2898    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0        36 μs          1 μs     80                                                        BF16 => BF16
 2900    0.0 %         ConcatDeviceOperation                                             0        12 μs          1 μs    110                                                  BF16, BF16 => BF16
 2902    0.0 %         TilizeWithValPaddingDeviceOperation                               0        61 μs          1 μs     64                                                        BF16 => BF16
 2904    0.0 %         SliceDeviceOperation                                              0        16 μs          1 μs    110                                                        BF16 => BF16
 2905    0.0 %         BinaryNgDeviceOperation                                           1        23 μs          1 μs    110                                                  BF16, BF16 => BF16
 2908    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0        43 μs          1 μs     64                                                        BF16 => BF16
 2910    0.0 %         SliceDeviceOperation                                              0        15 μs          0 μs    110                                                        BF16 => BF16
 2912    0.0 %         TilizeDeviceOperation                                             0        54 μs          1 μs     80                                                        BF16 => BF16
 2913    0.0 %         TernaryDeviceOperation                                            1        31 μs          0 μs    110                                                  BF16, BF16 => BF16
 2915    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1        43 μs          1 μs     64                                                        BF16 => BF16
 2918    0.0 %         SliceDeviceOperation                                              0        15 μs          1 μs    110                                                        BF16 => BF16
 2919    0.0 %         TilizeDeviceOperation                                             1        54 μs          1 μs     80                                                        BF16 => BF16
 2921    0.0 %         TernaryDeviceOperation                                            1        32 μs          0 μs    110                                                  BF16, BF16 => BF16
 2923    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1        43 μs          1 μs     64                                                        BF16 => BF16
 2926    0.0 %         SliceDeviceOperation                                              0        15 μs          0 μs    110                                                        BF16 => BF16
 2928    0.0 %         TilizeDeviceOperation                                             0        53 μs          1 μs     80                                                        BF16 => BF16
 2929    0.0 %         TernaryDeviceOperation                                            1        32 μs          0 μs    110                                                  BF16, BF16 => BF16
 2932    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0        42 μs          1 μs     64                                                        BF16 => BF16
 2934    0.0 %         SliceDeviceOperation                                              0         4 μs          1 μs      9                                                        BF16 => BF16
 2936    0.0 %         TilizeWithValPaddingDeviceOperation                               0         9 μs          0 μs    107                                                        BF16 => BF16
 2937    0.0 %         CloneOperation                                                    1         4 μs          1 μs    110                                                        BF16 => BF16
 2939    0.0 %         BinaryNgDeviceOperation                                           1        19 μs          1 μs    110                                                  BF16, BF16 => BF16
 2941    0.0 %         BinaryNgDeviceOperation                                           1        16 μs          1 μs    110                                                  BF16, BF16 => BF16
 2943    0.0 %         ReshapeViewDeviceOperation                                        1        83 μs          1 μs    110                                                        BF16 => BF16
 2945    0.0 %         LayerNormDeviceOperation                                          1        26 μs          1 μs     16                                                        BF16 => BF16
 2947    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          0 μs     80                                                        BF16 => BF16
 2950    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0         3 μs          1 μs     80                                                        BF16 => BF16
 2952    0.0 %         RepeatDeviceOperation                                             0        36 μs          1 μs    110                                                        BF16 => BF16
 2953    0.0 %         TilizeDeviceOperation                                             1        54 μs          1 μs     80                                                        BF16 => BF16
 2955    0.0 %         BinaryNgDeviceOperation                                           1        24 μs          0 μs    110                                                  BF16, BF16 => BF16
 2957    0.0 %         ReshapeViewDeviceOperation                                        1        82 μs          0 μs    110                                                        BF16 => BF16
 2959    0.0 %   SLOW  MatmulDeviceOperation 128 x 10240 x 352                           1        46 μs          1 μs     44  136 GB/s   26.6 %  20.1 TFLOPs    8.3 %   LoFi BF16 x BFP8 => BF16
