Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'MC_HOST_DECODE_L3'.
Using operations until 'MC_HOST_DECODE_L3_END'.
Detected data from 2 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 6897    0.1 %         ReshapeViewDeviceOperation                                        1         4 μs                   80                                                       BF16 => BF16
 6900    0.1 %         BinaryNgDeviceOperation                                           1         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 6902    3.6 %   SLOW  MatmulDeviceOperation 32 x 10240 x 352                            1       120 μs          1 μs     11   36 GB/s   7.0 %   1.9 TFLOPs    3.2 %   LoFi BF16 x BFP8 => BF16
 6904    0.1 %         SliceDeviceOperation                                              1         1 μs          1 μs      1                                                       BF16 => BF16
 6905    0.1 %         UnaryDeviceOperation                                              1         3 μs          1 μs    110                                                       BF16 => BF16
 6906    0.5 %   SLOW  MatmulDeviceOperation 32 x 320 x 10240                            1        15 μs          1 μs    107  258 GB/s  50.3 %  13.7 TFLOPs    2.3 %   LoFi BF16 x BFP8 => BF16
 6907    0.1 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     80                                                       BF16 => BF16
 6912    3.0 %   DRAM  MatmulDeviceOperation 32 x 2560 x 7296                            1        99 μs          1 μs     76  382 GB/s  74.6 %  12.0 TFLOPs    5.7 %  HiFi2 BF16 x BF16 => BF16
 6913    0.1 %         SliceDeviceOperation                                              1         2 μs          1 μs    110                                                       BF16 => BF16
 6916    0.1 %         SliceDeviceOperation                                              1         2 μs          1 μs      4                                                       BF16 => BF16
 6918    0.2 %         NLPCreateQKVHeadsDecodeDeviceOperation                            1         7 μs          1 μs      1                                                       BF16 => BF16
 6921    0.1 %         TransposeDeviceOperation                                          1         3 μs          1 μs     96                                                       BF16 => BF16
 6922    0.1 %         TransposeDeviceOperation                                          1         2 μs          1 μs      8                                                       BF16 => BF16
 6926    0.2 %         LayerNormDeviceOperation                                          1         6 μs          1 μs      1                                                 BF16, BF16 => BF16
 6928    0.1 %         TypecastDeviceOperation                                           1         1 μs          1 μs      1                                                    INT32 => UINT32
