ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
2670,0.0008169321579564046,,BinaryNgDeviceOperation,1,17.56,,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1703937.0,
2673,0.003751607411717678,,BinaryNgDeviceOperation,0,8.299,72.342,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1704960.0,
2675,0.0030139027859366584,,FillPadDeviceOperation,0,4.324,60.46,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1705984.0,
2677,0.0027409097390751445,,PadDeviceOperation,0,10.62,48.296,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1707008.0,
2679,0.0031381174135985948,,LayerNormPreAllGatherDeviceOperation,0,19.107,48.347,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1708032.0,
2680,0.002466358194076299,,AllGatherDeviceOperation,0,6.3925,46.622,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1709056.0,
2683,0.002244772324580493,,LayerNormPostAllGatherDeviceOperation,0,18.3115,29.94,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1710080.0,
2684,0.0020694063923813663,,UntilizeWithUnpaddingDeviceOperation,1,2.135,42.347,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1711105.0,
2686,0.0016851319262811437,,RepeatDeviceOperation,1,19.656,16.566,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1712129.0,
2689,0.005715780288079831,,TilizeDeviceOperation,0,39.699,83.162,84,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1713152.0,
2691,0.0005640832810490551,,BinaryNgDeviceOperation,0,11.619,0.506,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1714176.0,
2693,0.0017299794547703223,,ReshapeViewDeviceOperation,0,36.688,0.498,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1715200.0,
2695,0.0035856157295087684,SLOW,MatmulDeviceOperation 128 x 5120 x 352,0,23.59,53.483,44.0,131.96100042390842,25.77363289529461,19.558009325985587,8.03855996734335,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,1,1716224.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy"
2696,0.0018586834875144226,,ReduceScatterDeviceOperation,0,8.7845,31.168,5,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1717248.0,
2698,0.0011162801061551794,,AllGatherDeviceOperation,0,7.5505,16.444,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1718272.0,
2700,0.0016986234026938635,,SliceDeviceOperation,1,1.168,35.344,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1719297.0,
2703,0.0012607552096024239,,SliceDeviceOperation,0,0.833,26.267,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1720320.0,
2704,0.0026548434240284847,,UnaryDeviceOperation,1,2.16,54.906,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1721345.0,
2707,0.0028573551372166523,SLOW,MatmulDeviceOperation 128 x 320 x 5120,0,16.997,44.422,80.0,178.32794022474553,34.829675825145614,24.676731187856678,5.578326458481779,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,2,2,2,1722368.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 2x2 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
2708,0.0042346022672930415,,ReshapeViewDeviceOperation,1,81.997,9.026,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1723393.0,
2710,0.007214171571875951,,ReshapeViewDeviceOperation,1,154.557,0.512,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1724417.0,
2713,0.0038595392230194353,,BinaryNgDeviceOperation,0,82.419,0.542,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1725440.0,
2714,0.0026953178532666436,,FillPadDeviceOperation,1,57.429,0.507,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1726465.0,
2716,0.002645073734212377,,ReduceDeviceOperation,1,56.276,0.58,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1727489.0,
2719,0.0023180217370350692,,ReshapeViewDeviceOperation,0,49.238,0.588,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1728512.0,
2720,0.0010405184877478899,,AllGatherDeviceOperation,0,21.768,0.598,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1729536.0,
2722,0.004949790084164557,SLOW,MatmulDeviceOperation 128 x 2560 x 10560,1,105.84,0.556,110.0,312.6953892668178,61.07331821617535,65.38739229024942,21.499958007894516,HiFi2 BF16 x BFP8 => FP32,FLOAT32,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,2,4,1,1730561.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2724,0.0013695709452208767,,SliceDeviceOperation,1,28.899,0.54,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1731585.0,
2727,8.220496145267465e-05,,SliceDeviceOperation,0,1.103,0.664,8,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1732608.0,
2728,0.002211997341364076,,UntilizeDeviceOperation,1,47.088,0.459,83,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1733633.0,
2731,0.00011551495149235495,,SliceDeviceOperation,0,2.007,0.476,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1734656.0,
2732,0.00019604510897655407,,TilizeWithValPaddingDeviceOperation,1,3.641,0.573,4,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1735681.0,
2735,0.003688755740567388,SLOW,MatmulDeviceOperation 128 x 2560 x 6144,0,78.837,0.453,96.0,227.77203597295684,44.48672577596813,51.074138285322874,19.24270376900487,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,2,2,2,1736704.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 2x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2737,0.0001746448360460332,,UnaryDeviceOperation,0,3.207,0.547,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1737728.0,
2739,0.00023624040421996715,,UnaryDeviceOperation,0,4.53,0.548,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1738752.0,
2741,0.0006395425042953699,,BinaryNgDeviceOperation,0,13.198,0.549,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,1739776.0,
2742,0.00026233943272871104,,UntilizeWithUnpaddingDeviceOperation,1,5.082,0.557,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1740801.0,
2745,0.0021951562570144047,,UntilizeWithUnpaddingDeviceOperation,0,46.626,0.559,80,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1741824.0,
2746,0.0013873424762197006,,ConcatDeviceOperation,1,29.346,0.475,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,1742849.0,
2749,0.003352259709901176,,TilizeWithValPaddingDeviceOperation,0,71.439,0.618,64,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1743872.0,
2750,0.0021938071093731333,,UntilizeWithUnpaddingDeviceOperation,1,46.614,0.542,64,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1744897.0,
2752,0.0001474292715583056,,SliceDeviceOperation,1,2.564,0.605,3,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1745921.0,
2755,0.0006158626370744239,,TilizeWithValPaddingDeviceOperation,0,12.796,0.442,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1746944.0,
2757,0.0010501020882341667,,TypecastDeviceOperation,0,22.013,0.559,110,,,,,FP32 => BF16,BFLOAT16,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1747968.0,
2758,0.00028541450962770744,,TypecastDeviceOperation,1,5.59,0.545,110,,,,,FP32 => BF16,BFLOAT16,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1748993.0,
2760,0.00034901053809732047,,CloneOperation,1,6.976,0.526,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1750017.0,
2763,0.0018872249384771932,,UntilizeDeviceOperation,0,39.976,0.59,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1751040.0,
2765,0.00019990646257053932,,UntilizeWithUnpaddingDeviceOperation,0,3.733,0.564,107,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1752064.0,
2766,0.003908992462421921,,QkvCausalConv1dSiluOperation,1,83.477,0.547,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1753089.0,
