Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'MC_HOST_PREFILL_L0'.
Using operations until 'MC_HOST_PREFILL_L0_END'.
Detected data from 2 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                      Device   Device Time  Op-to-Op Gap  Cores  DRAM        DRAM %   FLOPs         FLOPs %  Math Fidelity
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 2670    0.0 %         BinaryNgDeviceOperation                                            1        18 μs                  110                                                           FP32 => FP32
 2673    0.0 %         BinaryNgDeviceOperation                                            0         8 μs         72 μs    110                                                           FP32 => FP32
 2675    0.0 %         FillPadDeviceOperation                                             0         4 μs         60 μs     40                                                           BF16 => BF16
 2677    0.0 %         PadDeviceOperation                                                 0        11 μs         48 μs    110                                                           BF16 => BF16
 2679    0.0 %         LayerNormPreAllGatherDeviceOperation                               0        19 μs         48 μs     16                                                           BF16 => BF16
 2680    0.0 %         AllGatherDeviceOperation                                           0         6 μs         47 μs      2                                                           BF16 => BF16
 2683    0.0 %         LayerNormPostAllGatherDeviceOperation                              0        18 μs         30 μs     16                                                     BF16, BF16 => BF16
 2684    0.0 %         UntilizeWithUnpaddingDeviceOperation                               1         2 μs         42 μs     40                                                           BF16 => BF16
 2686    0.0 %         RepeatDeviceOperation                                              1        20 μs         17 μs    110                                                           BF16 => BF16
 2689    0.0 %         TilizeDeviceOperation                                              0        40 μs         83 μs     84                                                           BF16 => BF16
 2691    0.0 %         BinaryNgDeviceOperation                                            0        12 μs          1 μs    110                                                     BF16, BF16 => BF16
 2693    0.0 %         ReshapeViewDeviceOperation                                         0        37 μs          0 μs    110                                                           BF16 => BF16
 2695    0.0 %   SLOW  MatmulDeviceOperation 128 x 5120 x 352                             0        24 μs         53 μs     44    132 GB/s   25.8 %   19.6 TFLOPs    8.0 %   LoFi BF16 x BFP8 => BF16
 2696    0.0 %         ReduceScatterDeviceOperation                                       0         9 μs         31 μs      5                                                           BF16 => BF16
 2698    0.0 %         AllGatherDeviceOperation                                           0         8 μs         16 μs      2                                                           BF16 => BF16
 2700    0.0 %         SliceDeviceOperation                                               1         1 μs         35 μs     40                                                           BF16 => BF16
 2703    0.0 %         SliceDeviceOperation                                               0         1 μs         26 μs      4                                                           BF16 => BF16
 2704    0.0 %         UnaryDeviceOperation                                               1         2 μs         55 μs    110                                                           BF16 => BF16
