ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
2871,0.0009028568514320314,,BinaryNgDeviceOperation,1,17.317,,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1730561.0,
2873,0.009201715572333005,,BinaryNgDeviceOperation,1,8.336,168.155,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1731585.0,
2876,0.0031838516686723945,,BinaryNgDeviceOperation,0,4.889,56.178,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1732608.0,
2877,0.0034717001803520305,,FillPadDeviceOperation,1,4.287,62.301,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1733633.0,
2880,0.002661490821268253,,PadDeviceOperation,0,10.63,40.418,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1734656.0,
2881,0.07281263919884921,,AllGatherDeviceOperation,0,41.088,1355.475,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1735680.0,
2884,0.005482520937182347,,ReshapeViewDeviceOperation,0,81.884,23.272,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1736704.0,
2885,0.00993033048824007,SLOW,MatmulDeviceOperation 128 x 2560 x 12800,1,157.886,32.58,40.0,211.69299367898356,41.346287827926474,53.130790570411556,24.02108225297108,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,4,1,4,1737729.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 1x4 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
2888,0.00031501190138894344,,SliceDeviceOperation,0,5.492,0.55,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1738752.0,
2890,0.000141812706351858,,SliceDeviceOperation,0,2.207,0.513,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1739776.0,
2892,0.0033886459004922828,,ReshapeViewDeviceOperation,0,64.478,0.517,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1740800.0,
2893,0.001250871489262418,,LayerNormDeviceOperation,1,23.452,0.54,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1741825.0,
2896,0.0002489542914816625,,ReshapeViewDeviceOperation,0,4.185,0.59,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1742848.0,
2897,0.002215250029479447,,UntilizeWithUnpaddingDeviceOperation,1,2.288,40.201,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1743873.0,
2899,0.002004512176878634,,RepeatDeviceOperation,1,34.784,3.663,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1744897.0,
2902,0.005262606968288178,,TilizeDeviceOperation,0,54.0,46.938,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1745920.0,
2903,0.0006665197198537327,,BinaryNgDeviceOperation,1,12.298,0.486,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1746945.0,
2905,0.0049855508206581136,,ReshapeViewDeviceOperation,1,64.218,31.406,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1747969.0,
2908,0.0042581350563121135,,ReshapeViewDeviceOperation,0,81.162,0.51,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1748992.0,
2909,0.0014169800489819107,,LayerNormDeviceOperation,1,26.67,0.508,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1750017.0,
2912,0.0002467123994327177,,ReshapeViewDeviceOperation,0,4.245,0.487,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1751040.0,
2914,0.00018190607811089432,,UntilizeWithUnpaddingDeviceOperation,0,3.01,0.479,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1752064.0,
2916,0.0018877773792603217,,RepeatDeviceOperation,0,35.739,0.469,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1753088.0,
2917,0.0028434490364035413,,TilizeDeviceOperation,1,53.969,0.569,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1754113.0,
2919,0.00119331221433137,,BinaryNgDeviceOperation,1,22.404,0.484,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1755137.0,
2922,0.0042630359366051555,,ReshapeViewDeviceOperation,0,81.29,0.476,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1756160.0,
2923,0.01266642939141623,,ReshapeViewDeviceOperation,1,242.435,0.51,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1757185.0,
2926,0.015792982470279545,,ReshapeViewDeviceOperation,0,302.457,0.456,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1758208.0,
2928,0.0036523028328530726,,BinaryNgDeviceOperation,0,69.575,0.477,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1759232.0,
2930,0.0018989868395050459,,FillPadDeviceOperation,0,35.905,0.518,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1760256.0,
2931,0.002775305945520498,,ReduceDeviceOperation,1,52.679,0.552,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1761281.0,
2933,0.00013769388142472684,,UnaryDeviceOperation,1,2.162,0.479,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1762305.0,
2936,0.00012851776513137132,,UnaryDeviceOperation,0,1.947,0.518,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1763328.0,
2937,0.00015328285171855243,,UnaryDeviceOperation,1,2.414,0.526,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1764353.0,
2939,0.00019092578333106767,,UnaryDeviceOperation,1,3.188,0.474,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1765377.0,
2941,0.00020276088786852053,,BinaryNgDeviceOperation,1,3.412,0.477,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1766401.0,
2943,0.005673238172415837,,ReshapeViewDeviceOperation,1,108.313,0.501,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1767425.0,
2946,0.004450572813350609,,BinaryNgDeviceOperation,0,84.913,0.45,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1768448.0,
2947,0.009668759036855042,,ReshapeViewDeviceOperation,1,184.867,0.582,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1769473.0,
2950,0.0033776449883451366,,ReshapeViewDeviceOperation,0,64.28,0.504,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1770496.0,
2952,0.0012461270200425582,,LayerNormDeviceOperation,0,23.431,0.47,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1771520.0,
