Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
16.35,SparseMatmulDeviceOperation (in0:dram_interleaved),2635.76,24,Compute,16.45,52.45,26.46,7.77,25.90
14.79,CopyDeviceOperation (in0:dram_interleaved),2383.88,228,DM,,,,,
14.21,ConcatDeviceOperation (in0:dram_interleaved),2290.14,26,TM,,,,,
11.85,ReshapeViewDeviceOperation (in0:dram_interleaved),1910.86,36,TM,,,,,
5.91,ReshapeViewDeviceOperation (in0:l1_interleaved),953.20,10,TM,,,,,
5.30,BinaryNgDeviceOperation (in0:dram_interleaved),853.81,54,Compute,,,,,
3.83,UnaryDeviceOperation (in0:dram_interleaved),617.86,30,Compute,,,,,
3.36,MatmulDeviceOperation (in0:dram_interleaved),541.60,10,Compute,3.75,36.05,13.83,10.79,19.19
2.54,GatherDeviceOperation (in0:dram_interleaved),408.69,12,Other,,,,,
2.53,TilizeDeviceOperation (in0:dram_interleaved),407.99,9,TM,,,,,
2.14,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),345.39,29,TM,,,,,
2.13,SliceDeviceOperation (in0:dram_interleaved),344.11,44,TM,,,,,
1.71,FillPadDeviceOperation (in0:dram_interleaved),276.31,27,TM,,,,,
1.56,BinaryNgDeviceOperation (in0:l1_interleaved),251.03,7,Compute,,,,,
1.31,FastReduceNCDeviceOperation (in0:dram_interleaved),210.81,12,Compute,,,,,
1.19,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),191.91,8,TM,,,,,
0.92,RepeatDeviceOperation (in0:dram_interleaved),147.56,5,TM,,,,,
0.78,ReduceDeviceOperation (in0:dram_interleaved),126.13,14,Compute,,,,,
0.77,ChunkGdnPrepOperation (in0:dram_interleaved),124.65,1,Other,,,,,
0.69,UntilizeDeviceOperation (in0:dram_interleaved),111.48,3,TM,,,,,
0.66,AllGatherDeviceOperation (in0:dram_interleaved),106.81,6,DM,,,,,
0.63,TernaryDeviceOperation (in0:dram_interleaved),102.30,4,TM,,,,,
0.60,ChunkGdnScanOperation (in0:dram_interleaved),96.60,1,Other,,,,,
0.52,QkvCausalConv1dSiluOperation (in0:dram_interleaved),84.26,1,Other,,,,,
0.47,TopKDeviceOperation (in0:dram_interleaved),76.24,1,Other,,,,,
0.43,PermuteDeviceOperation (in0:dram_interleaved),69.84,13,TM,,,,,
0.33,LayerNormDeviceOperation (in0:dram_interleaved),53.63,2,Compute,,,,,
0.33,ReduceDeviceOperation (in0:l1_interleaved),52.68,1,Compute,,,,,
0.29,LayerNormDeviceOperation (in0:l1_interleaved),46.88,2,Compute,,,,,
0.22,FillPadDeviceOperation (in0:l1_interleaved),35.91,1,TM,,,,,
0.22,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),35.76,1,TM,,,,,
0.19,TypecastDeviceOperation (in0:dram_interleaved),30.43,4,TM,,,,,
0.16,ReduceScatterDeviceOperation (in0:dram_interleaved),25.91,1,DM,,,,,
0.12,LayerNormPostAllGatherDeviceOperation (in0:dram_interleaved),19.41,1,Other,,,,,
0.12,LayerNormPreAllGatherDeviceOperation (in0:dram_interleaved),19.02,1,Other,,,,,
0.10,ReduceScatterDeviceOperation (in0:l1_interleaved),16.57,2,DM,,,,,
0.09,LayerNormPreAllGatherDeviceOperation (in0:l1_interleaved),14.66,1,Other,,,,,
0.09,LayerNormPostAllGatherDeviceOperation (in0:l1_interleaved),14.35,1,Other,,,,,
0.08,ScatterDeviceOperation (in0:dram_interleaved),12.65,1,Other,,,,,
0.07,CloneOperation (in0:dram_interleaved),11.30,2,DM,,,,,
0.07,PadDeviceOperation (in0:dram_interleaved),10.63,1,TM,,,,,
0.06,UnaryDeviceOperation (in0:l1_interleaved),9.71,4,Compute,,,,,
0.06,AllGatherDeviceOperation (in0:l1_interleaved),9.65,1,DM,,,,,
0.05,SliceDeviceOperation (in0:l1_interleaved),7.70,2,TM,,,,,
0.04,SoftmaxDeviceOperation (in0:dram_interleaved),6.35,1,Compute,,,,,
0.04,TernaryDeviceOperation (in0:l1_interleaved),5.98,1,TM,,,,,
0.04,MeshPartitionDeviceOperation (in0:l1_interleaved),5.69,1,Other,,,,,
0.02,UntilizeCodegenDeviceOperation (in0:dram_interleaved),3.18,1,Other,,,,,
0.02,TransposeDeviceOperation (in0:dram_interleaved),2.90,2,TM,,,,,
