ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
7005,0.11655566831663851,,FillPadDeviceOperation,1,4.331,,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,3243009.0,
7014,0.08049365133573441,,MorehSumOperation,1,2.336,0.655,11,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,3252225.0,
7015,0.06160146035021601,,SliceDeviceOperation,1,1.645,0.644,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,3253249.0,
7019,0.12815472004706363,,ReshapeViewDeviceOperation,1,4.124,0.638,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,3257345.0,
7020,0.12648617896287254,,BinaryNgDeviceOperation,1,4.138,0.562,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,3258369.0,
7022,0.07379257504599926,,ReduceDeviceOperation,1,2.095,0.647,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,3260417.0,
7024,2.527032383960368,DRAM,MatmulDeviceOperation 32 x 2560 x 7296,1,93.341,0.559,76.0,406.9626852080008,79.48489945468765,12.806554890134025,6.094737456089916,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,3262465.0,Try a DRAM-sharded program config (MatmulMultiCoreReuseMultiCastDRAMShardedProgramConfig) to improve throughput further • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
7027,0.06380824049382357,,SliceDeviceOperation,1,1.761,0.61,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,3265537.0,
7029,0.07069770045435451,,CopyDeviceOperation,1,2.16,0.467,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,3267585.0,
7030,0.20630703147433635,,NLPCreateQKVHeadsDecodeDeviceOperation,1,6.616,1.05,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,3268609.0,
7033,0.08243131194963374,,TransposeDeviceOperation,1,2.536,0.527,96,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,3271681.0,
7035,0.12522131717324383,,ReshapeViewDeviceOperation,1,3.617,1.036,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,3273729.0,
7037,0.18830293493685515,,LayerNormDeviceOperation,1,6.467,0.53,12,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,3275777.0,
