Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
38.71,GatherDeviceOperation (in0:dram_interleaved),1067.81,3,Other,,,,,
12.89,MatmulDeviceOperation (in0:dram_interleaved),355.62,9,Compute,0.96,6.09,2.82,1.50,3.77
8.02,ConcatDeviceOperation (in0:dram_interleaved),221.09,8,TM,,,,,
3.45,BinaryNgDeviceOperation (in0:dram_interleaved),95.09,19,Compute,,,,,
3.23,FillPadDeviceOperation (in0:dram_interleaved),89.11,15,TM,,,,,
3.12,SparseMatmulDeviceOperation (in0:dram_interleaved),86.14,1,Compute,11.01,11.01,11.01,,11.01
2.74,TopKDeviceOperation (in0:dram_interleaved),75.63,1,Other,,,,,
2.32,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),64.09,16,TM,,,,,
2.29,TernaryDeviceOperation (in0:dram_interleaved),63.23,6,TM,,,,,
1.78,SdpaDecodeDeviceOperation (in0:dram_interleaved),49.07,1,Compute,,,,,
1.73,SparseMatmulDeviceOperation (in0:l1_interleaved),47.76,1,Compute,9.93,9.93,9.93,,9.93
1.62,ReshapeViewDeviceOperation (in0:dram_interleaved),44.73,11,TM,,,,,
1.62,UntilizeCodegenDeviceOperation (in0:dram_interleaved),44.72,8,Other,,,,,
1.35,LayerNormPreAllGatherDeviceOperation (in0:dram_interleaved),37.34,2,Other,,,,,
1.32,PermuteDeviceOperation (in0:dram_interleaved),36.54,10,TM,,,,,
1.30,LayerNormPostAllGatherDeviceOperation (in0:dram_interleaved),35.96,2,Other,,,,,
1.27,SliceDeviceOperation (in0:dram_interleaved),34.93,25,TM,,,,,
1.12,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),30.79,11,TM,,,,,
1.07,AllGatherDeviceOperation (in0:dram_interleaved),29.53,4,DM,,,,,
0.98,EmbeddingsDeviceOperation (in0:dram_interleaved),27.05,8,Compute,,,,,
0.97,UnaryDeviceOperation (in0:dram_interleaved),26.82,11,Compute,,,,,
0.86,ReduceScatterDeviceOperation (in0:dram_interleaved),23.60,2,DM,,,,,
0.60,TypecastDeviceOperation (in0:dram_interleaved),16.42,10,TM,,,,,
0.44,LayerNormDeviceOperation (in0:l1_interleaved),12.01,2,Compute,,,,,
0.42,AllBroadcastDeviceOperation (in0:dram_interleaved),11.46,2,Other,,,,,
0.35,LayerNormDeviceOperation (in0:dram_interleaved),9.71,2,Compute,,,,,
0.34,SliceDeviceOperation (in0:l1_interleaved),9.49,6,TM,,,,,
0.34,BinaryNgDeviceOperation (in0:l1_interleaved),9.42,2,Compute,,,,,
0.32,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),8.74,2,Other,,,,,
0.29,RotaryEmbeddingHfDeviceOperation (in0:l1_interleaved),7.93,2,Other,,,,,
0.25,UnaryDeviceOperation (in0:l1_interleaved),6.82,2,Compute,,,,,
0.24,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),6.62,1,Other,,,,,
0.23,ReduceDeviceOperation (in0:dram_interleaved),6.36,3,Compute,,,,,
0.23,TopkLargeIndicesDeviceOperation (in0:dram_interleaved),6.22,1,Other,,,,,
0.21,TopkRoutePrepDeviceOperation (in0:dram_interleaved),5.84,1,Other,,,,,
0.20,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),5.62,2,DM,,,,,
0.20,SoftmaxDeviceOperation (in0:dram_interleaved),5.52,1,Compute,,,,,
0.19,FillPadDeviceOperation (in0:height_sharded),5.36,1,TM,,,,,
0.18,TopkRouteFinishDeviceOperation (in0:dram_interleaved),4.97,1,Other,,,,,
0.17,MorehSumOperation (in0:dram_interleaved),4.69,2,Other,,,,,
0.15,TransposeDeviceOperation (in0:l1_interleaved),4.18,2,TM,,,,,
0.15,PagedFusedUpdateCacheDeviceOperation (in0:dram_interleaved),4.18,1,Other,,,,,
0.13,TransposeDeviceOperation (in0:dram_interleaved),3.67,2,TM,,,,,
0.12,FastReduceNCDeviceOperation (in0:l1_interleaved),3.40,1,Compute,,,,,
0.11,ConcatDeviceOperation (in0:l1_interleaved),3.03,2,TM,,,,,
0.09,FastReduceNCDeviceOperation (in0:dram_interleaved),2.50,1,Compute,,,,,
0.08,CopyDeviceOperation (in0:dram_interleaved),2.16,1,DM,,,,,
0.07,InterleavedToShardedDeviceOperation (in0:dram_interleaved),1.92,3,DM,,,,,
0.06,RepeatDeviceOperation (in0:dram_interleaved),1.61,1,TM,,,,,
0.05,ShardedToInterleavedDeviceOperation (in0:height_sharded),1.38,2,DM,,,,,
0.01,ReshardDeviceOperation (in0:height_sharded),0.34,1,DM,,,,,
