Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
20.41,UnaryDeviceOperation (in0:dram_interleaved),666.63,5,Compute,,,,,
15.37,SparseMatmulDeviceOperation (in0:l1_interleaved),501.83,1,Compute,1.89,1.89,1.89,,1.89
14.24,SparseMatmulDeviceOperation (in0:dram_interleaved),464.99,1,Compute,1.02,1.02,1.02,,1.02
9.29,BinaryNgDeviceOperation (in0:dram_interleaved),303.44,7,Compute,,,,,
7.26,MatmulDeviceOperation (in0:l1_interleaved),237.16,11,Compute,1.25,43.24,12.40,11.70,18.51
6.98,SliceDeviceOperation (in0:dram_interleaved),227.87,9,TM,,,,,
6.55,FastReduceNCDeviceOperation (in0:dram_interleaved),213.86,1,Compute,,,,,
3.11,ReshapeViewDeviceOperation (in0:l1_interleaved),101.69,16,TM,,,,,
2.51,ReshapeViewDeviceOperation (in0:dram_interleaved),82.05,12,TM,,,,,
2.48,MatmulDeviceOperation (in0:dram_interleaved),80.91,1,Compute,7.01,7.01,7.01,,7.01
2.30,TopKDeviceOperation (in0:l1_interleaved),75.16,1,Other,,,,,
1.39,BinaryNgDeviceOperation (in0:l1_interleaved),45.29,9,Compute,,,,,
0.99,TernaryDeviceOperation (in0:l1_interleaved),32.47,4,TM,,,,,
0.99,LayerNormDeviceOperation (in0:dram_interleaved),32.20,3,Compute,,,,,
0.79,LayerNormDeviceOperation (in0:l1_interleaved),25.66,2,Compute,,,,,
0.72,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),23.63,3,TM,,,,,
0.63,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),20.57,3,TM,,,,,
0.56,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),18.27,3,TM,,,,,
0.46,PermuteDeviceOperation (in0:l1_interleaved),15.11,1,TM,,,,,
0.45,TernaryDeviceOperation (in0:dram_interleaved),14.80,2,TM,,,,,
0.36,CopyDeviceOperation (in0:l1_interleaved),11.82,3,DM,,,,,
0.30,FillPadDeviceOperation (in0:l1_interleaved),9.85,2,TM,,,,,
0.29,SliceDeviceOperation (in0:l1_interleaved),9.33,10,TM,,,,,
0.28,UnaryDeviceOperation (in0:l1_interleaved),9.28,4,Compute,,,,,
0.27,CopyDeviceOperation (in0:dram_interleaved),8.95,3,DM,,,,,
0.19,ScatterDeviceOperation (in0:l1_interleaved),6.27,1,Other,,,,,
0.16,SoftmaxDeviceOperation (in0:l1_interleaved),5.33,1,Compute,,,,,
0.15,FillPadDeviceOperation (in0:dram_interleaved),4.93,1,TM,,,,,
0.12,ReduceDeviceOperation (in0:l1_interleaved),3.91,2,Compute,,,,,
0.11,TilizeDeviceOperation (in0:l1_interleaved),3.59,1,TM,,,,,
0.11,ConcatDeviceOperation (in0:dram_interleaved),3.47,2,TM,,,,,
0.10,UntilizeCodegenDeviceOperation (in0:l1_interleaved),3.22,1,Other,,,,,
0.07,ReduceDeviceOperation (in0:dram_interleaved),2.25,1,Compute,,,,,
