ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
250,0.09921300632820786,,BinaryNgDeviceOperation,0,17.949,,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,253952.0,
251,0.24364644860109608,,BinaryNgDeviceOperation,0,8.311,35.768,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,254976.0,
252,0.2917467093993614,,BinaryNgDeviceOperation,0,5.057,47.724,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,256000.0,
253,1.552651213191168,SLOW,MatmulDeviceOperation 128 x 2560 x 12800,0,157.913,122.983,40.0,211.65679836365595,41.33921843040155,53.12170625597639,24.016975122963863,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,4,1,4,257024.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 1x4 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
254,0.0322197678916443,,SliceDeviceOperation,0,5.296,0.533,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,258048.0,
255,0.01575888801836986,,SliceDeviceOperation,0,2.333,0.518,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,259072.0,
256,0.35867361789687885,,ReshapeViewDeviceOperation,0,64.357,0.532,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,260096.0,
257,0.13399753186296812,,LayerNormDeviceOperation,0,23.715,0.527,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,261120.0,
258,0.026808350364466434,,ReshapeViewDeviceOperation,0,4.297,0.553,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,262144.0,
259,0.019412562160826007,,UntilizeWithUnpaddingDeviceOperation,0,2.965,0.547,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,263168.0,
260,0.19807225298150316,,RepeatDeviceOperation,0,35.287,0.547,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,264192.0,
261,0.5000171905092029,,TilizeDeviceOperation,0,53.761,36.699,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,265216.0,
262,0.06599828935087201,,BinaryNgDeviceOperation,0,11.484,0.456,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,266240.0,
263,0.4291270681536808,,ReshapeViewDeviceOperation,0,64.204,13.431,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,267264.0,
264,0.44359804985557216,,ReshapeViewDeviceOperation,0,79.801,0.452,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,268288.0,
265,0.1468710675328325,,LayerNormDeviceOperation,0,26.063,0.508,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,269312.0,
266,0.02679176787970491,,ReshapeViewDeviceOperation,0,4.293,0.554,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,270336.0,
267,0.01942914464558753,,UntilizeWithUnpaddingDeviceOperation,0,2.951,0.564,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,271360.0,
268,0.19834862772752856,,RepeatDeviceOperation,0,35.342,0.542,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,272384.0,
269,0.2997947420036219,,TilizeDeviceOperation,0,53.676,0.561,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,273408.0,
270,0.12969714081481246,,BinaryNgDeviceOperation,0,22.958,0.506,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,274432.0,
271,0.44381914965239244,,ReshapeViewDeviceOperation,0,79.767,0.526,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,275456.0,
272,1.3427667035645379,,ReshapeViewDeviceOperation,0,242.436,0.489,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,276480.0,
273,1.6745932786325068,,ReshapeViewDeviceOperation,0,302.507,0.45,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,277504.0,
274,0.3859075853702245,,BinaryNgDeviceOperation,0,69.363,0.453,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,278528.0,
275,0.2017038171442773,,FillPadDeviceOperation,0,35.923,0.568,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,279552.0,
276,0.29679331226178574,,ReduceDeviceOperation,0,53.193,0.501,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,280576.0,
277,0.014609169074904083,,UnaryDeviceOperation,0,2.185,0.458,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,281600.0,
278,0.013901649725078988,,UnaryDeviceOperation,0,2.053,0.462,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,282624.0,
279,0.015935767855826132,,UnaryDeviceOperation,0,2.431,0.452,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,283648.0,
280,0.019777376825579573,,UnaryDeviceOperation,0,3.119,0.459,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,284672.0,
281,0.02145220778649366,,BinaryNgDeviceOperation,0,3.314,0.567,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,285696.0,
282,0.6009437202627684,,ReshapeViewDeviceOperation,0,108.18,0.539,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,286720.0,
283,0.4717606364755632,,BinaryNgDeviceOperation,0,84.898,0.45,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,287744.0,
284,1.0211825765842715,,ReshapeViewDeviceOperation,0,184.167,0.579,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,288768.0,
285,0.3583640781813304,,ReshapeViewDeviceOperation,0,64.33,0.503,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,289792.0,
286,0.13320710008933537,,LayerNormDeviceOperation,0,23.58,0.519,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,290816.0,
287,0.02641037073018982,,ReshapeViewDeviceOperation,0,4.284,0.494,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,291840.0,
288,0.01924673731321075,,UntilizeWithUnpaddingDeviceOperation,0,2.992,0.49,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,292864.0,
289,0.1981220004357877,,RepeatDeviceOperation,0,35.361,0.482,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,293888.0,
290,0.29944098232870936,,TilizeDeviceOperation,0,53.621,0.552,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,294912.0,
291,0.06732488813179406,,BinaryNgDeviceOperation,0,11.727,0.453,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,295936.0,
292,0.35768972380102837,,ReshapeViewDeviceOperation,0,64.233,0.478,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,296960.0,
293,0.0309926640192914,,UntilizeWithUnpaddingDeviceOperation,0,5.084,0.523,107,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,297984.0,
294,0.20069781306874473,,UntilizeWithUnpaddingDeviceOperation,0,35.773,0.536,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,299008.0,
295,0.06848013457018035,,ConcatDeviceOperation,0,11.832,0.557,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,300032.0,
296,0.33896257101034544,,TilizeWithValPaddingDeviceOperation,0,60.802,0.521,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,301056.0,
297,0.09248051751502846,,SliceDeviceOperation,0,16.233,0.498,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,302080.0,
298,0.12821024468119568,,BinaryNgDeviceOperation,0,22.628,0.567,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,303104.0,
299,0.2367812999098245,,UntilizeWithUnpaddingDeviceOperation,0,42.253,0.584,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,304128.0,
300,0.08288478633302562,,SliceDeviceOperation,0,14.451,0.544,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,305152.0,
301,0.3000876992344088,,TilizeDeviceOperation,0,53.781,0.509,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,306176.0,
302,0.17544268877694116,,TernaryDeviceOperation,0,31.27,0.47,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,307200.0,
303,0.23658231009268615,,UntilizeWithUnpaddingDeviceOperation,0,42.294,0.507,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,308224.0,
304,0.0825641916276361,,SliceDeviceOperation,0,14.45,0.487,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,309248.0,
305,0.30277958926069654,,TilizeDeviceOperation,0,54.261,0.516,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,310272.0,
306,0.17439246474204453,,TernaryDeviceOperation,0,30.993,0.557,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,311296.0,
307,0.23770991905646996,,UntilizeWithUnpaddingDeviceOperation,0,42.454,0.551,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,312320.0,
308,0.07964014681468709,,SliceDeviceOperation,0,13.914,0.494,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,313344.0,
309,0.29898772774522764,,TilizeDeviceOperation,0,53.522,0.569,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,314368.0,
310,0.1748125543560032,,TernaryDeviceOperation,0,31.142,0.484,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,315392.0,
311,0.022590871740118416,,SliceDeviceOperation,0,3.61,0.477,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,316416.0,
312,0.024177262782304372,,CloneOperation,0,3.841,0.533,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,317440.0,
313,0.10370133220366082,,BinaryNgDeviceOperation,0,18.219,0.542,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,318464.0,
314,0.09025846455698401,,BinaryNgDeviceOperation,0,15.784,0.545,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,319488.0,
315,0.44568744293552437,,ReshapeViewDeviceOperation,0,80.085,0.546,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,320512.0,
316,0.1466554952309327,,LayerNormDeviceOperation,0,26.017,0.515,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,321536.0,
