Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
15.45,ReshapeViewDeviceOperation (in0:dram_interleaved),2726.92,21,TM,,,,,
14.90,UnaryDeviceOperation (in0:dram_interleaved),2630.42,6,Compute,,,,,
11.42,SparseMatmulDeviceOperation (in0:l1_interleaved),2014.92,1,Compute,1.88,1.88,1.88,,1.88
10.59,SparseMatmulDeviceOperation (in0:dram_interleaved),1869.43,1,Compute,1.01,1.01,1.01,,1.01
9.02,BinaryNgDeviceOperation (in0:dram_interleaved),1591.43,16,Compute,,,,,
8.55,ReshapeViewDeviceOperation (in0:l1_interleaved),1508.48,15,TM,,,,,
5.26,SliceDeviceOperation (in0:dram_interleaved),928.84,17,TM,,,,,
4.95,FastReduceNCDeviceOperation (in0:dram_interleaved),873.35,1,Compute,,,,,
2.79,MatmulDeviceOperation (in0:dram_interleaved),492.08,6,Compute,4.64,42.59,20.11,13.44,23.76
2.58,BinaryNgDeviceOperation (in0:l1_interleaved),455.75,9,Compute,,,,,
2.46,TilizeDeviceOperation (in0:dram_interleaved),434.67,9,TM,,,,,
1.31,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),231.02,15,TM,,,,,
1.00,RepeatDeviceOperation (in0:dram_interleaved),177.34,5,TM,,,,,
0.91,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),160.71,4,TM,,,,,
0.86,MatmulDeviceOperation (in0:l1_interleaved),151.29,4,Compute,5.39,9.34,6.67,1.85,6.89
0.70,ChunkGdnPrepOperation (in0:dram_interleaved),123.46,1,Other,,,,,
0.64,FillPadDeviceOperation (in0:dram_interleaved),113.14,1,TM,,,,,
0.63,UntilizeDeviceOperation (in0:dram_interleaved),111.58,3,TM,,,,,
0.63,ReduceDeviceOperation (in0:dram_interleaved),111.08,2,Compute,,,,,
0.62,TernaryDeviceOperation (in0:dram_interleaved),108.96,4,TM,,,,,
0.55,ChunkGdnScanOperation (in0:dram_interleaved),96.19,1,Other,,,,,
0.51,PermuteDeviceOperation (in0:dram_interleaved),90.20,2,TM,,,,,
0.49,ReduceDeviceOperation (in0:l1_interleaved),86.09,2,Compute,,,,,
0.46,QkvCausalConv1dSiluOperation (in0:dram_interleaved),82.03,1,Other,,,,,
0.44,LayerNormDeviceOperation (in0:dram_interleaved),78.44,3,Compute,,,,,
0.43,TopKDeviceOperation (in0:dram_interleaved),76.42,1,Other,,,,,
0.41,FillPadDeviceOperation (in0:l1_interleaved),72.24,2,TM,,,,,
0.40,LayerNormDeviceOperation (in0:l1_interleaved),70.55,3,Compute,,,,,
0.23,ConcatDeviceOperation (in0:dram_interleaved),41.42,2,TM,,,,,
0.20,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),35.77,1,TM,,,,,
0.16,TypecastDeviceOperation (in0:dram_interleaved),27.81,2,TM,,,,,
0.09,UnaryDeviceOperation (in0:l1_interleaved),15.43,6,Compute,,,,,
0.08,SliceDeviceOperation (in0:l1_interleaved),13.39,6,TM,,,,,
0.07,ScatterDeviceOperation (in0:dram_interleaved),12.62,1,Other,,,,,
0.06,TernaryDeviceOperation (in0:l1_interleaved),11.41,1,TM,,,,,
0.06,CloneOperation (in0:dram_interleaved),10.68,2,DM,,,,,
0.04,SoftmaxDeviceOperation (in0:dram_interleaved),6.32,1,Compute,,,,,
0.02,UntilizeCodegenDeviceOperation (in0:dram_interleaved),3.19,1,Other,,,,,
0.02,TransposeDeviceOperation (in0:dram_interleaved),3.02,2,TM,,,,,
