Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
21.90,GatherDeviceOperation (in0:dram_interleaved),1067.43,3,Other,,,,,
13.76,UnaryDeviceOperation (in0:dram_interleaved),671.00,11,Compute,,,,,
10.29,SparseMatmulDeviceOperation (in0:l1_interleaved),501.74,1,Compute,1.89,1.89,1.89,,1.89
9.54,SparseMatmulDeviceOperation (in0:dram_interleaved),465.09,1,Compute,1.02,1.02,1.02,,1.02
7.71,MatmulDeviceOperation (in0:l1_interleaved),375.64,8,Compute,3.97,48.60,15.00,14.54,18.31
7.35,BinaryNgDeviceOperation (in0:dram_interleaved),358.16,16,Compute,,,,,
5.44,SliceDeviceOperation (in0:dram_interleaved),265.15,13,TM,,,,,
4.41,FastReduceNCDeviceOperation (in0:dram_interleaved),214.88,2,Compute,,,,,
1.54,TopKDeviceOperation (in0:l1_interleaved),75.12,1,Other,,,,,
1.47,UntilizeCodegenDeviceOperation (in0:dram_interleaved),71.43,10,Other,,,,,
1.39,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),67.84,16,TM,,,,,
1.33,FillPadDeviceOperation (in0:dram_interleaved),65.03,10,TM,,,,,
1.26,TernaryDeviceOperation (in0:dram_interleaved),61.58,5,TM,,,,,
1.12,SdpaDecodeDeviceOperation (in0:dram_interleaved),54.45,1,Compute,,,,,
1.02,ReshapeViewDeviceOperation (in0:dram_interleaved),49.94,10,TM,,,,,
0.93,EmbeddingsDeviceOperation (in0:dram_interleaved),45.15,10,Compute,,,,,
0.92,ConcatDeviceOperation (in0:dram_interleaved),45.04,5,TM,,,,,
0.81,LayerNormDeviceOperation (in0:l1_interleaved),39.58,4,Compute,,,,,
0.79,PermuteDeviceOperation (in0:dram_interleaved),38.58,9,TM,,,,,
0.64,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),31.29,11,TM,,,,,
0.60,ReshapeViewDeviceOperation (in0:l1_interleaved),29.06,9,TM,,,,,
0.58,LayerNormDeviceOperation (in0:dram_interleaved),28.45,2,Compute,,,,,
0.51,SliceDeviceOperation (in0:l1_interleaved),25.08,20,TM,,,,,
0.49,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),23.66,3,TM,,,,,
0.47,BinaryNgDeviceOperation (in0:l1_interleaved),23.11,5,Compute,,,,,
0.33,TypecastDeviceOperation (in0:dram_interleaved),16.27,10,TM,,,,,
0.31,PermuteDeviceOperation (in0:l1_interleaved),15.17,1,TM,,,,,
0.29,FillPadDeviceOperation (in0:l1_interleaved),13.90,3,TM,,,,,
0.27,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),13.19,1,Other,,,,,
0.26,RotaryEmbeddingHfDeviceOperation (in0:l1_interleaved),12.78,3,Other,,,,,
0.20,MatmulDeviceOperation (in0:dram_interleaved),9.80,1,Compute,0.97,0.97,0.97,,0.97
0.16,TransposeDeviceOperation (in0:l1_interleaved),7.61,3,TM,,,,,
0.14,CopyDeviceOperation (in0:dram_interleaved),6.79,3,DM,,,,,
0.14,UnaryDeviceOperation (in0:l1_interleaved),6.79,3,Compute,,,,,
0.13,ScatterDeviceOperation (in0:l1_interleaved),6.27,1,Other,,,,,
0.13,TopkLargeIndicesDeviceOperation (in0:dram_interleaved),6.20,1,Other,,,,,
0.12,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),5.81,2,DM,,,,,
0.11,TopkRoutePrepDeviceOperation (in0:dram_interleaved),5.60,1,Other,,,,,
0.11,FillPadDeviceOperation (in0:height_sharded),5.42,1,TM,,,,,
0.11,SoftmaxDeviceOperation (in0:l1_interleaved),5.37,1,Compute,,,,,
0.10,ConcatDeviceOperation (in0:l1_interleaved),5.07,3,TM,,,,,
0.10,PagedFusedUpdateCacheDeviceOperation (in0:dram_interleaved),4.99,1,Other,,,,,
0.10,TopkRouteFinishDeviceOperation (in0:dram_interleaved),4.93,1,Other,,,,,
0.09,ReduceDeviceOperation (in0:dram_interleaved),4.34,2,Compute,,,,,
0.08,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),3.89,1,Other,,,,,
0.08,ReduceDeviceOperation (in0:l1_interleaved),3.81,2,Compute,,,,,
0.08,TernaryDeviceOperation (in0:l1_interleaved),3.69,1,TM,,,,,
0.07,TilizeDeviceOperation (in0:l1_interleaved),3.52,1,TM,,,,,
0.07,UntilizeCodegenDeviceOperation (in0:l1_interleaved),3.22,1,Other,,,,,
0.05,RepeatDeviceOperation (in0:dram_interleaved),2.22,1,TM,,,,,
0.03,ShardedToInterleavedDeviceOperation (in0:height_sharded),1.38,2,DM,,,,,
0.03,TransposeDeviceOperation (in0:dram_interleaved),1.35,1,TM,,,,,
0.03,InterleavedToShardedDeviceOperation (in0:dram_interleaved),1.30,2,DM,,,,,
0.01,InterleavedToShardedDeviceOperation (in0:l1_interleaved),0.50,1,DM,,,,,
0.01,ReshardDeviceOperation (in0:height_sharded),0.34,1,DM,,,,,
