Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
41.54,SDPAOperation (in0:dram_interleaved),17345.95,1,Compute,,,,,
8.78,EmbeddingsDeviceOperation (in0:dram_interleaved),3664.50,7,Compute,,,,,
6.81,ConcatDeviceOperation (in0:dram_interleaved),2842.93,4,TM,,,,,
6.53,ReshapeViewDeviceOperation (in0:dram_interleaved),2727.39,20,TM,,,,,
6.38,UnaryDeviceOperation (in0:dram_interleaved),2662.75,10,Compute,,,,,
4.83,SparseMatmulDeviceOperation (in0:l1_interleaved),2015.38,1,Compute,1.88,1.88,1.88,,1.88
4.48,SparseMatmulDeviceOperation (in0:dram_interleaved),1871.23,1,Compute,1.01,1.01,1.01,,1.01
4.07,BinaryNgDeviceOperation (in0:dram_interleaved),1698.04,17,Compute,,,,,
2.73,GatherDeviceOperation (in0:dram_interleaved),1140.96,2,Other,,,,,
2.14,SliceDeviceOperation (in0:dram_interleaved),893.49,14,TM,,,,,
2.13,FastReduceNCDeviceOperation (in0:dram_interleaved),889.12,2,Compute,,,,,
1.81,ReshapeViewDeviceOperation (in0:l1_interleaved),756.31,12,TM,,,,,
1.30,TernaryDeviceOperation (in0:dram_interleaved),541.18,4,TM,,,,,
1.20,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),500.25,14,TM,,,,,
1.09,MatmulDeviceOperation (in0:dram_interleaved),453.99,5,Compute,1.34,61.00,27.10,30.68,50.26
0.61,BinaryNgDeviceOperation (in0:l1_interleaved),256.70,3,Compute,,,,,
0.36,MatmulDeviceOperation (in0:l1_interleaved),150.82,4,Compute,5.43,9.33,6.70,1.81,6.91
0.34,PermuteDeviceOperation (in0:dram_interleaved),143.43,7,TM,,,,,
0.31,FillPadDeviceOperation (in0:dram_interleaved),130.52,4,TM,,,,,
0.28,TilizeDeviceOperation (in0:dram_interleaved),116.16,5,TM,,,,,
0.27,ReduceDeviceOperation (in0:dram_interleaved),112.37,2,Compute,,,,,
0.25,TransposeDeviceOperation (in0:dram_interleaved),105.10,2,TM,,,,,
0.20,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),81.70,6,TM,,,,,
0.20,TopkRouteFinishDeviceOperation (in0:dram_interleaved),81.60,1,Other,,,,,
0.18,TopKDeviceOperation (in0:dram_interleaved),76.39,1,Other,,,,,
0.17,RepeatDeviceOperation (in0:dram_interleaved),69.92,2,TM,,,,,
0.16,NlpCreateHeadsDeviceOperation (in0:l1_interleaved),66.99,1,TM,,,,,
0.15,UntilizeCodegenDeviceOperation (in0:dram_interleaved),64.06,8,Other,,,,,
0.11,LayerNormDeviceOperation (in0:l1_interleaved),46.52,5,Compute,,,,,
0.10,FillPadDeviceOperation (in0:l1_interleaved),40.52,2,TM,,,,,
0.08,ReduceDeviceOperation (in0:l1_interleaved),34.70,2,Compute,,,,,
0.07,SliceDeviceOperation (in0:l1_interleaved),29.01,16,TM,,,,,
0.06,LayerNormDeviceOperation (in0:dram_interleaved),26.29,1,Compute,,,,,
0.06,TypecastDeviceOperation (in0:dram_interleaved),25.24,9,TM,,,,,
0.04,RotaryEmbeddingHfDeviceOperation (in0:l1_interleaved),17.06,4,Other,,,,,
0.03,ScatterDeviceOperation (in0:dram_interleaved),12.53,1,Other,,,,,
0.03,TernaryDeviceOperation (in0:l1_interleaved),11.03,1,TM,,,,,
0.03,ConcatDeviceOperation (in0:l1_interleaved),10.64,4,TM,,,,,
0.03,TopkLargeIndicesDeviceOperation (in0:dram_interleaved),10.47,1,Other,,,,,
0.02,TopkRoutePrepDeviceOperation (in0:dram_interleaved),6.88,1,Other,,,,,
0.02,TransposeDeviceOperation (in0:l1_interleaved),6.67,2,TM,,,,,
0.02,SoftmaxDeviceOperation (in0:dram_interleaved),6.36,1,Compute,,,,,
0.01,PagedFillCacheDeviceOperation (in0:dram_interleaved),5.08,4,Other,,,,,
0.01,UnaryDeviceOperation (in0:l1_interleaved),4.81,2,Compute,,,,,
0.01,RepeatCodegenDeviceOperation (in0:dram_interleaved),3.25,2,Other,,,,,
0.01,TypecastDeviceOperation (in0:l1_interleaved),2.20,2,TM,,,,,
