ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
879,0.009079638967447595,,EmbeddingsDeviceOperation,0,1.099,,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,488448.0,
881,0.8943237839738258,,TilizeWithValPaddingDeviceOperation,0,2.746,105.503,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,489472.0,
883,0.5299815833692408,,UntilizeWithUnpaddingDeviceOperation,0,1.329,62.82,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,490496.0,
885,0.12512386911919363,,RepeatDeviceOperation,0,1.035,14.11,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,491520.0,
886,0.3977030578844334,,TilizeWithValPaddingDeviceOperation,1,3.658,44.48,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,492545.0,
889,1.1991898053912815,,BinaryNgDeviceOperation,0,18.934,126.216,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,493568.0,
891,0.29180422959986263,,BinaryNgDeviceOperation,0,8.399,26.921,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,494592.0,
892,0.2754212231645136,,FillPadDeviceOperation,1,4.239,29.098,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,495617.0,
894,0.4102856694835441,,PadDeviceOperation,1,10.685,38.976,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,496641.0,
897,0.4046883488279975,,LayerNormPreAllGatherDeviceOperation,0,19.3645,29.619,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,497664.0,
898,0.3984342208040141,,AllGatherDeviceOperation,0,6.4495,41.777,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,498688.0,
901,0.38838382880774475,,LayerNormPostAllGatherDeviceOperation,0,18.384,28.626,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,499712.0,
903,0.30799721629339977,,UntilizeWithUnpaddingDeviceOperation,0,2.17,35.11,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,500736.0,
904,0.24688521498110685,,RepeatDeviceOperation,1,19.656,10.227,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,501761.0,
906,0.9911429732909489,,TilizeDeviceOperation,1,40.162,79.806,84,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,502785.0,
909,0.1000577866558306,,BinaryNgDeviceOperation,0,11.635,0.476,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,503808.0,
910,0.3075262978028224,,ReshapeViewDeviceOperation,1,36.727,0.496,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,504833.0,
913,0.4232813674778982,SLOW,MatmulDeviceOperation 128 x 5120 x 352,0,23.361,27.873,44.0,133.2545695817816,26.02628312144172,19.74972989169984,8.117359258149463,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,1,505856.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy"
914,0.4052253611418138,,ReduceScatterDeviceOperation,0,8.5175,40.531,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,506880.0,
916,0.638049115228839,,AllGatherDeviceOperation,0,7.2215,70.008,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,507904.0,
919,0.4179525529792597,,SliceDeviceOperation,0,1.134,49.455,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,508928.0,
921,0.22015026348096092,,SliceDeviceOperation,0,0.93,25.717,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,509952.0,
922,0.4402013862270634,,UnaryDeviceOperation,1,2.153,51.129,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,510977.0,
925,0.6357234388236191,SLOW,MatmulDeviceOperation 128 x 320 x 5120,0,17.051,59.897,80.0,177.7631810451,34.71937129787109,24.59858072840303,5.5606600677271025,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,2,2,2,512000.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 2x2 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
927,0.7598972092337533,,ReshapeViewDeviceOperation,0,82.118,9.86,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,513024.0,
928,1.2810387437447877,,ReshapeViewDeviceOperation,1,154.521,0.536,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,514049.0,
931,0.6845419890134716,,BinaryNgDeviceOperation,0,82.379,0.478,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,515072.0,
