Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
24.58,MatmulDeviceOperation (in0:dram_interleaved),1409.77,15,Compute,3.73,36.06,10.55,8.65,10.36
23.68,ReshapeViewDeviceOperation (in0:dram_interleaved),1358.47,24,TM,,,,,
6.94,BinaryNgDeviceOperation (in0:dram_interleaved),397.93,20,Compute,,,,,
4.35,ConcatDeviceOperation (in0:dram_interleaved),249.69,4,TM,,,,,
4.34,CopyDeviceOperation (in0:dram_interleaved),248.76,24,DM,,,,,
3.33,SparseMatmulDeviceOperation (in0:dram_interleaved),191.28,2,Compute,24.80,33.04,28.92,5.83,29.74
2.68,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),153.48,10,TM,,,,,
2.63,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),150.68,13,TM,,,,,
2.41,FillPadDeviceOperation (in0:dram_interleaved),138.47,6,TM,,,,,
2.14,ChunkGdnPrepOperation (in0:dram_interleaved),122.88,1,Other,,,,,
2.04,ReduceDeviceOperation (in0:dram_interleaved),116.76,4,Compute,,,,,
1.94,UntilizeDeviceOperation (in0:dram_interleaved),111.32,3,TM,,,,,
1.68,ChunkGdnScanOperation (in0:dram_interleaved),96.56,1,Other,,,,,
1.67,ReshapeViewDeviceOperation (in0:l1_interleaved),95.82,2,TM,,,,,
1.48,QkvCausalConv1dSiluOperation (in0:dram_interleaved),84.64,1,Other,,,,,
1.47,TilizeDeviceOperation (in0:dram_interleaved),84.54,3,TM,,,,,
1.43,SliceDeviceOperation (in0:dram_interleaved),82.18,20,TM,,,,,
1.40,UnaryDeviceOperation (in0:dram_interleaved),80.55,9,Compute,,,,,
1.33,TopKDeviceOperation (in0:dram_interleaved),76.49,1,Other,,,,,
1.10,AllGatherDeviceOperation (in0:dram_interleaved),63.13,6,DM,,,,,
0.89,LayerNormDeviceOperation (in0:dram_interleaved),51.27,2,Compute,,,,,
0.87,BinaryNgDeviceOperation (in0:l1_interleaved),50.14,1,Compute,,,,,
0.72,RepeatDeviceOperation (in0:dram_interleaved),41.45,3,TM,,,,,
0.61,GatherDeviceOperation (in0:dram_interleaved),35.06,1,Other,,,,,
0.53,PermuteDeviceOperation (in0:dram_interleaved),30.52,2,TM,,,,,
0.52,TypecastDeviceOperation (in0:dram_interleaved),29.86,4,TM,,,,,
0.34,LayerNormPreAllGatherDeviceOperation (in0:dram_interleaved),19.36,1,Other,,,,,
0.32,LayerNormPostAllGatherDeviceOperation (in0:dram_interleaved),18.38,1,Other,,,,,
0.31,FastReduceNCDeviceOperation (in0:dram_interleaved),17.93,1,Compute,,,,,
0.30,ReduceScatterDeviceOperation (in0:dram_interleaved),16.99,1,DM,,,,,
0.29,ReduceScatterDeviceOperation (in0:l1_interleaved),16.35,2,DM,,,,,
0.26,LayerNormPreAllGatherDeviceOperation (in0:l1_interleaved),14.94,1,Other,,,,,
0.25,LayerNormPostAllGatherDeviceOperation (in0:l1_interleaved),14.43,1,Other,,,,,
0.22,ScatterDeviceOperation (in0:dram_interleaved),12.68,1,Other,,,,,
0.19,PadDeviceOperation (in0:dram_interleaved),10.69,1,TM,,,,,
0.14,TernaryDeviceOperation (in0:dram_interleaved),8.29,1,TM,,,,,
0.14,AllGatherDeviceOperation (in0:l1_interleaved),7.96,1,DM,,,,,
0.13,CloneOperation (in0:dram_interleaved),7.29,1,DM,,,,,
0.11,SoftmaxDeviceOperation (in0:dram_interleaved),6.36,1,Compute,,,,,
0.10,TernaryDeviceOperation (in0:l1_interleaved),5.92,1,TM,,,,,
0.06,UntilizeCodegenDeviceOperation (in0:dram_interleaved),3.20,1,Other,,,,,
0.05,TransposeDeviceOperation (in0:dram_interleaved),2.92,2,TM,,,,,
0.02,EmbeddingsDeviceOperation (in0:dram_interleaved),1.10,1,Compute,,,,,
