ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
2596,0.0018397228633894897,,TilizeWithValPaddingDeviceOperation,1,2.717,,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,812033.0,
2598,0.0038311196028920622,,RepeatDeviceOperation,1,1.059,4.599,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,814081.0,
2600,0.0008206640082547152,,EmbeddingsDeviceOperation,0,1.212,0.0,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,811008.0,
2602,0.010152670082319473,,UntilizeWithUnpaddingDeviceOperation,0,1.387,13.607,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,813056.0,
2604,0.01273586578487041,,TilizeWithValPaddingDeviceOperation,0,3.702,15.107,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,815104.0,
2605,0.0062700897000319,,FillPadDeviceOperation,1,4.249,5.011,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1056769.0,
2609,0.0023536535418262295,,BinaryNgDeviceOperation,1,2.953,0.523,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1060865.0,
2610,0.003024675020522948,,ReshapeViewDeviceOperation,1,3.928,0.539,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1061889.0,
2612,0.004238743144945972,,AllBroadcastDeviceOperation,1,4.918,1.342,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1063937.0,
2613,0.0015898672371139203,,ConcatDeviceOperation,1,1.761,0.587,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1064961.0,
