ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
2670,0.011132292800200259,,BinaryNgDeviceOperation,1,17.812,,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1703937.0,
2673,0.0703224411235646,,BinaryNgDeviceOperation,0,8.21,104.308,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1704960.0,
2675,0.056395825332701,,FillPadDeviceOperation,0,4.319,85.916,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1705984.0,
2676,0.03836803587493229,,PadDeviceOperation,1,11.09,50.3,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1707009.0,
2679,0.046329762687291984,,LayerNormPreAllGatherDeviceOperation,0,19.153,54.976,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1708032.0,
2680,0.03784960802417066,,AllGatherDeviceOperation,0,6.8545,53.706,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1709056.0,
2683,0.03151847586236802,,LayerNormPostAllGatherDeviceOperation,0,18.3825,32.048,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1710080.0,
2684,0.02979569542761886,,UntilizeWithUnpaddingDeviceOperation,1,2.122,45.552,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1711105.0,
2686,0.024147675551388803,,RepeatDeviceOperation,1,19.775,18.862,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1712129.0,
2689,0.07709606504948929,,TilizeDeviceOperation,0,39.819,83.537,84,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1713152.0,
2690,0.007734231046624645,,BinaryNgDeviceOperation,1,11.87,0.505,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1714177.0,
2692,0.028790714132833208,,ReshapeViewDeviceOperation,1,36.648,9.418,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1715201.0,
2695,0.044674168502038765,SLOW,MatmulDeviceOperation 128 x 5120 x 352,0,23.829,47.651,44.0,130.6374585588988,25.51512862478492,19.361846489571526,7.957934853734089,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,1,1716224.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy"
