Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
20.46,SparseMatmulDeviceOperation (in0:dram_interleaved),3340.57,32,Compute,18.51,54.96,27.48,7.26,27.25
20.05,CopyDeviceOperation (in0:dram_interleaved),3272.33,312,DM,,,,,
19.05,ConcatDeviceOperation (in0:dram_interleaved),3109.72,33,TM,,,,,
8.37,ReshapeViewDeviceOperation (in0:dram_interleaved),1367.02,33,TM,,,,,
5.76,BinaryNgDeviceOperation (in0:dram_interleaved),939.58,62,Compute,,,,,
5.13,UnaryDeviceOperation (in0:dram_interleaved),837.72,38,Compute,,,,,
3.34,GatherDeviceOperation (in0:dram_interleaved),545.15,16,Other,,,,,
2.34,MatmulDeviceOperation (in0:dram_interleaved),382.09,9,Compute,3.73,36.11,12.77,10.80,17.30
2.23,SliceDeviceOperation (in0:dram_interleaved),363.41,47,TM,,,,,
2.02,FillPadDeviceOperation (in0:dram_interleaved),329.23,35,TM,,,,,
1.79,FastReduceNCDeviceOperation (in0:dram_interleaved),292.62,16,Compute,,,,,
1.04,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),169.41,25,TM,,,,,
0.80,ReduceDeviceOperation (in0:dram_interleaved),130.20,18,Compute,,,,,
0.75,ChunkGdnPrepOperation (in0:dram_interleaved),123.14,1,Other,,,,,
0.75,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),122.34,6,TM,,,,,
0.68,UntilizeDeviceOperation (in0:dram_interleaved),111.72,3,TM,,,,,
0.60,ChunkGdnScanOperation (in0:dram_interleaved),97.25,1,Other,,,,,
0.59,ReshapeViewDeviceOperation (in0:l1_interleaved),95.80,2,TM,,,,,
0.52,PermuteDeviceOperation (in0:dram_interleaved),84.94,17,TM,,,,,
0.52,QkvCausalConv1dSiluOperation (in0:dram_interleaved),84.45,1,Other,,,,,
0.51,TilizeDeviceOperation (in0:dram_interleaved),84.03,3,TM,,,,,
0.47,TopKDeviceOperation (in0:dram_interleaved),76.54,1,Other,,,,,
0.33,AllGatherDeviceOperation (in0:dram_interleaved),53.85,5,DM,,,,,
0.31,BinaryNgDeviceOperation (in0:l1_interleaved),50.23,1,Compute,,,,,
0.25,RepeatDeviceOperation (in0:dram_interleaved),40.42,2,TM,,,,,
0.18,TypecastDeviceOperation (in0:dram_interleaved),30.11,4,TM,,,,,
0.17,LayerNormDeviceOperation (in0:dram_interleaved),27.14,1,Compute,,,,,
0.12,LayerNormPreAllGatherDeviceOperation (in0:dram_interleaved),19.15,1,Other,,,,,
0.11,LayerNormPostAllGatherDeviceOperation (in0:dram_interleaved),18.38,1,Other,,,,,
0.11,ReduceScatterDeviceOperation (in0:dram_interleaved),17.68,1,DM,,,,,
0.10,ReduceScatterDeviceOperation (in0:l1_interleaved),15.74,2,DM,,,,,
0.09,LayerNormPreAllGatherDeviceOperation (in0:l1_interleaved),14.77,1,Other,,,,,
0.09,LayerNormPostAllGatherDeviceOperation (in0:l1_interleaved),14.48,1,Other,,,,,
0.08,ScatterDeviceOperation (in0:dram_interleaved),12.55,1,Other,,,,,
0.07,PadDeviceOperation (in0:dram_interleaved),11.09,1,TM,,,,,
0.05,TernaryDeviceOperation (in0:dram_interleaved),8.07,1,TM,,,,,
0.04,CloneOperation (in0:dram_interleaved),6.51,1,DM,,,,,
0.04,SoftmaxDeviceOperation (in0:dram_interleaved),6.36,1,Compute,,,,,
0.04,AllGatherDeviceOperation (in0:l1_interleaved),5.90,1,DM,,,,,
0.04,TernaryDeviceOperation (in0:l1_interleaved),5.84,1,TM,,,,,
0.02,UntilizeCodegenDeviceOperation (in0:dram_interleaved),3.18,1,Other,,,,,
0.02,TransposeDeviceOperation (in0:dram_interleaved),2.93,2,TM,,,,,
