Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'MC_HOST_DECODE_L1'.
Using operations until 'MC_HOST_DECODE_L1_END'.
Detected data from 2 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                      Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 7054    0.1 %         ReshapeViewDeviceOperation                                         1         5 μs                  110                                                       BF16 => BF16
 7056    0.1 %         CopyDeviceOperation                                                1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 7057    0.1 %         CopyDeviceOperation                                                1         2 μs          3 μs    110                                                 BF16, BF16 => BF16
 7058    0.1 %         CopyDeviceOperation                                                1         2 μs          3 μs    110                                                 BF16, BF16 => BF16
 7061    0.1 %         CopyDeviceOperation                                                1         2 μs          3 μs    110                                                 BF16, BF16 => BF16
 7064    0.1 %         CopyDeviceOperation                                                1         1 μs          2 μs     80                                                       BF16 => BF16
 7066    0.1 %         SliceDeviceOperation                                               1         2 μs          1 μs    110                                                       BF16 => BF16
 7070    0.1 %         ReshapeViewDeviceOperation                                         1         4 μs          1 μs     80                                                       BF16 => BF16
 7074    0.6 %         LayerNormDeviceOperation                                           1        24 μs          1 μs      1                                                       BF16 => BF16
 7077    0.1 %         ReshapeViewDeviceOperation                                         1         5 μs          1 μs    110                                                       BF16 => BF16
 7079    0.1 %         ReshapeViewDeviceOperation                                         1         4 μs          1 μs     80                                                       BF16 => BF16
 7082    0.6 %         ReduceDeviceOperation                                              1        26 μs          1 μs      1                                                       BF16 => BF16
 7083    0.1 %         UnaryDeviceOperation                                               1         2 μs          1 μs    110                                                       BF16 => BF16
 7086    0.1 %         UnaryDeviceOperation                                               1         2 μs          1 μs    110                                                       BF16 => BF16
 7088    0.2 %         BinaryNgDeviceOperation                                            1         9 μs          1 μs    110                                                 BF16, BF16 => BF16
