ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
2872,0.015007551392832205,,BinaryNgDeviceOperation,0,18.406,,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1730560.0,
2873,0.07973098014231718,,BinaryNgDeviceOperation,1,8.419,89.367,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1731585.0,
2875,0.04173266885468493,,BinaryNgDeviceOperation,1,4.889,46.294,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1732609.0,
2878,0.05022384782920163,,FillPadDeviceOperation,0,4.335,57.262,40,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1733632.0,
2879,0.04318564378579581,,PadDeviceOperation,1,10.719,42.246,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1734657.0,
2881,1.0699244267133308,,AllGatherDeviceOperation,0,31.558,1280.65,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1735680.0,
2883,0.08562115461052427,,ReshapeViewDeviceOperation,1,81.341,23.669,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1736705.0,
2885,0.14487758172527385,SLOW,MatmulDeviceOperation 128 x 2560 x 12800,1,157.8,19.885,40.0,211.80836501901138,41.36882129277566,53.1597465145754,24.034173590574095,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,4,1,4,1737729.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 1x4 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
2887,0.004918263066476359,,SliceDeviceOperation,1,5.473,0.559,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1738753.0,
2889,0.0022234919400333274,,SliceDeviceOperation,1,2.215,0.512,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1739777.0,
2892,0.05309962930059788,,ReshapeViewDeviceOperation,0,64.595,0.529,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1740800.0,
2893,0.01952628712134878,,LayerNormDeviceOperation,1,23.43,0.518,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1741825.0,
2896,0.00389498386415079,,ReshapeViewDeviceOperation,0,4.204,0.573,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1742848.0,
2898,0.016564077287046956,,UntilizeWithUnpaddingDeviceOperation,0,2.293,18.022,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1743872.0,
2899,0.03136289602984303,,RepeatDeviceOperation,1,34.786,3.679,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1744897.0,
2901,0.07664891210662743,,TilizeDeviceOperation,1,54.261,39.745,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1745921.0,
2903,0.010203438994344356,,BinaryNgDeviceOperation,1,12.03,0.484,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1746945.0,
2906,0.06082844488533419,,ReshapeViewDeviceOperation,0,64.313,10.29,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1747968.0,
2908,0.06647808758885121,,ReshapeViewDeviceOperation,0,81.071,0.461,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1748992.0,
2909,0.021705749518015113,,LayerNormDeviceOperation,1,26.094,0.527,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1750017.0,
2911,0.003891722416493976,,ReshapeViewDeviceOperation,1,4.201,0.572,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1751041.0,
2914,0.002854582061626945,,UntilizeWithUnpaddingDeviceOperation,0,2.956,0.545,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1752064.0,
2916,0.029625359790675074,,RepeatDeviceOperation,0,35.807,0.527,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1753088.0,
2917,0.04521915639981969,,TilizeDeviceOperation,1,54.9,0.559,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1754113.0,
2920,0.018800615017707543,,BinaryNgDeviceOperation,0,22.574,0.484,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1755136.0,
2922,0.06664605214317716,,ReshapeViewDeviceOperation,0,81.218,0.52,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1756160.0,
2924,0.19800574869286885,,ReshapeViewDeviceOperation,0,242.341,0.503,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1757184.0,
2925,0.24680271317221417,,ReshapeViewDeviceOperation,1,302.232,0.459,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1758209.0,
2928,0.057031304450887825,,BinaryNgDeviceOperation,0,69.499,0.447,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1759232.0,
2929,0.029763155954175485,,FillPadDeviceOperation,1,35.98,0.523,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1760257.0,
