Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
29.96,SDPAOperation (in0:dram_interleaved),8556.91,1,Compute,,,,,
11.57,SparseMatmulDeviceOperation (in0:dram_interleaved),3305.51,30,Compute,14.65,47.12,26.25,6.67,25.82
10.79,CopyDeviceOperation (in0:dram_interleaved),3081.27,294,DM,,,,,
10.25,ConcatDeviceOperation (in0:dram_interleaved),2927.53,36,TM,,,,,
6.44,EmbeddingsDeviceOperation (in0:dram_interleaved),1838.46,5,Compute,,,,,
6.29,ReshapeViewDeviceOperation (in0:dram_interleaved),1797.39,42,TM,,,,,
5.78,GatherDeviceOperation (in0:dram_interleaved),1651.29,17,Other,,,,,
3.79,BinaryNgDeviceOperation (in0:dram_interleaved),1082.71,62,Compute,,,,,
2.81,UnaryDeviceOperation (in0:dram_interleaved),801.96,40,Compute,,,,,
1.92,TernaryDeviceOperation (in0:dram_interleaved),549.12,5,TM,,,,,
1.82,MatmulDeviceOperation (in0:dram_interleaved),520.91,9,Compute,1.32,22.35,6.71,6.69,8.08
1.19,SliceDeviceOperation (in0:dram_interleaved),340.66,55,TM,,,,,
1.18,FillPadDeviceOperation (in0:dram_interleaved),337.38,37,TM,,,,,
1.18,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),336.10,27,TM,,,,,
0.98,FastReduceNCDeviceOperation (in0:dram_interleaved),280.91,16,Compute,,,,,
0.48,PermuteDeviceOperation (in0:dram_interleaved),136.59,21,TM,,,,,
0.46,ReduceDeviceOperation (in0:dram_interleaved),132.55,18,Compute,,,,,
0.39,TransposeDeviceOperation (in0:dram_interleaved),110.71,4,TM,,,,,
0.31,TilizeDeviceOperation (in0:dram_interleaved),88.54,5,TM,,,,,
0.29,TopkRouteFinishDeviceOperation (in0:dram_interleaved),82.33,1,Other,,,,,
0.29,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),81.99,6,TM,,,,,
0.27,TopKDeviceOperation (in0:dram_interleaved),76.21,1,Other,,,,,
0.22,ReduceScatterDeviceOperation (in0:dram_interleaved),62.63,4,DM,,,,,
0.21,AllGatherDeviceOperation (in0:dram_interleaved),59.47,6,DM,,,,,
0.17,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),47.56,1,TM,,,,,
0.14,RepeatDeviceOperation (in0:dram_interleaved),40.35,2,TM,,,,,
0.13,LayerNormPreAllGatherDeviceOperation (in0:dram_interleaved),38.03,2,Other,,,,,
0.13,LayerNormPostAllGatherDeviceOperation (in0:dram_interleaved),37.57,2,Other,,,,,
0.12,UntilizeCodegenDeviceOperation (in0:dram_interleaved),35.29,6,Other,,,,,
0.09,TypecastDeviceOperation (in0:dram_interleaved),26.69,11,TM,,,,,
0.08,LayerNormDeviceOperation (in0:dram_interleaved),23.38,4,Compute,,,,,
0.06,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),17.34,4,Other,,,,,
0.04,ScatterDeviceOperation (in0:dram_interleaved),12.62,1,Other,,,,,
0.04,PadDeviceOperation (in0:dram_interleaved),11.12,1,TM,,,,,
0.04,TopkLargeIndicesDeviceOperation (in0:dram_interleaved),10.45,1,Other,,,,,
0.02,TopkRoutePrepDeviceOperation (in0:dram_interleaved),6.82,1,Other,,,,,
0.02,SoftmaxDeviceOperation (in0:dram_interleaved),6.33,1,Compute,,,,,
0.02,PagedFillCacheDeviceOperation (in0:dram_interleaved),4.39,4,Other,,,,,
0.01,RepeatCodegenDeviceOperation (in0:dram_interleaved),3.32,2,Other,,,,,
